Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 11.07), ('archivi', 3.85), ('partiellement', 2.74), ('textt', 1.7), ('sier', 0.94), ('konn', 0.85), ('totalité', 0.76), ('ѐ', 0.75), ('embros', 0.71), ('Portail', 0.64)]","[('пута', 24.64), ('partiellement', 1.37), ('сылки', 0.62), ('Censo', 0.58), ('sterd', 0.54), ('empre', 0.48), ('bolds', 0.47), ('cí', 0.39), ('писок', 0.35), ('totalité', 0.29)]","[('пута', 4.7), ('partiellement', 1.26), ('сылки', 1.21), ('embros', 0.79), ('penas', 0.68), ('textt', 0.58), ('virtuel', 0.53), ('cí', 0.47), ('gmin', 0.45), ('schap', 0.43)]","[('пута', 21.41), ('partiellement', 2.01), ('сылки', 1.21), ('sterd', 0.65), ('cí', 0.59), ('bolds', 0.54), ('empre', 0.48), ('virtuel', 0.44), ('totalité', 0.43), ('洞', 0.43)]"
layer1,"[('%%%%', 2.15), ('Pick', 0.89), ('ˇ', 0.79), ('pick', 0.75), ('pick', 0.4), ('Û', 0.33), ('Kong', 0.28), ('TRAN', 0.27), ('kin', 0.25), ('⁻', 0.25)]","[('пута', 3.81), ('partiellement', 0.89), ('Oficina', 0.78), ('totalité', 0.69), ('Хронологија', 0.68), ('сылки', 0.64), ('ә', 0.46), ('cí', 0.43), ('virtuel', 0.42), ('penas', 0.39)]","[('Pil', 1.01), ('arde', 0.49), ('arda', 0.49), ('ello', 0.43), ('abei', 0.37), ('ardi', 0.34), ('zet', 0.31), ('An', 0.31), ('Pan', 0.3), ('mente', 0.3)]","[('sce', 0.37), ('ént', 0.34), ('пута', 0.32), ('sterd', 0.29), ('aucoup', 0.28), ('partiellement', 0.27), ('overcome', 0.24), ('сылки', 0.22), ('Carter', 0.21), ('fen', 0.2)]"
layer2,"[('werb', 0.97), ('ölker', 0.5), ('ǒ', 0.41), ('�', 0.38), ('kernel', 0.36), ('�', 0.35), ('ן', 0.33), ('cv', 0.33), ('aterra', 0.31), ('olf', 0.29)]","[('sce', 0.42), ('ént', 0.35), ('virtuel', 0.32), ('fen', 0.32), ('sterd', 0.3), ('overcome', 0.3), ('totalité', 0.3), ('ченко', 0.27), ('aucoup', 0.23), ('Хронологија', 0.22)]","[('iből', 4.72), ('anto', 1.89), ('="".', 1.39), ('◦', 1.27), ('unda', 0.86), ('xp', 0.74), ('ąż', 0.65), ('IMARY', 0.42), ('inture', 0.4), ('ะ', 0.39)]","[('Хронологија', 1.22), ('aucoup', 0.44), ('idense', 0.41), ('older', 0.32), ('fen', 0.31), ('ǒ', 0.23), ('irtual', 0.22), ('geg', 0.22), ('ént', 0.21), ('gem', 0.2)]"
layer3,"[('kar', 0.52), ('sudden', 0.41), ('noise', 0.35), ('mér', 0.32), ('vo', 0.27), ('Filter', 0.25), ('Jug', 0.24), ('bal', 0.24), ('Bal', 0.24), ('Cha', 0.23)]","[('ǒ', 0.37), ('Jug', 0.33), ('autore', 0.24), ('cí', 0.23), ('idense', 0.22), ('orth', 0.21), ('straight', 0.21), ('connexes', 0.2), ('overcome', 0.19), ('older', 0.18)]","[('neutral', 1.04), ('xt', 0.72), ('nor', 0.68), ('Murray', 0.65), ('oda', 0.46), ('oby', 0.45), ('dry', 0.44), ('feld', 0.4), ('sec', 0.39), ('ë', 0.38)]","[('xt', 0.63), ('Carter', 0.4), ('purs', 0.32), ('ң', 0.28), ('cí', 0.24), ('SOUR', 0.21), ('Frank', 0.2), ('ént', 0.18), ('基', 0.18), ('Hall', 0.18)]"
layer4,"[('sí', 1.83), ('questions', 1.14), ('yes', 0.76), ('answers', 0.57), ('Question', 0.51), ('satisf', 0.46), ('Answer', 0.45), ('ogle', 0.43), ('Answer', 0.4), ('Gemeins', 0.34)]","[('orch', 0.39), ('Uni', 0.29), ('purs', 0.24), ('strip', 0.21), ('esc', 0.21), ('ént', 0.2), ('Standard', 0.2), ('orch', 0.19), ('Gemeins', 0.18), ('Jug', 0.18)]","[('egen', 1.81), ('tegr', 0.56), ('ég', 0.51), ('Dum', 0.4), ('sem', 0.4), ('verte', 0.38), ('fol', 0.37), ('Nicol', 0.36), ('っ', 0.36), ('deg', 0.35)]","[('orch', 0.58), ('ént', 0.57), ('purs', 0.34), ('times', 0.31), ('straightforward', 0.29), ('indeed', 0.26), ('plug', 0.25), ('BR', 0.25), ('simple', 0.24), ('accompan', 0.23)]"
layer5,"[('oro', 0.59), ('ֵ', 0.46), ('lat', 0.41), ('ǒ', 0.4), ('aje', 0.4), ('нциклопеди', 0.39), ('quelle', 0.34), ('arms', 0.32), ('候', 0.31), ('bear', 0.3)]","[('indeed', 0.77), ('ént', 0.67), ('General', 0.31), ('ǒ', 0.3), ('Jug', 0.22), ('Gemeins', 0.21), ('eng', 0.2), ('заня', 0.19), ('plug', 0.19), ('elm', 0.18)]","[('logs', 2.13), ('lices', 1.25), ('MainActivity', 0.54), ('uent', 0.5), ('iai', 0.47), ('stability', 0.44), ('nest', 0.44), ('NT', 0.43), ('Fab', 0.42), ('contra', 0.42)]","[('ént', 1.57), ('autore', 0.47), ('Gemeins', 0.36), ('indeed', 0.34), ('NF', 0.34), ('straight', 0.32), ('Gary', 0.29), ('times', 0.28), ('ac', 0.24), ('Salv', 0.23)]"
layer6,"[('cej', 0.78), ('nej', 0.58), ('audi', 0.55), ('фере', 0.46), ('decimal', 0.43), ('answer', 0.39), ('Herbert', 0.35), ('viz', 0.35), ('decid', 0.33), ('rado', 0.31)]","[('autore', 0.64), ('ǒ', 0.57), ('фере', 0.49), ('indeed', 0.45), ('ént', 0.39), ('straightforward', 0.35), ('acquaint', 0.33), ('jug', 0.33), ('Gemeins', 0.3), ('ilda', 0.29)]","[('bezeichneter', 0.81), ('oggle', 0.8), ('Baker', 0.63), ('格', 0.53), ('Ress', 0.5), ('icity', 0.49), ('noreferrer', 0.48), ('dorf', 0.48), ('Commons', 0.45), ('Einzelnach', 0.44)]","[('connexes', 1.18), ('фере', 1.17), ('ツ', 0.53), ('пе', 0.53), ('xter', 0.49), ('indeed', 0.47), ('nej', 0.44), ('ilib', 0.44), ('oci', 0.42), ('Anth', 0.41)]"
layer7,"[('witz', 1.73), ('bst', 1.64), ('alberga', 1.27), ('acci', 0.97), ('식', 0.72), ('dich', 0.42), ('hat', 0.39), ('aties', 0.33), ('œuv', 0.3), ('izza', 0.3)]","[('arina', 1.11), ('фере', 1.04), ('xter', 0.97), ('ña', 0.73), ('пе', 0.7), ('oci', 0.67), ('indeed', 0.54), ('different', 0.37), ('Anth', 0.33), ('cí', 0.3)]","[('nitz', 4.08), ('berts', 2.56), ('références', 1.48), ('egos', 0.84), ('ASH', 0.47), ('Städ', 0.44), ('anus', 0.44), ('ępu', 0.42), ('medi', 0.33), ('当', 0.29)]","[('irtual', 2.17), ('arina', 1.67), ('edeut', 0.81), ('пе', 0.77), ('Gary', 0.62), ('endi', 0.53), ('références', 0.51), ('penas', 0.46), ('indeed', 0.44), ('onas', 0.4)]"
layer8,"[('rather', 2.04), ('hands', 1.32), ('cul', 0.63), ('phere', 0.59), ('mix', 0.52), ('Mitchell', 0.5), ('sources', 0.39), ('properly', 0.37), ('Hinweis', 0.36), ('ername', 0.36)]","[('irtual', 1.25), ('arina', 1.18), ('пе', 0.91), ('onas', 0.76), ('ân', 0.75), ('Eliz', 0.69), ('références', 0.68), ('Jug', 0.48), ('different', 0.47), ('nej', 0.41)]","[('ias', 0.85), ('inge', 0.76), ('rid', 0.62), ('eten', 0.57), ('uid', 0.54), ('Gir', 0.54), ('�', 0.4), ('bib', 0.36), ('ings', 0.35), ('pios', 0.35)]","[('aria', 2.2), ('irtual', 2.05), ('onas', 2.01), ('пе', 0.71), ('ona', 0.54), ('références', 0.48), ('Gary', 0.45), ('komt', 0.43), ('jur', 0.4), ('Halle', 0.37)]"
