Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 6), ('archivi', 3), ('textt', 1), ('Ґ', 1), ('Архив', 1), ('sterd', 0), ('Љ', 0), ('висини', 0), ('embros', 0), ('씨', 0)]","[('Portail', 21), ('archivi', 16), ('ensoort', 3), ('textt', 1), ('Хронологија', 1), ('listade', 1), ('sterd', 1), ('embros', 0), ('eerd', 0), ('trightarrow', 0)]","[('Portail', 8), ('embros', 2), ('prüng', 1), ('administ', 1), ('ә', 0), ('Хронологија', 0), ('penas', 0), ('iellement', 0), ('пута', 0), ('cowo', 0)]","[('Portail', 35), ('archivi', 7), ('embros', 2), ('Хронологија', 2), ('пута', 1), ('sterd', 0), ('ensoort', 0), ('trightarrow', 0), ('Архив', 0), ('textt', 0)]"
layer1,"[('anim', 0), ('gem', 0), ('eton', 0), ('de', 0), ('bbe', 0), ('uber', 0), ('ufen', 0), ('en', 0), ('older', 0), ('int', 0)]","[('Portail', 4), ('sterd', 3), ('archivi', 2), ('Хронологија', 1), ('eerd', 1), ('евич', 0), ('konn', 0), ('guez', 0), ('estanden', 0), ('hina', 0)]","[('alter', 1), ('berga', 1), ('sterd', 0), ('transform', 0), ('enders', 0), ('Alter', 0), ('ówn', 0), ('endorf', 0), ('ois', 0), ('demselben', 0)]","[('sterd', 10), ('berga', 0), ('eerd', 0), ('ográfica', 0), ('Portail', 0), ('archivi', 0), ('евич', 0), ('Hinweis', 0), ('conde', 0), ('mbH', 0)]"
layer2,"[('intrag', 1), ('савез', 0), ('oteca', 0), ('othèque', 0), ('�', 0), ('powers', 0), ('puis', 0), ('kmal', 0), ('phe', 0), ('totalité', 0)]","[('sterd', 8), ('hina', 1), ('estanden', 1), ('teger', 1), ('stag', 0), ('archivi', 0), ('atform', 0), ('eerd', 0), ('Portail', 0), ('guez', 0)]","[('indi', 2), ('ugins', 1), ('sab', 1), ('campaign', 0), ('fat', 0), ('sur', 0), ('infant', 0), ('gresql', 0), ('rem', 0), ('critic', 0)]","[('sterd', 6), ('stag', 2), ('atform', 1), ('ográfica', 1), ('teger', 1), ('hook', 0), ('oper', 0), ('berga', 0), ('publique', 0), ('guez', 0)]"
layer3,"[('raste', 2), ('unicí', 0), ('totalité', 0), ('Одна', 0), ('昌', 0), ('vn', 0), ('ederb', 0), ('osof', 0), ('ível', 0), ('erten', 0)]","[('sterd', 7), ('totalité', 1), ('stag', 1), ('teger', 1), ('ográfica', 0), ('ederb', 0), ('raste', 0), ('hook', 0), ('estanden', 0), ('guez', 0)]","[('interpre', 1), ('auer', 0), ('enger', 0), ('arca', 0), ('öt', 0), ('asia', 0), ('reven', 0), ('extensions', 0), ('Shell', 0), ('────', 0)]","[('estanden', 1), ('sterd', 1), ('raste', 1), ('stag', 0), ('teger', 0), ('ә', 0), ('ала', 0), ('publique', 0), ('totalité', 0), ('conde', 0)]"
layer4,"[('yes', 4), ('Answer', 2), ('yes', 1), ('YES', 0), ('answered', 0), ('answers', 0), ('rsg', 0), ('questions', 0), ('answer', 0), ('Yes', 0)]","[('sterd', 3), ('ә', 1), ('ederb', 1), ('yes', 0), ('amos', 0), ('estanden', 0), ('ала', 0), ('ing', 0), ('arms', 0), ('☉', 0)]","[('plat', 0), ('quipe', 0), ('oh', 0), ('enie', 0), ('ئ', 0), ('ang', 0), ('geldig', 0), ('馬', 0), ('{.', 0), ('No', 0)]","[('sterd', 4), ('teger', 2), ('yes', 1), ('avas', 0), ('geldig', 0), ('gepubliceerd', 0), ('amos', 0), ('iada', 0), ('egeben', 0), ('elm', 0)]"
layer5,"[('Hint', 0), ('ührt', 0), ('Oficina', 0), ('jön', 0), ('że', 0), ('ель', 0), ('listade', 0), ('aucoup', 0), ('ivamente', 0), ('virti', 0)]","[('teger', 8), ('sterd', 4), ('iada', 1), ('geldig', 1), ('elm', 0), ('yes', 0), ('égl', 0), ('listade', 0), ('gepubliceerd', 0), ('quipe', 0)]","[('ätz', 3), ('hnen', 2), ('nja', 1), ('esa', 0), ('Alert', 0), ('orn', 0), ('mbH', 0), ('jub', 0), ('typ', 0), ('ätte', 0)]","[('teger', 3), ('avas', 1), ('zeich', 1), ('Lub', 1), ('iada', 0), ('elm', 0), ('dienst', 0), ('arrow', 0), ('onces', 0), ('istra', 0)]"
layer6,"[('nez', 0), ('имен', 0), ('athers', 0), ('totalité', 0), ('rott', 0), ('Disk', 0), ('preced', 0), ('q', 0), ('县', 0), ('num', 0)]","[('avas', 3), ('totalité', 2), ('raste', 1), ('zeich', 1), ('Düsseld', 0), ('istra', 0), ('iada', 0), ('nim', 0), ('dienst', 0), ('arrow', 0)]","[('ioned', 1), ('┌', 0), ('checkout', 0), ('Système', 0), ('vars', 0), ('factor', 0), ('isc', 0), ('olu', 0), ('zer', 0), ('lio', 0)]","[('Düsseld', 1), ('avas', 1), ('totalité', 1), ('geldig', 1), ('cc', 1), ('dienst', 0), ('idense', 0), ('raste', 0), ('olg', 0), ('iada', 0)]"
layer7,"[('ona', 2), ('Bill', 0), ('onas', 0), ('дан', 0), ('́', 0), ('unes', 0), ('aws', 0), ('ƒ', 0), ('▶', 0), ('tons', 0)]","[('raste', 1), ('ƒ', 1), ('totalité', 1), ('avas', 1), ('geldig', 0), ('rib', 0), ('ulas', 0), ('rä', 0), ('Hinweis', 0), ('istr', 0)]","[('Хронологија', 4), ('Portail', 3), ('ifa', 1), ('inture', 1), ('pta', 1), ('ката', 0), ('izio', 0), ('ظ', 0), ('ญ', 0), ('ustral', 0)]","[('avas', 2), ('aucoup', 1), ('ulas', 1), ('none', 1), ('istr', 1), ('Hinweis', 0), ('ędz', 0), ('Düsseld', 0), ('apro', 0), ('verm', 0)]"
layer8,"[('etzt', 1), ('ns', 1), ('ване', 1), ('avo', 0), ('gericht', 0), ('péri', 0), ('inale', 0), ('Wol', 0), ('зей', 0), ('fat', 0)]","[('none', 1), ('frique', 1), ('久', 0), ('lande', 0), ('gate', 0), ('Hinweis', 0), ('istr', 0), ('ędz', 0), ('atge', 0), ('verm', 0)]","[('civile', 1), ('uga', 1), ('onas', 0), ('OF', 0), ('ikk', 0), ('dia', 0), ('fa', 0), ('fen', 0), ('ご', 0), ('atus', 0)]","[('none', 1), ('aucoup', 1), ('rib', 0), ('frique', 0), ('RewriteRule', 0), ('тон', 0), ('Düsseld', 0), ('totalité', 0), ('SHA', 0), ('avas', 0)]"
layer9,"[('compiled', 1), ('kre', 1), ('ureau', 1), ('compile', 1), ('ucha', 0), ('Quart', 0), ('rita', 0), ('compiling', 0), ('CL', 0), ('phia', 0)]","[('none', 4), ('rita', 1), ('RewriteRule', 1), ('�', 0), ('guer', 0), ('none', 0), ('Hinweis', 0), ('None', 0), ('ały', 0), ('frique', 0)]","[('éo', 1), ('kap', 1), ('lach', 0), ('plus', 0), ('nested', 0), ('Li', 0), ('Catalog', 0), ('mult', 0), ('Act', 0), ('Bal', 0)]","[('none', 6), ('rita', 2), ('RewriteRule', 1), ('�', 1), ('lande', 1), ('raste', 0), ('duc', 0), ('CHAP', 0), ('cki', 0), ('None', 0)]"
