question,choice_A,choice_B,choice_C,choice_D,correct_answer
Which of the following jobs is in the non-basic employment sector?,Software engineer,F-10 pickup truck assembly-line worker,Oil refinery worker,Parking lot attendant,D
A clean air act must be followed by a,web design course,hard drive manufacturer,math class,computer programming course,B
Robots can perform tasks that are dangerous for humans. What is the MAJOR limitation to the use of robots?,The assembly pieces must be very small.,The assembly process must remain exactly the same.,Robots require regular maintenance.,Robots must be provided with electricity.,B
What is essential for a robot to possess to walk up a flight of stairs?,electricity,skittles,ethics,lava,A
The items for 2 machinist proficiency test have been based on 2 job analysis of machinists in 50 plants, each employing five or more machinists doing comparable work. Such 2 procedure would contribute directly to the test's,"concurrent validity,predictive validity",empirical validity,content validity,D
As vehicles become more efficient petro consumption,increases,stops,decreases,stay the same,C
Which of the following industries did Blauner (1964) suggest was most alienating to its employees?,machine-based factory work,textile work as craft production,car manufacturing in assembly plants,chemical processing with automated practices,C
Which is the first step in a design process?,Revise the solution.,Describe the problem.,Test the possible solutions.,Identify possible solutions.,B
Which of the following are the spatial clustering algorithms?,Partitioning based clustering,K-means clustering,Grid based clustering,All of the above,D
Which of the following guidance systems is principally a materials-handling device?,Escalator,Conveyor,Highway,Railroad,B
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B
Mechanical weathering is a end result of a,wind turbines,solar panel,shad tree mechanic,giant ice river,D
Which of the following charts is used in advanced manufacturing to record results data for a preproduction process?,R chart,Run chart,X-bar chart,Pareto chart,B
Workers in which of the following jobs still have mandatory retirements once they reach a certain age?,Cab drivers,Fire fighters,Insurance regulators,Computer programmers,B
Of the following objectives, which is most appropriate for a technology education program that has a goal of enabling students to develop creative technical solutions to present and future societal problems?,"Design and construct a threedimensional model of a low-income, multifamily dwelling unit,Describe several construction careers that are related to home building",Categorize the components of a technical system,Identify the major tools and equipment used in highway construction,A
The students in an engineering class built a robot that stacks wooden blocks. A built-in computer controls the movement of the robot. The computer in the robot performs a function most similar to which part of the human body?,lungs,heart,brain,arms,C
The metal surfaces for electrical resistance welding must be,rough.,clean.,moistened,coloured,B
Which system is also known as automatic control system?,Open loop control system,Closed loop control system,Either A or B,Nether A nor B,B
 These store goods for moderate to long periods:,Storage warehouses.,Distribution centres.,Haulage transport.,Electronic data interchange.,A
Which of the following is a clustering algorithm in machine learning?,Expectation Maximization,CART,Gaussian Na??ve Bayes,Apriori,A
What is the first step in designing a product?,model a solution,communicate the solution,identify the need or want,build a prototype,C
A car-manufacturing factory is considering a new site for its next plant. Which of the following would community planners be most concerned with before allowing the plant to be built?,The amount of materials stored in the plant,The hours of operations of the new plant,The effect the plant will have on the environment,The work environment for the employees at the plant,C
Given a Neural Net with N input nodes, no hidden layers," one output node, with Entropy Loss and Sigmoid Activation Functions, which of the following algorithms (with the proper hyper-parameters and initialization) can be used to find the global optimum?,Stochastic Gradient Descent,Mini-Batch Gradient Descent",Batch Gradient Descent,All of the above,D
Thermistors measure,depth,heat,height,pressure,B
Of these research projects, which is the best choice for a student who is interested in environmental issues to study?,"making cars run on less fuel,finding more sites for copper mines",making ocean liners bigger and faster,replacing human workers with robots,A
Which best describes transportation technology?,a system that is used to move people and products,an enterprise that changes raw materials into goods,the building and finishing of structures,the conversion of mechanical energy into heat energy,A
The ROM programmed during manufacturing process itself is called,MROM,PROM,EPROM,EEPROM,A
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D
Advantages of open loop control system is/are,simple and economical.,accurate.,reliable.,all of the above.,A
Safe practices in the laboratory include all of these except,tying back long hair.,wearing safety goggles.,performing each step quickly.,wiping up spills immediately.,C
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D
Robotics would have great difficulty in existing if these had yet to be invented.,pots,cats,desktops,paper towels,C
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A
What can be renewed?,plastics,leather,coal,diesel,B
Which are the best tools to use for growing and studying bacterial cultures?,beakers,Petri dishes,microscopes,graduated cylinders,B
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D
What job site would most likely utilize powerful magnets that use electricity?,a grocery store,a gymnasium,a scrap yard,an office,C
Which of the following best shows the basic three-step energy transformation for a battery-operated radio?,Acoustical -> Mechanical -> Electrical,Mechanical -> Acoustical -> Chemical,Chemical -> Electrical -> Acoustical,Electrical -> Acoustical -> Chemical,C
Statement 1| Besides EM, gradient descent can be used to perform inference or learning on Gaussian mixture model. Statement 2 | Assuming a fixed number of attributes," a Gaussian-based Bayes optimal classifier can be learned in time linear in the number of records in the dataset.,True, True,False, False,True, False",FALSE, True,A
