Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 10), ('archivi', 3), ('partiellement', 2), ('textt', 1), ('sier', 0), ('konn', 0), ('ѐ', 0), ('totalité', 0), ('embros', 0), ('Portail', 0)]","[('пута', 24), ('partiellement', 1), ('сылки', 0), ('Censo', 0), ('sterd', 0), ('empre', 0), ('bolds', 0), ('cí', 0), ('писок', 0), ('totalité', 0)]","[('пута', 4), ('partiellement', 1), ('сылки', 1), ('embros', 0), ('penas', 0), ('textt', 0), ('virtuel', 0), ('cí', 0), ('gmin', 0), ('ә', 0)]","[('пута', 21), ('partiellement', 2), ('сылки', 1), ('sterd', 0), ('cí', 0), ('bolds', 0), ('empre', 0), ('totalité', 0), ('virtuel', 0), ('洞', 0)]"
layer1,"[('%%%%', 2), ('Pick', 0), ('ˇ', 0), ('pick', 0), ('pick', 0), ('Û', 0), ('Kong', 0), ('⁻', 0), ('ing', 0), ('TRAN', 0)]","[('пута', 3), ('partiellement', 0), ('Хронологија', 0), ('Oficina', 0), ('totalité', 0), ('сылки', 0), ('ә', 0), ('virtuel', 0), ('cí', 0), ('penas', 0)]","[('Pil', 0), ('arda', 0), ('arde', 0), ('ello', 0), ('ardi', 0), ('zet', 0), ('abei', 0), ('usch', 0), ('An', 0), ('mente', 0)]","[('sce', 0), ('ént', 0), ('пута', 0), ('sterd', 0), ('aucoup', 0), ('partiellement', 0), ('overcome', 0), ('сылки', 0), ('fen', 0), ('Carter', 0)]"
layer2,"[('werb', 0), ('ölker', 0), ('indeed', 0), ('rv', 0), ('kernel', 0), ('Rot', 0), ('ן', 0), ('iwers', 0), ('�', 0), ('propri', 0)]","[('virtuel', 0), ('fen', 0), ('sce', 0), ('overcome', 0), ('ént', 0), ('ченко', 0), ('Хронологија', 0), ('sterd', 0), ('totalité', 0), ('geg', 0)]","[('iből', 3), ('◦', 1), ('="".', 0), ('anto', 0), ('xp', 0), ('unda', 0), ('ะ', 0), ('inture', 0), ('imiter', 0), ('onderwerp', 0)]","[('Хронологија', 1), ('idense', 0), ('aucoup', 0), ('fen', 0), ('gem', 0), ('indeed', 0), ('overcome', 0), ('ǒ', 0), ('rv', 0), ('geg', 0)]"
layer3,"[('mér', 0), ('sudden', 0), ('bal', 0), ('kar', 0), ('Jug', 0), ('noise', 0), ('Cha', 0), ('Bal', 0), ('智', 0), ('false', 0)]","[('ǒ', 0), ('Jug', 0), ('autore', 0), ('idense', 0), ('orth', 0), ('connexes', 0), ('rv', 0), ('Orth', 0), ('overcome', 0), ('cí', 0)]","[('neutral', 1), ('Murray', 0), ('explo', 0), ('nor', 0), ('RE', 0), ('fn', 0), ('xt', 0), ('oby', 0), ('igan', 0), ('oda', 0)]","[('xt', 0), ('purs', 0), ('Carter', 0), ('Frank', 0), ('rv', 0), ('ң', 0), ('related', 0), ('SOUR', 0), ('cí', 0), ('基', 0)]"
layer4,"[('sí', 1), ('questions', 1), ('yes', 0), ('answers', 0), ('Answer', 0), ('Question', 0), ('ogle', 0), ('satisf', 0), ('Answer', 0), ('Gemeins', 0)]","[('Uni', 0), ('orch', 0), ('strip', 0), ('purs', 0), ('esc', 0), ('Jug', 0), ('уні', 0), ('orch', 0), ('ént', 0), ('Gemeins', 0)]","[('egen', 1), ('Nicol', 0), ('pository', 0), ('sem', 0), ('Az', 0), ('icol', 0), ('deg', 0), ('ég', 0), ('Gon', 0), ('verte', 0)]","[('ént', 0), ('orch', 0), ('purs', 0), ('plug', 0), ('indeed', 0), ('simple', 0), ('straightforward', 0), ('yes', 0), ('times', 0), ('BR', 0)]"
layer5,"[('oro', 0), ('ֵ', 0), ('arms', 0), ('aje', 0), ('bear', 0), ('BS', 0), ('lat', 0), ('ǒ', 0), ('chron', 0), ('FX', 0)]","[('indeed', 0), ('ént', 0), ('General', 0), ('ǒ', 0), ('Jug', 0), ('plug', 0), ('Gemeins', 0), ('заня', 0), ('prepared', 0), ('elm', 0)]","[('logs', 1), ('lices', 1), ('iai', 0), ('MainActivity', 0), ('uent', 0), ('nest', 0), ('Fab', 0), ('ican', 0), ('icon', 0), ('ikal', 0)]","[('ént', 1), ('autore', 0), ('Gemeins', 0), ('indeed', 0), ('straight', 0), ('icamente', 0), ('Gary', 0), ('im', 0), ('generic', 0), ('ǒ', 0)]"
layer6,"[('cej', 0), ('фере', 0), ('nej', 0), ('Herbert', 0), ('audi', 0), ('answer', 0), ('decimal', 0), ('externas', 0), ('destination', 0), ('viz', 0)]","[('ǒ', 0), ('indeed', 0), ('autore', 0), ('фере', 0), ('straightforward', 0), ('ént', 0), ('oci', 0), ('Gemeins', 0), ('jug', 0), ('acquaint', 0)]","[('oggle', 0), ('icity', 0), ('bezeichneter', 0), ('格', 0), ('Ress', 0), ('Пе', 0), ('Commons', 0), ('ouri', 0), ('Baker', 0), ('noreferrer', 0)]","[('фере', 1), ('connexes', 1), ('indeed', 0), ('oci', 0), ('пе', 0), ('xter', 0), ('ilib', 0), ('Anth', 0), ('Jug', 0), ('penas', 0)]"
layer7,"[('bst', 1), ('alberga', 1), ('witz', 1), ('식', 0), ('acci', 0), ('izza', 0), ('aties', 0), ('hat', 0), ('Background', 0), ('crisis', 0)]","[('arina', 1), ('фере', 0), ('xter', 0), ('oci', 0), ('ña', 0), ('indeed', 0), ('пе', 0), ('cí', 0), ('different', 0), ('number', 0)]","[('berts', 3), ('nitz', 3), ('références', 2), ('anus', 0), ('egos', 0), ('ASH', 0), ('medi', 0), ('ępu', 0), ('nas', 0), ('Städ', 0)]","[('irtual', 2), ('arina', 1), ('références', 0), ('edeut', 0), ('Gary', 0), ('penas', 0), ('onas', 0), ('пе', 0), ('endi', 0), ('Anth', 0)]"
layer8,"[('rather', 1), ('hands', 1), ('cul', 0), ('cul', 0), ('Hinweis', 0), ('phere', 0), ('mix', 0), ('Mitchell', 0), ('properly', 0), ('iere', 0)]","[('irtual', 1), ('arina', 0), ('références', 0), ('onas', 0), ('Eliz', 0), ('ân', 0), ('пе', 0), ('irst', 0), ('Jug', 0), ('different', 0)]","[('ias', 0), ('eten', 0), ('rid', 0), ('inge', 0), ('Gir', 0), ('exp', 0), ('�', 0), ('bib', 0), ('uid', 0), ('Glad', 0)]","[('irtual', 2), ('onas', 2), ('aria', 1), ('références', 0), ('пе', 0), ('ona', 0), ('komt', 0), ('Halle', 0), ('compression', 0), ('Gary', 0)]"
layer9,"[('jsp', 1), ('Isa', 1), ('ô', 0), ('Zug', 0), ('sim', 0), ('answer', 0), ('Gran', 0), ('ago', 0), ('postgresql', 0), ('ns', 0)]","[('compression', 1), ('irtual', 0), ('ân', 0), ('jur', 0), ('aria', 0), ('onas', 0), ('crisis', 0), ('definitely', 0), ('références', 0), ('(', 0)]","[('sche', 2), ('oux', 1), ('sin', 1), ('ami', 1), ('itos', 0), ('wards', 0), ('гани', 0), ('nel', 0), ('yi', 0), ('py', 0)]","[('arina', 1), ('gh', 0), ('aum', 0), ('irtual', 0), ('sche', 0), ('Gast', 0), ('lain', 0), ('références', 0), ('apy', 0), ('äl', 0)]"
