Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 9), ('archivi', 2), ('Ґ', 1), ('Архив', 1), ('textt', 1), ('Љ', 1), ('висини', 0), ('Ě', 0), ('embros', 0), ('Ћ', 0)]","[('Portail', 20), ('archivi', 14), ('ensoort', 1), ('textt', 1), ('trightarrow', 1), ('eerd', 1), ('пута', 0), ('listade', 0), ('embros', 0), ('Хронологија', 0)]","[('Portail', 12), ('embros', 7), ('Хронологија', 5), ('penas', 2), ('iellement', 2), ('prüng', 1), ('пута', 1), ('mathchar', 0), ('archivi', 0), ('férences', 0)]","[('Portail', 33), ('archivi', 9), ('embros', 2), ('Хронологија', 2), ('пута', 1), ('textt', 0), ('trightarrow', 0), ('Архив', 0), ('eerd', 0), ('Kontrola', 0)]"
layer1,"[('anim', 0), ('ad', 0), ('older', 0), ('de', 0), ('en', 0), ('int', 0), ('outer', 0), ('eton', 0), ('cond', 0), ('gem', 0)]","[('Portail', 4), ('archivi', 3), ('sterd', 3), ('Хронологија', 2), ('eerd', 2), ('konn', 1), ('евич', 0), ('Kontrola', 0), ('guez', 0), ('Архив', 0)]","[('alter', 1), ('berga', 0), ('ommes', 0), ('demselben', 0), ('sterd', 0), ('enders', 0), ('Alter', 0), ('ówn', 0), ('Bedeut', 0), ('transform', 0)]","[('sterd', 8), ('berga', 0), ('eerd', 0), ('евич', 0), ('ográfica', 0), ('archivi', 0), ('Portail', 0), ('Hinweis', 0), ('listade', 0), ('mbH', 0)]"
layer2,"[('othèque', 1), ('oteca', 0), ('савез', 0), ('phe', 0), ('ose', 0), ('powers', 0), ('iore', 0), ('rola', 0), ('intrag', 0), ('zeich', 0)]","[('sterd', 6), ('hina', 1), ('estanden', 0), ('ствии', 0), ('eerd', 0), ('cerem', 0), ('publique', 0), ('archivi', 0), ('teger', 0), ('puis', 0)]","[('indi', 3), ('sab', 0), ('gresql', 0), ('fat', 0), ('campaign', 0), ('either', 0), ('ugins', 0), ('aram', 0), ('prefer', 0), ('gram', 0)]","[('sterd', 5), ('ográfica', 0), ('stag', 0), ('atform', 0), ('hook', 0), ('guez', 0), ('teger', 0), ('berga', 0), ('publique', 0), ('textt', 0)]"
layer3,"[('raste', 1), ('ível', 0), ('totalité', 0), ('unicí', 0), ('estaven', 0), ('Außer', 0), ('gouvern', 0), ('osof', 0), ('Одна', 0), ('zug', 0)]","[('sterd', 7), ('totalité', 1), ('ográfica', 0), ('Außer', 0), ('stag', 0), ('gepubliceerd', 0), ('teger', 0), ('guez', 0), ('terior', 0), ('Nether', 0)]","[('interpre', 1), ('auer', 0), ('enger', 0), ('arca', 0), ('extensions', 0), ('Wol', 0), ('asia', 0), ('iono', 0), ('öt', 0), ('alia', 0)]","[('sterd', 1), ('estanden', 1), ('publique', 1), ('Außer', 0), ('teger', 0), ('iono', 0), ('Hinweis', 0), ('ә', 0), ('intrag', 0), ('finger', 0)]"
layer4,"[('yes', 4), ('Answer', 2), ('yes', 2), ('Picture', 2), ('YES', 1), ('answers', 1), ('answer', 0), ('Yes', 0), ('answered', 0), ('sí', 0)]","[('sterd', 4), ('estanden', 1), ('yes', 0), ('ә', 0), ('bernate', 0), ('☉', 0), ('ала', 0), ('mund', 0), ('sat', 0), ('amos', 0)]","[('geldig', 0), ('馬', 0), ('plat', 0), ('sak', 0), ('burgh', 0), ('oh', 0), ('fd', 0), ('arel', 0), ('lete', 0), ('wa', 0)]","[('sterd', 5), ('teger', 1), ('yes', 1), ('iada', 0), ('elm', 0), ('geldig', 0), ('gepubliceerd', 0), ('bit', 0), ('egeben', 0), ('avas', 0)]"
layer5,"[('że', 0), ('Uniti', 0), ('Oficina', 0), ('候', 0), ('bazie', 0), ('jön', 0), ('aucoup', 0), ('bbi', 0), ('Pager', 0), ('ель', 0)]","[('sterd', 6), ('teger', 3), ('iada', 1), ('elm', 1), ('geldig', 0), ('yes', 0), ('listade', 0), ('gepubliceerd', 0), ('estanden', 0), ('arms', 0)]","[('ätz', 3), ('hnen', 3), ('mbH', 2), ('�', 2), ('nja', 1), ('orn', 1), ('esa', 0), ('PN', 0), ('мат', 0), ('jub', 0)]","[('teger', 3), ('dienst', 1), ('avas', 1), ('istra', 1), ('mbH', 0), ('elm', 0), ('Kin', 0), ('sterd', 0), ('Lub', 0), ('gener', 0)]"
layer6,"[('totalité', 1), ('athers', 1), ('nez', 0), ('имен', 0), ('q', 0), ('preced', 0), ('Guer', 0), ('rott', 0), ('atom', 0), ('num', 0)]","[('totalité', 7), ('avas', 2), ('Düsseld', 1), ('dienst', 1), ('zeich', 0), ('Kin', 0), ('istra', 0), ('iada', 0), ('Guer', 0), ('ribución', 0)]","[('┌', 1), ('ioned', 0), ('Ú', 0), ('checkout', 0), ('olu', 0), ('apsed', 0), ('\x83', 0), ('Schwe', 0), ('Système', 0), ('isc', 0)]","[('totalité', 3), ('dienst', 1), ('avas', 1), ('Düsseld', 1), ('geldig', 1), ('iada', 0), ('idense', 0), ('iono', 0), ('cc', 0), ('gener', 0)]"
layer7,"[('irst', 1), ('Bill', 0), ('́', 0), ('fli', 0), ('ona', 0), ('espèce', 0), ('runtime', 0), ('дан', 0), ('ƒ', 0), ('tons', 0)]","[('totalité', 7), ('geldig', 1), ('avas', 0), ('ƒ', 0), ('raste', 0), ('istr', 0), ('rib', 0), ('ulas', 0), ('dienst', 0), ('burgh', 0)]","[('Хронологија', 3), ('ظ', 1), ('inture', 0), ('izio', 0), ('ifa', 0), ('Portail', 0), ('iből', 0), ('iemann', 0), ('ably', 0), ('ː', 0)]","[('avas', 4), ('aucoup', 3), ('istr', 2), ('ulas', 2), ('geldig', 1), ('none', 1), ('Düsseld', 1), ('verm', 0), ('Guer', 0), ('callback', 0)]"
layer8,"[('etzt', 1), ('ns', 1), ('gericht', 0), ('Wol', 0), ('avo', 0), ('ване', 0), ('žen', 0), ('Grace', 0), ('inale', 0), ('péri', 0)]","[('istr', 1), ('none', 1), ('Düsseld', 0), ('gate', 0), ('atge', 0), ('Hinweis', 0), ('CHAP', 0), ('Commonwealth', 0), ('̂', 0), ('frique', 0)]","[('civile', 1), ('atus', 1), ('init', 1), ('icker', 0), ('OF', 0), ('fen', 0), ('auc', 0), ('onas', 0), ('eca', 0), ('const', 0)]","[('none', 1), ('totalité', 0), ('aucoup', 0), ('Düsseld', 0), ('atge', 0), ('тон', 0), ('rib', 0), ('frique', 0), ('ży', 0), ('RewriteRule', 0)]"
