Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 6), ('archivi', 1), ('sterd', 0), ('瀬', 0), ('Архив', 0), ('Ě', 0), ('textt', 0), ('cí', 0), ('Љ', 0), ('奈', 0)]","[('Portail', 14), ('archivi', 9), ('ensoort', 4), ('奈', 1), ('sterd', 1), ('eerd', 1), ('пута', 0), ('berga', 0), ('Хронологија', 0), ('trightarrow', 0)]","[('Хронологија', 3), ('Portail', 1), ('administ', 1), ('embros', 1), ('пута', 1), ('bráz', 1), ('konn', 0), ('sterd', 0), ('mathchar', 0), ('prüng', 0)]","[('Portail', 14), ('archivi', 4), ('Хронологија', 2), ('sterd', 2), ('пута', 1), ('embros', 1), ('奈', 1), ('ensoort', 1), ('trightarrow', 0), ('Архив', 0)]"
layer1,"[('anim', 2), ('den', 0), ('ˇ', 0), ('isser', 0), ('refer', 0), ('oft', 0), ('gouvern', 0), ('⁻', 0), ('loss', 0), ('ministre', 0)]","[('Portail', 4), ('sterd', 1), ('Хронологија', 1), ('eerd', 1), ('archivi', 1), ('Архив', 0), ('Kontrola', 0), ('奈', 0), ('cowo', 0), ('listade', 0)]","[('transform', 1), ('arias', 0), ('tele', 0), ('Sitz', 0), ('Toast', 0), ('eni', 0), ('transformations', 0), ('Trans', 0), ('homonymes', 0), ('кра', 0)]","[('sterd', 1), ('berga', 0), ('maste', 0), ('cowo', 0), ('Portail', 0), ('ющей', 0), ('奈', 0), ('Hinweis', 0), ('ográfica', 0), ('евич', 0)]"
layer2,"[('amen', 4), ('amazon', 1), ('othèque', 1), ('yours', 1), ('ес', 0), ('nun', 0), ('elm', 0), ('ker', 0), ('athedral', 0), ('ící', 0)]","[('sterd', 1), ('othèque', 1), ('Algorithm', 1), ('eerd', 0), ('ölker', 0), ('Хронологија', 0), ('totalité', 0), ('ográfica', 0), ('Ő', 0), ('amen', 0)]","[('gram', 12), ('abgerufen', 2), ('gram', 0), ('erem', 0), ('ded', 0), ('atica', 0), ('lig', 0), ('Schrift', 0), ('Anleitung', 0), ('statist', 0)]","[('gram', 3), ('Cup', 1), ('Gram', 0), ('sterd', 0), ('番', 0), ('iennes', 0), ('Einzeln', 0), ('Unterscheidung', 0), ('Hinweis', 0), ('ográfica', 0)]"
layer3,"[('ách', 1), ('estimate', 0), ('Reference', 0), ('\x9c', 0), ('Außer', 0), ('INNER', 0), ('Magic', 0), ('rav', 0), ('�', 0), ('Loren', 0)]","[('番', 1), ('gram', 1), ('ON', 1), ('Orth', 1), ('ográfica', 0), ('totalité', 0), ('Gram', 0), ('Einzeln', 0), ('Cup', 0), ('ded', 0)]","[('IMARY', 2), ('elles', 1), ('apers', 1), ('bien', 1), ('vern', 0), ('hung', 0), ('rai', 0), ('pap', 0), ('inois', 0), ('ourt', 0)]","[('estanden', 2), ('ur', 2), ('番', 0), ('zte', 0), ('eken', 0), ('candid', 0), ('extract', 0), ('önig', 0), ('Orth', 0), ('iennes', 0)]"
layer4,"[('Answer', 12), ('yes', 4), ('answered', 2), ('Answer', 2), ('answer', 2), ('Yes', 1), ('answers', 1), ('Question', 1), ('yes', 1), ('YES', 1)]","[('actu', 2), ('gram', 1), ('estanden', 1), ('ur', 1), ('candid', 0), ('yes', 0), ('頭', 0), ('elm', 0), ('шин', 0), ('ing', 0)]","[('⅓', 2), ('ня', 1), ('ost', 1), ('Ñ', 1), ('kwiet', 0), ('burgh', 0), ('ści', 0), ('illery', 0), ('Heart', 0), ('Ḩ', 0)]","[('yes', 1), ('Answer', 1), ('avas', 1), ('ня', 0), ('önig', 0), ('enie', 0), ('Ing', 0), ('geldig', 0), ('Replace', 0), ('шин', 0)]"
layer5,"[('cura', 10), ('lit', 2), ('Hint', 1), ('disambiguation', 1), ('quelle', 1), ('候', 0), ('jön', 0), ('teck', 0), ('aucoup', 0), ('recensement', 0)]","[('Answer', 1), ('enie', 1), ('önig', 1), ('""?>', 1), ('Replace', 1), ('answer', 0), ('replace', 0), ('yes', 0), ('ня', 0), ('sterd', 0)]","[('pill', 0), ('ho', 0), ('sport', 0), ('code', 0), ('inand', 0), ('iske', 0), ('ovie', 0), ('adó', 0), ('hnen', 0), ('castle', 0)]","[('enie', 1), ('ня', 1), ('zeich', 0), ('staden', 0), ('ulas', 0), ('""?>', 0), ('Ans', 0), ('estanden', 0), ('Replace', 0), ('kin', 0)]"
layer6,"[('asa', 3), ('cita', 1), ('divis', 0), ('ista', 0), ('trad', 0), ('eden', 0), ('Zent', 0), ('ledge', 0), ('retained', 0), ('nost', 0)]","[('ulas', 1), ('enie', 1), ('staden', 0), ('zeich', 0), ('istra', 0), ('estanden', 0), ('ня', 0), ('Ans', 0), ('olta', 0), ('orth', 0)]","[('isc', 5), ('endi', 1), ('unc', 1), ('ги', 0), ('kun', 0), ('性', 0), ('ƒ', 0), ('WID', 0), ('conse', 0), ('rola', 0)]","[('rola', 2), ('Ans', 1), ('""?>', 0), ('enie', 0), ('ulas', 0), ('istra', 0), ('Eing', 0), ('illery', 0), ('staden', 0), ('estanden', 0)]"
layer7,"[('�', 1), ('acci', 0), ('uits', 0), ('Scal', 0), ('iae', 0), ('pre', 0), ('Stack', 0), ('식', 0), ('split', 0), ('TF', 0)]","[('rola', 2), ('illery', 1), ('ulas', 1), ('enie', 0), ('istra', 0), ('Ans', 0), ('�', 0), ('rib', 0), ('Eing', 0), ('fra', 0)]","[('bott', 6), ('ответ', 1), ('Port', 1), ('lac', 0), ('PORT', 0), ('tp', 0), ('̶', 0), ('porte', 0), ('ifi', 0), ('fa', 0)]","[('illery', 2), ('enie', 0), ('ulas', 0), ('fran', 0), ('mund', 0), ('straight', 0), ('apro', 0), ('unes', 0), ('none', 0), ('ap', 0)]"
layer8,"[('uwe', 0), ('eeuw', 0), ('bare', 0), ('mort', 0), ('vr', 0), ('➖', 0), ('хо', 0), ('aggio', 0), ('decomposition', 0), ('bru', 0)]","[('illery', 1), ('straight', 1), ('unes', 0), ('iennes', 0), ('compat', 0), ('inta', 0), ('icon', 0), ('Micro', 0), ('proxim', 0), ('aland', 0)]","[('civile', 1), ('fl', 0), ('lach', 0), ('primit', 0), ('OF', 0), ('utf', 0), ('uga', 0), ('Som', 0), ('ensa', 0), ('unch', 0)]","[('icon', 1), ('compat', 0), ('profession', 0), ('proxim', 0), ('lean', 0), ('apro', 0), ('beck', 0), ('ulas', 0), ('zza', 0), ('ing', 0)]"
layer9,"[('answer', 1), ('vu', 1), ('Wille', 1), ('Aires', 1), ('vez', 0), ('answered', 0), ('Trop', 0), ('tre', 0), ('zn', 0), ('zw', 0)]","[('lean', 0), ('stoff', 0), ('icon', 0), ('proxim', 0), ('ote', 0), ('tid', 0), ('тре', 0), ('ac', 0), ('profession', 0), ('compat', 0)]","[('ContentView', 2), ('Fa', 1), ('ERR', 1), ('dorf', 1), ('FA', 1), ('dor', 0), ('galax', 0), ('Catalog', 0), ('obvious', 0), ('IR', 0)]","[('inta', 1), ('Heart', 1), ('lean', 0), ('none', 0), ('sterd', 0), ('ub', 0), ('experiences', 0), ('apro', 0), ('duc', 0), ('enie', 0)]"
