Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('<s>', 4), ('férences', 1), ('ímp', 1), ('пута', 0), ('ḩ', 0), ('penas', 0), ('Хронологија', 0), ('Ḩ', 0), ('trightarrow', 0), ('Licencia', 0)]","[('<s>', 2), ('ímp', 1), ('férences', 1), ('пута', 0), ('Licencia', 0), ('ḩ', 0), ('quelle', 0), ('ográfica', 0), ('Ḩ', 0), ('trightarrow', 0)]","[('<s>', 4), ('пута', 3), ('씨', 1), ('瀬', 1), ('férences', 0), ('洞', 0), ('кипеди', 0), ('guez', 0), ('archivi', 0), ('penas', 0)]","[('<s>', 6), ('пута', 2), ('férences', 2), ('ímp', 1), ('瀬', 1), ('penas', 0), ('trightarrow', 0), ('archivi', 0), ('씨', 0), ('quelle', 0)]"
layer1,"[('anim', 1), ('refer', 0), ('isser', 0), ('références', 0), ('gouvern', 0), ('oro', 0), ('ni', 0), ('cera', 0), ('anni', 0), ('lit', 0)]","[('<s>', 26), ('férences', 1), ('ә', 0), ('penas', 0), ('ǫ', 0), ('Außer', 0), ('월', 0), ('ográfica', 0), ('opera', 0), ('anim', 0)]","[('&=\\', 2), ('ċ', 1), ('inkel', 1), ('ederb', 1), ('atform', 1), ('penas', 0), ('ответ', 0), ('pin', 0), ('̄', 0), ('aris', 0)]","[('<s>', 26), ('penas', 2), ('anim', 0), ('Außer', 0), ('férences', 0), ('ategory', 0), ('थ', 0), ('atform', 0), ('ә', 0), ('éma', 0)]"
layer2,"[('ufen', 2), ('aterra', 2), ('ién', 2), ('bah', 1), ('цо', 1), ('othèque', 1), ('Censo', 0), ('publique', 0), ('sten', 0), ('immagini', 0)]","[('<s>', 17), ('penas', 2), ('anim', 2), ('othèque', 1), ('от', 0), ('Außer', 0), ('férences', 0), ('atform', 0), ('guez', 0), ('jourd', 0)]","[('pin', 1), ('hal', 1), ('vin', 0), ('št', 0), ('ten', 0), ('reuse', 0), ('Mut', 0), ('imat', 0), ('average', 0), ('pin', 0)]","[('penas', 3), ('<s>', 2), ('anim', 1), ('Außer', 0), ('othèque', 0), ('actér', 0), ('conde', 0), ('vé', 0), ('от', 0), ('jourd', 0)]"
layer3,"[('stract', 1), ('opera', 0), ('compos', 0), ('ninger', 0), ('chrom', 0), ('żyn', 0), ('cí', 0), ('jav', 0), ('ictwo', 0), ('ť', 0)]","[('penas', 4), ('conde', 1), ('<s>', 0), ('anim', 0), ('opera', 0), ('atform', 0), ('othèque', 0), ('ť', 0), ('Außer', 0), ('multicol', 0)]","[('❯', 4), ('pad', 2), ('inand', 0), ('isk', 0), ('tir', 0), ('pad', 0), ('ale', 0), ('archar', 0), ('roman', 0), ('lig', 0)]","[('penas', 4), ('anim', 2), ('<s>', 1), ('opera', 0), ('❯', 0), ('евич', 0), ('tout', 0), ('थ', 0), ('entferne', 0), ('до', 0)]"
layer4,"[('Mode', 6), ('Mode', 3), ('avas', 1), ('ample', 1), ('agi', 0), ('�', 0), ('spre', 0), ('expand', 0), ('mode', 0), ('mode', 0)]","[('евич', 0), ('थ', 0), ('Eing', 0), ('anim', 0), ('domin', 0), ('tout', 0), ('penas', 0), ('Beau', 0), ('parallel', 0), ('opera', 0)]","[('ся', 2), ('ht', 0), ('est', 0), ('pres', 0), ('rings', 0), ('exclus', 0), ('sul', 0), ('Mes', 0), ('mes', 0), ('umin', 0)]","[('hein', 0), ('lean', 0), ('lo', 0), ('Eing', 0), ('ling', 0), ('ISSN', 0), ('forth', 0), ('Beau', 0), ('Vin', 0), ('Java', 0)]"
layer5,"[('enze', 21), ('anya', 0), ('uzione', 0), ('ville', 0), ('Nied', 0), ('skap', 0), ('esen', 0), ('mit', 0), ('recensement', 0), ('Beg', 0)]","[('forth', 1), ('lean', 1), ('avia', 0), ('enze', 0), ('ring', 0), ('immer', 0), ('Ring', 0), ('rings', 0), ('Java', 0), ('añ', 0)]","[('˚', 1), ('Magn', 1), ('adm', 0), ('alg', 0), ('ragma', 0), ('models', 0), ('sight', 0), ('Sund', 0), ('Chamber', 0), ('ighth', 0)]","[('ula', 2), ('anter', 1), ('forth', 0), ('Beau', 0), ('hein', 0), ('ragma', 0), ('hook', 0), ('˚', 0), ('Magn', 0), ('zyma', 0)]"
layer6,"[('pron', 1), ('tak', 1), ('totalité', 0), ('revers', 0), ('Tak', 0), ('vic', 0), ('anges', 0), ('Track', 0), ('remainder', 0), ('idé', 0)]","[('ula', 3), ('anter', 1), ('forth', 0), ('Magn', 0), ('Bak', 0), ('hein', 0), ('Kin', 0), ('Beau', 0), ('Java', 0), ('šč', 0)]","[('sdk', 0), ('autore', 0), ('ญ', 0), ('\u2060', 0), ('CM', 0), ('anych', 0), ('connexes', 0), ('ố', 0), ('macro', 0), ('Gros', 0)]","[('anych', 1), ('hina', 1), ('odot', 1), ('penas', 0), ('ola', 0), ('CCE', 0), ('gon', 0), ('Cit', 0), ('greatest', 0), ('umes', 0)]"
layer7,"[('duino', 1), ('<s>', 1), ('Jes', 1), ('ContentView', 1), ('cdn', 0), ('zar', 0), ('rikt', 0), ('oin', 0), ('acci', 0), ('nyelven', 0)]","[('anych', 1), ('odot', 1), ('hina', 0), ('<s>', 0), ('penas', 0), ('ná', 0), ('rror', 0), ('до', 0), ('ola', 0), ('ɾ', 0)]","[('ej', 1), ('ordo', 1), ('び', 0), ('打', 0), ('Factory', 0), ('nej', 0), ('uj', 0), ('uw', 0), ('ufe', 0), ('dimen', 0)]","[('Bright', 2), ('-,', 2), ('до', 1), ('ola', 1), ('о', 1), ('olit', 0), ('odot', 0), ('rule', 0), ('solutions', 0), ('bright', 0)]"
layer8,"[('jsf', 1), ('berger', 1), ('linear', 0), ('Linear', 0), ('linear', 0), ('iar', 0), ('Њ', 0), ('plate', 0), ('�', 0), ('ම', 0)]","[('до', 2), ('Bright', 1), ('anych', 1), ('-,', 0), ('о', 0), ('odot', 0), ('olit', 0), ('Java', 0), ('▶', 0), ('hover', 0)]","[('chev', 5), ('Trib', 1), ('PU', 0), ('ury', 0), ('tery', 0), ('auteurs', 0), ('reen', 0), ('anon', 0), ('Bug', 0), ('জ', 0)]","[('до', 2), ('Licencia', 2), ('-,', 1), ('exec', 0), ('Nue', 0), ('Fußball', 0), ('ná', 0), ('rache', 0), ('ɾ', 0), ('tri', 0)]"
layer9,"[('inha', 0), ('ppen', 0), ('phia', 0), ('answer', 0), ('answered', 0), ('切', 0), ('Republic', 0), ('vu', 0), ('annes', 0), ('answer', 0)]","[('Licencia', 3), ('-,', 1), ('до', 1), ('▶', 0), ('exec', 0), ('Nue', 0), ('olit', 0), ('ɾ', 0), ('⟩', 0), ('corrected', 0)]","[('pur', 1), ('Pur', 1), ('Lak', 1), ('pur', 1), ('derr', 0), ('Mi', 0), ('kie', 0), ('Prom', 0), ('ialog', 0), (']=""', 0)]","[('Licencia', 9), ('stoff', 1), ('до', 1), ('Nue', 1), ('Asp', 0), ('Kra', 0), ('mir', 0), ('exec', 0), ('cheer', 0), ('ola', 0)]"
