Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('Ґ', 1), ('tó', 1), ('터', 0), ('Unterscheidung', 0), ('Ě', 0), ('hat', 0), ('务', 0), ('Jahrh', 0), ('double', 0), ('gepubliceerd', 0)]","[('uit', 1), ('Архив', 1), ('bib', 0), ('ǐ', 0), ('guard', 0), ('ington', 0), ('angularjs', 0), ('reu', 0), ('ouvelle', 0), ('bolds', 0)]","[('unicí', 1), ('rive', 0), ('indows', 0), ('yntax', 0), ('ў', 0), ('ultado', 0), ('ू', 0), ('euw', 0), ('MT', 0), ('Pont', 0)]","[('Архив', 1), ('bolds', 1), ('◄', 0), ('Mant', 0), ('ू', 0), ('euw', 0), ('beskre', 0), ('ў', 0), ('тара', 0), ('Haut', 0)]"
layer1,"[('go', 0), ('rav', 0), ('ys', 0), ('echter', 0), (')', 0), ('ran', 0), ('dil', 0), ('gone', 0), ('au', 0), ('ural', 0)]","[('Rotten', 0), ('%)', 0), ('け', 0), ('ў', 0), ('Mant', 0), ('¢', 0), ('cit', 0), ('Bath', 0), ('�', 0), ('guard', 0)]","[('Veg', 1), ('eing', 1), ('Hel', 0), ('Dum', 0), ('康', 0), ('HO', 0), ('az', 0), ('égl', 0), ('ema', 0), ('semi', 0)]","[('康', 0), ('?)', 0), ('Zyg', 0), ('eing', 0), ('jar', 0), ('%)', 0), ('Außerdem', 0), ('defn', 0), ('�', 0), ('ing', 0)]"
layer2,"[('lj', 2), ('orum', 1), ('Vid', 1), ('anus', 1), ('iből', 0), ('edo', 0), ('бя', 0), ('�', 0), ('spre', 0), ('indeed', 0)]","[('defn', 0), ('�', 0), ('eton', 0), ('康', 0), ('jar', 0), ('imo', 0), ('Bath', 0), ('ing', 0), ('bout', 0), ('oe', 0)]","[('Klaus', 2), ('洲', 2), ('őd', 2), ('SV', 1), ('fare', 0), ('amb', 0), ('wp', 0), ('шов', 0), ('äh', 0), ('tank', 0)]","[('amb', 1), ('jar', 0), ('bout', 0), ('defn', 0), ('icode', 0), ('imo', 0), ('wp', 0), ('im', 0), ('œuv', 0), ('sv', 0)]"
layer3,"[('layer', 0), ('∞', 0), ('nim', 0), ('tot', 0), ('F', 0), ('Ћ', 0), ('Kinder', 0), ('äs', 0), ('Mach', 0), ('mach', 0)]","[('amb', 0), ('jar', 0), ('sv', 0), ('bout', 0), ('Klaus', 0), ('wp', 0), ('alias', 0), ('?)', 0), ('opher', 0), ('imo', 0)]","[('queries', 1), ('conditions', 1), ('Kant', 1), ('amin', 0), ('~', 0), ('extensions', 0), ('offices', 0), ('feder', 0), ('pedig', 0), ('GO', 0)]","[('amb', 4), ('wp', 1), ('~', 0), ('fare', 0), ('Amb', 0), ('imo', 0), ('Tot', 0), ('bout', 0), ('Klaus', 0), ('im', 0)]"
layer4,"[('Santi', 1), ('¦', 1), ('rott', 0), ('lacht', 0), ('iga', 0), ('ifen', 0), ('telt', 0), ('佐', 0), ('ene', 0), ('Tsch', 0)]","[('amb', 3), ('wp', 0), ('Amb', 0), ('fare', 0), ('bout', 0), ('Bath', 0), ('Ped', 0), ('Tot', 0), ('imo', 0), ('~', 0)]","[('im', 2), ('entr', 1), ('ッ', 1), ('prepared', 1), ('prep', 1), ('inf', 0), ('essions', 0), ('anchor', 0), ('coat', 0), ('ogle', 0)]","[('im', 5), ('amb', 1), ('fare', 1), ('qualified', 0), ('verb', 0), ('wp', 0), ('prepared', 0), ('→', 0), ('favor', 0), ('~', 0)]"
layer5,"[('gor', 1), ('rv', 0), ('lean', 0), ('agini', 0), ('Virtual', 0), ('mem', 0), ('ulas', 0), ('Spect', 0), ('bs', 0), ('тра', 0)]","[('im', 2), ('favour', 1), ('favor', 0), ('qualified', 0), ('imit', 0), ('lean', 0), ('verb', 0), ('~', 0), ('лей', 0), ('→', 0)]","[('orsz', 1), ('burger', 0), ('oria', 0), ('isti', 0), ('★', 0), ('anno', 0), ('iono', 0), ('још', 0), ('испо', 0), ('isz', 0)]","[('favor', 2), ('im', 1), ('verb', 0), ('favour', 0), ('qual', 0), ('qualified', 0), ('lean', 0), ('~', 0), ('<', 0), ('oby', 0)]"
layer6,"[('Kauf', 2), ('vé', 1), ('tax', 1), ('odox', 0), ('ban', 0), ('县', 0), ('xico', 0), ('ій', 0), ('telt', 0), ('ionali', 0)]","[('favor', 0), ('qualified', 0), ('Jules', 0), ('favour', 0), ('im', 0), ('ime', 0), ('cave', 0), ('imit', 0), ('ätter', 0), ('laus', 0)]","[('ASC', 4), ('Хронологија', 1), ('FilterChain', 1), ('сад', 1), ('IZ', 1), ('овин', 0), ('ství', 0), ('Nel', 0), ('̱', 0), ('olu', 0)]","[('favor', 1), ('Jules', 0), ('qualified', 0), ('éma', 0), ('laus', 0), ('verb', 0), ('stackoverflow', 0), ('wp', 0), ('uder', 0), ('qual', 0)]"
layer7,"[('ijn', 2), ('kwiet', 1), ('Tak', 1), ('�', 0), ('зма', 0), ('alg', 0), ('Bounds', 0), ('Bir', 0), ('ǧ', 0), ('Ban', 0)]","[('éma', 0), ('brie', 0), ('favor', 0), ('Bef', 0), ('ে', 0), ('arina', 0), ('kwiet', 0), ('Jules', 0), ('verb', 0), ('Ban', 0)]","[('egn', 3), ('strij', 1), ('acent', 1), ('ɨ', 0), ('ound', 0), ('lär', 0), ('пода', 0), ('ografi', 0), ('sob', 0), ('selves', 0)]","[('ে', 1), ('Jules', 0), ('kwiet', 0), ('orsz', 0), ('nem', 0), ('éma', 0), ('ово', 0), ('Bef', 0), ('uit', 0), ('Culture', 0)]"
layer8,"[('widet', 1), ('contra', 0), ('(/', 0), ('dod', 0), ('dot', 0), ('olia', 0), ('lac', 0), ('дра', 0), ('Edit', 0), ('Jer', 0)]","[('kwiet', 1), ('uit', 0), ('IMARY', 0), ('候', 0), ('j', 0), ('œuv', 0), ('Bach', 0), ('diplom', 0), ('森', 0), ('óż', 0)]","[('ing', 1), ('ito', 0), ('strap', 0), ('Labor', 0), ('ocal', 0), ('Robinson', 0), ('éon', 0), ('yi', 0), ('�', 0), ('ynchron', 0)]","[('j', 1), ('uit', 0), ('森', 0), ('œuv', 0), ('kwiet', 0), ('Jules', 0), ('onel', 0), ('cin', 0), ('óż', 0), ('Dok', 0)]"
layer9,"[('odot', 2), ('gran', 1), ('Tube', 1), ('ds', 0), ('ande', 0), ('okrat', 0), ('pom', 0), ('gesamt', 0), ('Dez', 0), ('CBS', 0)]","[('j', 4), ('kwiet', 2), ('óż', 1), ('Jules', 0), ('uit', 0), ('sr', 0), ('zor', 0), ('Diplom', 0), ('ово', 0), ('onel', 0)]","[('uo', 1), ('haupt', 1), ('Singap', 1), ('Singh', 0), ('gow', 0), ('łoż', 0), ('au', 0), ('ė', 0), ('va', 0), ('Products', 0)]","[('ово', 1), ('uit', 1), ('j', 0), ('brie', 0), ('gow', 0), ('layers', 0), ('Jules', 0), ('ченко', 0), ('Komm', 0), ('engaged', 0)]"
