Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('Ґ', 1), ('tó', 1), ('터', 0), ('Unterscheidung', 0), ('Ě', 0), ('hat', 0), ('务', 0), ('Jahrh', 0), ('double', 0), ('gepubliceerd', 0)]","[('uit', 1), ('Архив', 1), ('bib', 0), ('guard', 0), ('ǐ', 0), ('ington', 0), ('angularjs', 0), ('reu', 0), ('ouvelle', 0), ('bolds', 0)]","[('unicí', 1), ('rive', 0), ('indows', 0), ('yntax', 0), ('ў', 0), ('ultado', 0), ('ू', 0), ('euw', 0), ('MT', 0), ('Pont', 0)]","[('Архив', 1), ('bolds', 1), ('◄', 0), ('Mant', 0), ('ू', 0), ('euw', 0), ('beskre', 0), ('ў', 0), ('тара', 0), ('Haut', 0)]"
layer1,"[('go', 0), ('rav', 0), ('ys', 0), ('echter', 0), (')', 0), ('ran', 0), ('dil', 0), ('gone', 0), ('au', 0), ('ural', 0)]","[('Rotten', 0), ('%)', 0), ('け', 0), ('ў', 0), ('Mant', 0), ('¢', 0), ('cit', 0), ('Bath', 0), ('�', 0), ('guard', 0)]","[('Veg', 1), ('eing', 1), ('Dum', 0), ('Hel', 0), ('康', 0), ('HO', 0), ('égl', 0), ('az', 0), ('ema', 0), ('semi', 0)]","[('康', 0), ('?)', 0), ('Zyg', 0), ('eing', 0), ('jar', 0), ('%)', 0), ('defn', 0), ('Außerdem', 0), ('�', 0), ('eton', 0)]"
layer2,"[('lj', 2), ('orum', 1), ('Vid', 1), ('anus', 1), ('бя', 0), ('iből', 0), ('indeed', 0), ('edo', 0), ('spre', 0), ('othe', 0)]","[('defn', 0), ('�', 0), ('eton', 0), ('康', 0), ('jar', 0), ('imo', 0), ('Bath', 0), ('ing', 0), ('oe', 0), ('bout', 0)]","[('洲', 2), ('Klaus', 2), ('őd', 2), ('SV', 1), ('fare', 0), ('amb', 0), ('шов', 0), ('tank', 0), ('äh', 0), ('wp', 0)]","[('amb', 1), ('jar', 0), ('bout', 0), ('icode', 0), ('defn', 0), ('imo', 0), ('wp', 0), ('im', 0), ('eton', 0), ('sv', 0)]"
layer3,"[('layer', 0), ('∞', 0), ('nim', 0), ('F', 0), ('tot', 0), ('Ћ', 0), ('Kinder', 0), ('äs', 0), ('mach', 0), ('Mach', 0)]","[('amb', 0), ('jar', 0), ('sv', 0), ('bout', 0), ('Klaus', 0), ('wp', 0), ('?)', 0), ('opher', 0), ('Orth', 0), ('spo', 0)]","[('queries', 1), ('conditions', 1), ('Kant', 1), ('amin', 0), ('~', 0), ('extensions', 0), ('offices', 0), ('feder', 0), ('GO', 0), ('pedig', 0)]","[('amb', 4), ('wp', 1), ('fare', 0), ('~', 0), ('Amb', 0), ('imo', 0), ('Tot', 0), ('bout', 0), ('im', 0), ('Klaus', 0)]"
layer4,"[('Santi', 1), ('¦', 1), ('rott', 0), ('iga', 0), ('佐', 0), ('ene', 0), ('lacht', 0), ('ifen', 0), ('telt', 0), ('цю', 0)]","[('amb', 3), ('wp', 0), ('Amb', 0), ('fare', 0), ('bout', 0), ('Bath', 0), ('Ped', 0), ('Tot', 0), ('verb', 0), ('imo', 0)]","[('im', 2), ('entr', 1), ('ッ', 1), ('prepared', 1), ('inf', 1), ('prep', 0), ('essions', 0), ('�', 0), ('coat', 0), ('anchor', 0)]","[('im', 5), ('amb', 1), ('fare', 1), ('verb', 0), ('qualified', 0), ('wp', 0), ('prepared', 0), ('favor', 0), ('→', 0), ('~', 0)]"
layer5,"[('gor', 1), ('rv', 0), ('lean', 0), ('Virtual', 0), ('mem', 0), ('agini', 0), ('ulas', 0), ('iter', 0), ('üsseld', 0), ('Spect', 0)]","[('im', 2), ('favour', 1), ('favor', 0), ('qualified', 0), ('imit', 0), ('verb', 0), ('lean', 0), ('~', 0), ('wp', 0), ('→', 0)]","[('orsz', 1), ('burger', 1), ('oria', 0), ('isti', 0), ('★', 0), ('anno', 0), ('iono', 0), ('још', 0), ('испо', 0), ('isz', 0)]","[('favor', 2), ('im', 1), ('favour', 0), ('verb', 0), ('qualified', 0), ('qual', 0), ('lean', 0), ('<', 0), ('~', 0), ('arina', 0)]"
layer6,"[('Kauf', 2), ('vé', 1), ('tax', 1), ('odox', 0), ('ban', 0), ('ionali', 0), ('ій', 0), ('县', 0), ('xico', 0), ('telt', 0)]","[('favor', 0), ('qualified', 0), ('Jules', 0), ('favour', 0), ('im', 0), ('ime', 0), ('cave', 0), ('imit', 0), ('ätter', 0), ('laus', 0)]","[('ASC', 3), ('Хронологија', 2), ('IZ', 1), ('FilterChain', 1), ('сад', 1), ('овин', 1), ('ství', 0), ('̱', 0), ('olu', 0), ('Nel', 0)]","[('favor', 1), ('Jules', 0), ('qualified', 0), ('éma', 0), ('laus', 0), ('verb', 0), ('wp', 0), ('tout', 0), ('Bud', 0), ('uder', 0)]"
layer7,"[('ijn', 2), ('kwiet', 1), ('Tak', 0), ('�', 0), ('зма', 0), ('alg', 0), ('vic', 0), ('Bounds', 0), ('lex', 0), ('Ban', 0)]","[('éma', 0), ('favor', 0), ('Bef', 0), ('brie', 0), ('ে', 0), ('arina', 0), ('verb', 0), ('kwiet', 0), ('Jules', 0), ('Ban', 0)]","[('egn', 3), ('strij', 1), ('ɨ', 0), ('acent', 0), ('ound', 0), ('lär', 0), ('пода', 0), ('ografi', 0), ('sob', 0), ('selves', 0)]","[('ে', 0), ('kwiet', 0), ('Jules', 0), ('orsz', 0), ('nem', 0), ('éma', 0), ('uit', 0), ('ово', 0), ('Bef', 0), ('incoming', 0)]"
layer8,"[('widet', 1), ('contra', 0), ('(/', 0), ('dod', 0), ('dot', 0), ('olia', 0), ('дра', 0), ('lac', 0), ('Edit', 0), ('rama', 0)]","[('kwiet', 1), ('uit', 0), ('IMARY', 0), ('候', 0), ('j', 0), ('œuv', 0), ('diplom', 0), ('森', 0), ('Bach', 0), ('nem', 0)]","[('ing', 0), ('ito', 0), ('strap', 0), ('Labor', 0), ('ocal', 0), ('Robinson', 0), ('éon', 0), ('yi', 0), ('lim', 0), ('�', 0)]","[('j', 1), ('uit', 0), ('森', 0), ('œuv', 0), ('kwiet', 0), ('Jules', 0), ('cin', 0), ('onel', 0), ('Dok', 0), ('yter', 0)]"
layer9,"[('odot', 1), ('Tube', 0), ('gran', 0), ('ds', 0), ('okrat', 0), ('ande', 0), ('pom', 0), ('gesamt', 0), ('Dez', 0), ('setopt', 0)]","[('j', 4), ('kwiet', 2), ('óż', 0), ('Jules', 0), ('uit', 0), ('sr', 0), ('Diplom', 0), ('zor', 0), ('ово', 0), ('ченко', 0)]","[('haupt', 1), ('uo', 1), ('Singap', 1), ('Singh', 0), ('łoż', 0), ('Products', 0), ('gow', 0), ('au', 0), ('ė', 0), ('va', 0)]","[('uit', 1), ('ово', 1), ('j', 0), ('brie', 0), ('layers', 0), ('gow', 0), ('Jules', 0), ('ченко', 0), ('Ej', 0), ('Komm', 0)]"
