Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 6), ('archivi', 5), ('textt', 4), ('Архив', 1), ('Љ', 1), ('Ґ', 1), ('висини', 1), ('sterd', 0), ('embros', 0), ('ѐ', 0)]","[('Portail', 23), ('archivi', 20), ('textt', 3), ('ensoort', 1), ('Хронологија', 0), ('sterd', 0), ('trightarrow', 0), ('embros', 0), ('listade', 0), ('висини', 0)]","[('Portail', 7), ('embros', 4), ('penas', 1), ('prüng', 1), ('ә', 0), ('iellement', 0), ('administ', 0), ('ө', 0), ('empre', 0), ('пута', 0)]","[('Portail', 34), ('archivi', 11), ('embros', 2), ('Хронологија', 1), ('пута', 0), ('textt', 0), ('Архив', 0), ('sterd', 0), ('trightarrow', 0), ('eerd', 0)]"
layer1,"[('cam', 0), ('de', 0), ('anim', 0), ('cultiv', 0), ('en', 0), ('refer', 0), ('bbe', 0), ('bum', 0), ('gem', 0), ('rem', 0)]","[('archivi', 4), ('sterd', 3), ('Portail', 2), ('Хронологија', 1), ('eerd', 1), ('konn', 0), ('Kontrola', 0), ('guez', 0), ('ә', 0), ('mbH', 0)]","[('ówn', 1), ('alter', 0), ('berga', 0), ('sterd', 0), ('ois', 0), ('enders', 0), ('transform', 0), ('árs', 0), ('iennes', 0), ('秀', 0)]","[('sterd', 8), ('archivi', 0), ('eerd', 0), ('mbH', 0), ('евич', 0), ('berga', 0), ('ográfica', 0), ('listade', 0), ('ә', 0), ('Portail', 0)]"
layer2,"[('савез', 0), ('rola', 0), ('oteca', 0), ('publique', 0), ('phe', 0), ('totalité', 0), ('enc', 0), ('ose', 0), ('powers', 0), ('pent', 0)]","[('sterd', 5), ('Kontrola', 1), ('archivi', 0), ('publique', 0), ('idense', 0), ('eerd', 0), ('estanden', 0), ('ölker', 0), ('hina', 0), ('guez', 0)]","[('indi', 2), ('sab', 1), ('ugins', 0), ('campaign', 0), ('gresql', 0), ('prefer', 0), ('MQ', 0), ('Youth', 0), ('fat', 0), ('aram', 0)]","[('sterd', 3), ('ográfica', 1), ('publique', 0), ('stag', 0), ('atform', 0), ('textt', 0), ('guez', 0), ('hook', 0), ('teger', 0), ('eerd', 0)]"
layer3,"[('estaven', 1), ('ível', 1), ('unicí', 0), ('totalité', 0), ('raste', 0), ('zug', 0), ('runner', 0), ('gouvern', 0), ('Außer', 0), ('Одна', 0)]","[('sterd', 3), ('totalité', 2), ('ográfica', 1), ('gepubliceerd', 0), ('publique', 0), ('estanden', 0), ('archivi', 0), ('Außer', 0), ('stag', 0), ('Begriffe', 0)]","[('enger', 1), ('auer', 0), ('Wol', 0), ('öt', 0), ('Named', 0), ('interpre', 0), ('arca', 0), ('selves', 0), ('lac', 0), ('ë', 0)]","[('estanden', 2), ('publique', 1), ('sterd', 1), ('totalité', 1), ('ала', 0), ('teger', 0), ('eken', 0), ('ә', 0), ('Hinweis', 0), ('egeben', 0)]"
layer4,"[('yes', 4), ('Answer', 1), ('yes', 1), ('satisf', 1), ('Bian', 0), ('Pin', 0), ('Yes', 0), ('YES', 0), ('YES', 0), ('answers', 0)]","[('sterd', 3), ('ә', 0), ('☉', 0), ('estanden', 0), ('yes', 0), ('ала', 0), ('ing', 0), ('mund', 0), ('amos', 0), ('ederb', 0)]","[('fd', 0), ('馬', 0), ('sak', 0), ('eas', 0), ('ahl', 0), ('datab', 0), ('widet', 0), ('plat', 0), ('geldig', 0), ('{.', 0)]","[('sterd', 2), ('yes', 1), ('iada', 1), ('bit', 1), ('avas', 1), ('teger', 1), ('Lub', 0), ('elm', 0), ('geldig', 0), ('Ing', 0)]"
layer5,"[('oro', 0), ('Hint', 0), ('лій', 0), ('prüng', 0), ('totalité', 0), ('teck', 0), ('jön', 0), ('posa', 0), ('越', 0), ('Vil', 0)]","[('teger', 3), ('iada', 2), ('sterd', 2), ('yes', 1), ('quipe', 1), ('elm', 1), ('geldig', 0), ('await', 0), ('favor', 0), ('avas', 0)]","[('nja', 3), ('usch', 2), ('<s>', 1), ('�', 1), ('mbH', 1), ('lista', 0), ('ätz', 0), ('jub', 0), ('hnen', 0), ('ialog', 0)]","[('dienst', 3), ('teger', 3), ('mbH', 1), ('elm', 1), ('iada', 1), ('avas', 1), ('Lub', 0), ('Kin', 0), ('¥', 0), ('idense', 0)]"
layer6,"[('totalité', 2), ('athers', 1), ('rott', 0), ('meck', 0), ('q', 0), ('zeg', 0), ('имен', 0), ('reply', 0), ('县', 0), ('▲', 0)]","[('totalité', 9), ('dienst', 1), ('iada', 1), ('avas', 1), ('AU', 0), ('zeich', 0), ('ѫ', 0), ('Leopold', 0), ('estanden', 0), ('▲', 0)]","[('┌', 2), ('olu', 1), ('ioned', 1), ('ván', 0), ('\x83', 0), ('tempt', 0), ('指', 0), ('apsed', 0), ('etro', 0), ('permission', 0)]","[('totalité', 5), ('geldig', 2), ('olg', 1), ('dienst', 1), ('avas', 1), ('idense', 0), ('iono', 0), ('cc', 0), ('iada', 0), ('➖', 0)]"
layer7,"[('Bill', 2), ('́', 1), ('irst', 1), ('fli', 0), ('blatt', 0), ('aws', 0), ('̈', 0), ('für', 0), ('EV', 0), ('kr', 0)]","[('totalité', 13), ('geldig', 1), ('➖', 0), ('dienst', 0), ('olg', 0), ('avas', 0), ('istr', 0), ('burgh', 0), ('ƒ', 0), ('uits', 0)]","[('inture', 2), ('izio', 1), ('сько', 0), ('dbo', 0), ('ifi', 0), ('zd', 0), ('ably', 0), ('jou', 0), ('ː', 0), ('ewnę', 0)]","[('totalité', 2), ('none', 2), ('istr', 2), ('avas', 2), ('dienst', 1), ('geldig', 1), ('Guer', 0), ('SHA', 0), ('verm', 0), ('ѐ', 0)]"
layer8,"[('ване', 2), ('etzt', 1), ('gericht', 1), ('inale', 1), ('avo', 0), ('iclopedia', 0), ('Erd', 0), ('ży', 0), ('fat', 0), ('ns', 0)]","[('none', 1), ('Commonwealth', 1), ('gericht', 0), ('totalité', 0), ('dienst', 0), ('istr', 0), ('ząd', 0), ('atge', 0), ('RewriteRule', 0), ('ѐ', 0)]","[('init', 1), ('icker', 1), ('fen', 0), ('atus', 0), ('onas', 0), ('raw', 0), ('Spr', 0), ('ikk', 0), ('verb', 0), ('OF', 0)]","[('totalité', 2), ('none', 1), ('RewriteRule', 0), ('atge', 0), ('gericht', 0), ('SHA', 0), ('guer', 0), ('ały', 0), ('org', 0), ('ży', 0)]"
layer9,"[('bt', 2), ('Units', 1), ('Gran', 1), ('esz', 1), ('öß', 0), ('рин', 0), ('sBy', 0), ('aggreg', 0), ('Clar', 0), ('gran', 0)]","[('none', 1), ('atge', 0), ('RewriteRule', 0), ('ały', 0), ('Leopold', 0), ('geldig', 0), ('org', 0), ('ân', 0), ('bt', 0), ('ös', 0)]","[('wald', 1), ('parenthes', 1), ('Serv', 0), ('hof', 0), ('rend', 0), ('áš', 0), ('hely', 0), ('Catalog', 0), ('serv', 0), ('SI', 0)]","[('none', 5), ('RewriteRule', 1), ('rita', 0), ('atge', 0), ('audi', 0), ('raste', 0), ('Leopold', 0), ('рис', 0), ('None', 0), ('arga', 0)]"
layer10,"[('Ћ', 1), ('су', 1), ('totalité', 0), ('lack', 0), ('RC', 0), ('vl', 0), ('edor', 0), ('parator', 0), ('esterni', 0), ('gepubliceerd', 0)]","[('totalité', 3), ('atge', 3), ('none', 1), ('externas', 1), ('Leopold', 0), ('近', 0), ('eerd', 0), ('RewriteRule', 0), ('Hinweis', 0), ('Eliz', 0)]","[('none', 2), ('cup', 1), ('iar', 0), ('af', 0), ('atos', 0), ('forb', 0), ('Park', 0), ('tem', 0), ('none', 0), ('Co', 0)]","[('none', 32), ('none', 6), ('None', 1), ('atge', 1), ('None', 0), ('latter', 0), ('pour', 0), ('имен', 0), ('totalité', 0), ('ege', 0)]"
