Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 20.23), ('penas', 10.45), ('▁sier', 4.78), ('archivi', 2.78), ('trightarrow', 2.3), ('씨', 1.83), ('sime', 1.77), ('▁konn', 1.13), ('▁partiellement', 0.9), ('▁totalité', 0.83)]","[('пута', 16.48), ('penas', 11.56), ('▁sier', 4.54), ('archivi', 2.06), ('sime', 1.97), ('trightarrow', 1.86), ('▁Licencia', 1.67), ('ímp', 1.04), ('▁partiellement', 1.0), ('씨', 0.98)]","[('пута', 48.74), ('penas', 6.5), ('▁sier', 3.05), ('▁konn', 1.84), ('archivi', 1.59), ('▁virtuel', 1.55), ('▁partiellement', 1.37), ('씨', 1.02), ('▁cí', 0.99), ('embros', 0.92)]","[('пута', 40.56), ('penas', 11.93), ('▁sier', 4.83), ('archivi', 2.25), ('▁konn', 1.46), ('▁partiellement', 1.39), ('씨', 1.19), ('▁virtuel', 0.99), ('▁cí', 0.91), ('▁Licencia', 0.78)]"
layer1,"[('ol', 1.8), ('refer', 0.8), ('cus', 0.76), ('oc', 0.57), ('osa', 0.56), ('ula', 0.55), ('pick', 0.55), ('▁Насе', 0.54), ('сти', 0.49), ('aje', 0.44)]","[('1', 1.74), ('▁', 1.46), ('If', 0.87), ('▁▁▁', 0.71), ('пута', 0.65), ('There', 0.56), ('0', 0.56), ('6', 0.54), (',', 0.51), ('This', 0.51)]","[('arda', 4.0), ('ugno', 1.4), ('▁repub', 1.04), ('―', 0.71), ('chus', 0.6), ('AV', 0.57), (',\\,', 0.44), ('▁Dy', 0.38), ('mp', 0.38), ('MC', 0.37)]","[('1', 4.14), ('In', 1.27), ('6', 0.94), ('0', 0.91), ('This', 0.86), ('With', 0.79), ('2', 0.75), ('If', 0.74), ('The', 0.67), ('7', 0.64)]"
layer2,"[('werb', 1.95), ('<0xAB>', 1.58), ('led', 1.41), ('ander', 0.97), ('comm', 0.81), ('asp', 0.71), ('ret', 0.7), ('wer', 0.63), ('rs', 0.59), ('cri', 0.44)]","[('1', 1.88), ('0', 1.02), ('dem', 0.93), ('In', 0.61), ('6', 0.56), ('7', 0.46), ('8', 0.42), ('▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁', 0.4), (',', 0.36), ('s', 0.35)]","[('zung', 0.73), ('œ', 0.59), ('▁temp', 0.59), ('rick', 0.55), ('ingu', 0.54), ('cas', 0.48), ('▁Fer', 0.48), ('cos', 0.44), ('▁ph', 0.43), ('kir', 0.42)]","[('1', 2.64), ('In', 1.12), ('<0x09>', 0.84), ('in', 0.75), ('g', 0.72), ('▁ph', 0.69), ('▁kne', 0.65), ('to', 0.52), ('[', 0.49), ('We', 0.42)]"
layer3,"[('▁more', 1.0), ('▁we', 0.99), ('▁or', 0.77), ('▁Great', 0.75), ('▁to', 0.7), ('▁first', 0.65), ('▁narrow', 0.62), ('▁still', 0.6), ('▁pr', 0.59), ('▁related', 0.57)]","[('1', 1.44), ('[', 0.95), ('<0x0A>', 0.79), ('<0x09>', 0.7), ('▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁', 0.69), ('in', 0.63), ('<', 0.56), ('to', 0.5), ('In', 0.49), (',', 0.48)]","[('ERS', 0.63), ('тература', 0.59), ('▁Freund', 0.57), ('▁fjär', 0.56), ('idenote', 0.52), ('жива', 0.5), ('andas', 0.42), ('▁viv', 0.41), ('▁cin', 0.35), ('endar', 0.34)]","[('1', 3.18), ('in', 1.39), ('m', 1.22), ('0', 0.87), ('p', 0.6), ('to', 0.57), ('be', 0.55), ('▁kne', 0.52), ('t', 0.49), ('Your', 0.48)]"
layer4,"[('lius', 4.68), ('arte', 0.49), ('▁tight', 0.48), ('▁род', 0.48), ('mund', 0.46), ('arrison', 0.44), ('▁Haupt', 0.42), ('▁Bog', 0.42), ('▁Gemeins', 0.41), ('->', 0.39)]","[('in', 1.65), ('1', 1.08), ('m', 0.89), ('t', 0.8), ('L', 0.79), ('g', 0.72), ('on', 0.6), ('In', 0.55), ('to', 0.52), ('ol', 0.51)]","[('FT', 0.8), ('iner', 0.64), ('▁Kore', 0.58), ('trace', 0.55), ('sect', 0.45), ('TM', 0.44), ('▁Regie', 0.44), ('execute', 0.43), ('ilib', 0.4), ('ós', 0.39)]","[('for', 1.73), ('1', 1.29), ('at', 1.04), ('on', 0.89), ('in', 0.87), ('0', 0.73), ('t', 0.68), ('g', 0.65), ('TM', 0.59), ('[', 0.54)]"
layer5,"[('Om', 0.63), ('nem', 0.59), ('luss', 0.59), ('пе', 0.48), ('▁Haus', 0.48), ('endorf', 0.48), ('▁**', 0.48), ('▁cout', 0.44), ('ове', 0.39), ('ano', 0.36)]","[('aut', 1.45), ('1', 1.41), ('0', 0.95), ('ach', 0.91), ('3', 0.78), ('cul', 0.72), ('�', 0.69), ('L', 0.66), ('–', 0.61), ('[', 0.52)]","[('urt', 1.05), ('angers', 0.91), ('atter', 0.86), ('led', 0.75), ('ling', 0.72), ('Range', 0.6), ('erton', 0.54), ('ab', 0.54), ('lear', 0.52), ('igne', 0.52)]","[('1', 6.38), ('4', 1.67), ('0', 1.63), ('3', 1.38), ('ach', 1.35), ('2', 1.35), ('7', 1.03), ('urt', 0.84), ('aut', 0.84), ('[', 0.81)]"
layer6,"[('▁pron', 1.7), ('▁vers', 1.33), ('▁jud', 0.92), ('▁rendering', 0.87), ('▁correl', 0.8), ('▁lean', 0.69), ('▁Kor', 0.64), ('▁Costa', 0.6), ('▁render', 0.58), ('▁name', 0.46)]","[('1', 6.77), ('4', 2.49), ('3', 2.08), ('[', 1.66), ('0', 1.59), ('7', 1.18), ('▁', 1.11), ('ach', 1.01), ('<0x09>', 0.96), ('�', 0.91)]","[('pu', 2.83), ('торы', 0.45), ('II', 0.45), ('▁Estad', 0.44), ('iat', 0.44), ('▁Stad', 0.43), ('шта', 0.4), ('uber', 0.39), ('Ṭ', 0.38), ('Modal', 0.32)]","[('1', 7.44), ('[', 2.57), ('4', 2.25), ('3', 1.9), ('L', 1.7), ('▁', 1.52), ('7', 1.45), ('0', 1.2), ('ling', 1.04), ('2', 1.02)]"
layer7,"[('av', 2.25), ('gresql', 0.96), ('▁Cultura', 0.88), ('▁Colors', 0.88), ('▁alberga', 0.77), ('ť', 0.69), ('平', 0.66), ('bst', 0.61), ('arina', 0.57), ('dar', 0.55)]","[('1', 6.14), ('L', 2.42), ('[', 1.86), ('3', 1.55), ('4', 1.55), ('▁', 1.51), ('<0x0A>', 1.2), ('0', 1.05), ('ling', 0.97), ('7', 0.97)]","[('<0x0A>', 0.97), ('lave', 0.83), ('Relative', 0.77), ('▁relative', 0.73), ('▁uniform', 0.71), ('zza', 0.65), ('▁forgotten', 0.63), ('oups', 0.57), ('bridge', 0.49), ('▁о', 0.49)]","[('<0x0A>', 13.52), ('1', 5.96), ('3', 1.88), ('▁', 1.59), ('\\', 1.33), ('4', 1.29), ('0', 1.1), ('[', 1.09), ('L', 0.98), ('▁[', 0.98)]"
layer8,"[('љи', 1.21), ('<0x82>', 0.92), ('ść', 0.84), ('▁Kilometer', 0.62), ('TeX', 0.61), ('▁Freder', 0.59), ('ede', 0.57), ('▁Wikipédia', 0.54), ('Invoke', 0.51), ('îne', 0.5)]","[('<0x0A>', 9.15), ('1', 3.2), ('3', 1.36), ('\\', 1.2), ('4', 1.07), ('(', 1.0), ('[', 0.82), ('</s>', 0.76), ('O', 0.75), ('Ar', 0.72)]","[('▁Kal', 1.91), ('▁rem', 1.46), ('dr', 1.35), ('▁lo', 0.91), ('▁por', 0.81), ('▁dr', 0.66), ('orer', 0.64), ('eta', 0.57), ('▁co', 0.52), ('▁BB', 0.47)]","[('<0x0A>', 30.55), ('1', 1.94), ('</s>', 1.59), ('B', 1.41), ('\\', 1.28), ('(', 1.1), ('▁', 0.99), ('O', 0.98), ('▁[', 0.75), ('▁(', 0.7)]"
layer9,"[('▁rör', 1.75), ('▁based', 1.14), ('▁pool', 0.87), ('▁answer', 0.87), ('字', 0.72), ('島', 0.72), ('▁firm', 0.69), ('kill', 0.6), ('▁Pool', 0.5), ('tiny', 0.43)]","[('<0x0A>', 16.78), ('1', 2.03), ('(', 1.87), ('\\', 1.85), ('▁[', 1.37), ('▁hands', 1.19), ('▁(', 1.13), ('O', 0.91), ('▁', 0.87), ('L', 0.78)]","[('sin', 2.02), ('gate', 1.67), ('ican', 1.45), ('spiel', 1.37), ('▁sin', 1.22), ('jest', 1.1), ('icas', 0.99), ('égl', 0.96), ('▁conver', 0.84), ('▁Í', 0.7)]","[('<0x0A>', 6.88), ('\\', 1.19), ('▁[', 1.19), ('(', 0.99), ('▁I', 0.92), ('▁(', 0.91), ('L', 0.87), ('B', 0.76), ('k', 0.51), ('Sch', 0.48)]"
