Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('tó', 0), ('Ґ', 0), ('务', 0), ('trightarrow', 0), ('totalité', 0), ('Jahrh', 0), ('hat', 0), ('터', 0), ('Censo', 0), ('lès', 0)]","[('ǐ', 1), ('Архив', 0), ('ksam', 0), ('guard', 0), ('bolds', 0), ('uit', 0), ('bib', 0), ('angularjs', 0), ('Ḩ', 0), ('reu', 0)]","[('unicí', 1), ('indows', 1), ('rive', 1), ('MT', 0), ('yntax', 0), ('rivate', 0), ('penas', 0), ('cult', 0), ('ultado', 0), ('ू', 0)]","[('bolds', 1), ('◄', 0), ('Архив', 0), ('ksam', 0), ('тара', 0), ('Mant', 0), ('unicí', 0), ('beskre', 0), ('ख', 0), ('ǐ', 0)]"
layer1,"[('go', 1), (')', 0), ('ys', 0), ('rav', 0), ('touched', 0), ('ap', 0), ('ran', 0), ('p', 0), ('anim', 0), ('ural', 0)]","[('Rotten', 0), ('务', 0), ('Mant', 0), ('guard', 0), ('%)', 0), ('英', 0), ('ў', 0), ('Bath', 0), ('script', 0), ('◄', 0)]","[('康', 2), ('eing', 1), ('Veg', 1), ('Dum', 0), ('ema', 0), ('book', 0), ('semi', 0), ('az', 0), ('égl', 0), ('HO', 0)]","[('康', 1), ('jar', 0), ('eing', 0), ('?)', 0), ('务', 0), ('�', 0), ('Jar', 0), ('%)', 0), ('eton', 0), ('Zyg', 0)]"
layer2,"[('anus', 4), ('indeed', 1), ('Vid', 1), ('iből', 1), ('istre', 0), ('edo', 0), ('lj', 0), ('othe', 0), ('orum', 0), ('oh', 0)]","[('康', 0), ('�', 0), ('务', 0), ('jar', 0), ('eton', 0), ('Bath', 0), ('imo', 0), ('ing', 0), ('qualified', 0), ('defn', 0)]","[('őd', 1), ('Klaus', 1), ('asha', 0), ('洲', 0), ('amb', 0), ('fare', 0), ('SV', 0), ('Vas', 0), ('äh', 0), ('pot', 0)]","[('amb', 1), ('jar', 1), ('icode', 0), ('sv', 0), ('eton', 0), ('wp', 0), ('imo', 0), ('im', 0), ('domain', 0), ('atom', 0)]"
layer3,"[('smooth', 1), ('layer', 1), ('similar', 0), ('F', 0), ('eri', 0), ('äs', 0), ('forward', 0), ('layers', 0), ('tot', 0), ('liqu', 0)]","[('amb', 1), ('sv', 0), ('jar', 0), ('Bath', 0), ('imo', 0), ('alias', 0), ('im', 0), ('Total', 0), ('spo', 0), ('repr', 0)]","[('conditions', 2), ('Kant', 0), ('GO', 0), ('y', 0), ('ista', 0), ('ware', 0), ('amin', 0), ('feder', 0), ('~', 0), ('pitt', 0)]","[('amb', 6), ('imo', 0), ('im', 0), ('Tot', 0), ('jar', 0), ('Amb', 0), ('Morgan', 0), ('wp', 0), ('Bath', 0), ('ema', 0)]"
layer4,"[('lacht', 0), ('iga', 0), ('Santi', 0), ('Ont', 0), ('ISO', 0), ('atu', 0), ('Ada', 0), ('ariat', 0), ('conj', 0), ('rott', 0)]","[('amb', 5), ('imo', 0), ('Tot', 0), ('Amb', 0), ('im', 0), ('wp', 0), ('Bath', 0), ('�', 0), ('tot', 0), ('Morgan', 0)]","[('entr', 2), ('ッ', 1), ('essions', 0), ('im', 0), ('ogle', 0), ('endo', 0), ('beck', 0), ('inf', 0), ('version', 0), ('engo', 0)]","[('im', 3), ('amb', 2), ('qualified', 0), ('务', 0), ('fare', 0), ('�', 0), ('verb', 0), ('adjust', 0), ('go', 0), ('imo', 0)]"
layer5,"[('ulas', 2), ('Virtual', 1), ('lean', 1), ('BS', 0), ('seq', 0), ('virtuel', 0), ('gor', 0), ('ower', 0), ('序', 0), ('nej', 0)]","[('im', 2), ('favour', 0), ('qualified', 0), ('lean', 0), ('务', 0), ('favor', 0), ('amb', 0), ('enter', 0), ('rea', 0), ('go', 0)]","[('orsz', 1), ('burger', 0), ('iono', 0), ('★', 0), ('anson', 0), ('heel', 0), ('још', 0), ('Mass', 0), ('onie', 0), ('isti', 0)]","[('im', 1), ('favor', 1), ('favour', 0), ('oby', 0), ('qualified', 0), ('lean', 0), ('meeting', 0), ('laus', 0), ('lean', 0), ('务', 0)]"
layer6,"[('odox', 2), ('Kauf', 1), ('tax', 0), ('ď', 0), ('ionali', 0), ('vé', 0), ('Harold', 0), ('cego', 0), ('�', 0), ('ій', 0)]","[('qualified', 0), ('im', 0), ('ime', 0), ('favor', 0), ('favour', 0), ('laus', 0), ('lean', 0), ('arina', 0), ('yter', 0), ('Jules', 0)]","[('ogonal', 2), ('yntax', 1), ('ASC', 1), ('FilterChain', 1), ('controllers', 0), ('Bern', 0), ('Frame', 0), ('estone', 0), ('sharp', 0), ('illé', 0)]","[('favor', 0), ('brie', 0), ('ök', 0), ('lean', 0), ('qualified', 0), ('laus', 0), ('Jules', 0), ('tout', 0), ('ispecies', 0), ('sei', 0)]"
layer7,"[('�', 1), ('operation', 1), ('ijn', 0), ('ban', 0), ('�', 0), ('Pi', 0), ('Ban', 0), ('age', 0), ('ak', 0), ('lex', 0)]","[('brie', 1), ('lean', 0), ('Bef', 0), ('favor', 0), ('ে', 0), ('arina', 0), ('ök', 0), ('germ', 0), ('polit', 0), ('culture', 0)]","[('egn', 3), ('egos', 1), ('erst', 0), ('richt', 0), ('Ign', 0), ('strij', 0), ('selves', 0), ('ро', 0), ('ga', 0), ('Ign', 0)]","[('kwiet', 0), ('ে', 0), ('nature', 0), ('nem', 0), ('Nature', 0), ('germ', 0), ('ово', 0), ('ześ', 0), ('ilar', 0), ('orsz', 0)]"
layer8,"[('Ъ', 2), ('cle', 1), ('сты', 1), ('(/', 0), ('lö', 0), ('psum', 0), ('kar', 0), ('icina', 0), ('bst', 0), ('Hier', 0)]","[('kwiet', 0), ('j', 0), ('pac', 0), ('diplom', 0), ('Hier', 0), ('Ress', 0), ('uit', 0), ('ে', 0), ('тара', 0), ('Pac', 0)]","[('Robinson', 1), ('bis', 0), ('ówn', 0), ('го', 0), ('ieben', 0), ('ügel', 0), ('cin', 0), ('vu', 0), ('strap', 0), ('ito', 0)]","[('j', 1), ('тара', 0), ('pac', 0), ('Ress', 0), ('bió', 0), ('onel', 0), ('óż', 0), ('Pac', 0), ('yter', 0), ('ßen', 0)]"
layer9,"[('j', 1), ('clock', 0), ('dep', 0), ('ез', 0), ('ashi', 0), ('ionic', 0), ('gon', 0), ('必', 0), ('Ac', 0), ('dep', 0)]","[('j', 14), ('gon', 0), ('kwiet', 0), ('abor', 0), ('óż', 0), ('Dok', 0), ('sr', 0), ('Jer', 0), ('Hier', 0), ('Jules', 0)]","[('atos', 2), ('au', 1), ('umbnail', 0), ('ender', 0), ('ps', 0), ('haupt', 0), ('Fel', 0), ('oken', 0), ('Росси', 0), ('łów', 0)]","[('j', 3), ('abor', 1), ('ök', 0), ('uit', 0), ('ово', 0), ('Ej', 0), ('Jer', 0), ('age', 0), ('Fer', 0), ('opher', 0)]"
