Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 3), ('Љ', 2), ('Ě', 1), ('висини', 0), ('sterd', 0), ('konn', 0), ('textt', 0), ('Архив', 0), ('berga', 0), ('telt', 0)]","[('listade', 3), ('archivi', 2), ('пута', 1), ('telt', 1), ('entferne', 0), ('务', 0), ('洞', 0), ('toe', 0), ('bolds', 0), ('Portail', 0)]","[('cies', 7), ('atable', 1), ('Conserv', 0), ('individual', 0), ('dex', 0), ('anus', 0), ('android', 0), ('bě', 0), ('ilus', 0), ('assa', 0)]","[('listade', 1), ('odn', 1), ('DBC', 0), ('洞', 0), ('fen', 0), ('erdings', 0), ('toe', 0), ('ify', 0), ('лови', 0), ('lande', 0)]"
layer1,"[('vid', 5), ('Kontrola', 2), ('oro', 1), ('ˇ', 0), ('reten', 0), ('Olimp', 0), ('Хронологија', 0), ('recens', 0), ('apt', 0), ('vić', 0)]","[('Kontrola', 4), ('listade', 2), ('entferne', 1), ('Хронологија', 1), ('prüfe', 1), ('égl', 0), ('éricaine', 0), ('illeurs', 0), ('homonymes', 0), ('igkeit', 0)]","[('LED', 1), ('Browser', 1), ('Vel', 1), ('vel', 1), ('burn', 1), ('wrapper', 0), ('fen', 0), ('aso', 0), ('vek', 0), ('tres', 0)]","[('fen', 1), ('download', 1), ('Edition', 1), ('listade', 0), ('usammen', 0), ('LED', 0), ('homonymes', 0), ('Herz', 0), ('aso', 0), ('segu', 0)]"
layer2,"[('Buen', 1), ('kende', 0), ('ç', 0), ('rud', 0), ('intrag', 0), ('wsp', 0), ('Rud', 0), ('huvudstaden', 0), ('reich', 0), ('ე', 0)]","[('fen', 0), ('album', 0), ('int', 0), ('download', 0), ('rayed', 0), ('usammen', 0), ('ischen', 0), ('columns', 0), ('ˇ', 0), ('listade', 0)]","[('ons', 3), ('Olymp', 1), ('Olympic', 0), ('oh', 0), ('BU', 0), ('oved', 0), ('MA', 0), ('ong', 0), ('inder', 0), ('free', 0)]","[('BU', 2), ('ya', 1), ('oben', 0), ('int', 0), ('Priv', 0), ('ischen', 0), ('Cant', 0), ('jel', 0), ('download', 0), ('wise', 0)]"
layer3,"[('Wikipédia', 0), ('oreign', 0), ('$_', 0), ('!(""', 0), ('hina', 0), ('еде', 0), ('expl', 0), ('sz', 0), ('sterd', 0), ('висини', 0)]","[('ensis', 0), ('ya', 0), ('int', 0), ('ischen', 0), ('prüfe', 0), ('erdings', 0), ('mehrerer', 0), ('Priv', 0), ('wise', 0), ('bibli', 0)]","[('allo', 7), ('ouv', 6), ('AC', 1), ('locale', 0), ('&=\\', 0), ('der', 0), ('anton', 0), ('til', 0), ('orp', 0), ('LES', 0)]","[('oben', 1), ('esen', 0), ('bd', 0), ('Olympic', 0), ('enth', 0), ('ensis', 0), ('LED', 0), ('&=\\', 0), ('Rach', 0), ('Audiod', 0)]"
layer4,"[('olf', 0), ('ös', 0), ('дан', 0), ('alt', 0), ('jou', 0), ('mirror', 0), ('ран', 0), ('yen', 0), ('Alt', 0), ('unkt', 0)]","[('entferne', 0), ('oug', 0), ('orie', 0), ('ент', 0), ('ENT', 0), ('jel', 0), ('bridge', 0), ('LED', 0), ('ensis', 0), ('enth', 0)]","[('uki', 0), ('aki', 0), ('avi', 0), ('inx', 0), ('ioni', 0), ('abei', 0), ('̶', 0), ('OF', 0), ('тен', 0), ('Meteor', 0)]","[('ríguez', 2), ('&=\\', 1), ('gresql', 0), ('quin', 0), ('Beth', 0), ('ono', 0), ('hung', 0), ('Doug', 0), ('ensis', 0), ('zas', 0)]"
layer5,"[('SSN', 1), ('départ', 1), ('Référence', 1), ('anna', 0), ('fluss', 0), ('amt', 0), ('nell', 0), ('SR', 0), ('depart', 0), ('ө', 0)]","[('gresql', 2), ('ríguez', 1), ('ensis', 0), ('Hinweis', 0), ('orie', 0), ('Baud', 0), ('hung', 0), ('eben', 0), ('quin', 0), ('Beth', 0)]","[('anz', 2), ('aval', 1), ('ills', 0), ('avel', 0), ('ahn', 0), ('ello', 0), ('̶', 0), ('itet', 0), ('zetek', 0), ('anga', 0)]","[('oug', 1), ('oki', 1), ('ese', 1), ('alse', 1), ('Doug', 1), ('gresql', 0), ('Ken', 0), ('Baud', 0), ('ken', 0), ('Beth', 0)]"
layer6,"[('ugust', 3), ('YY', 3), ('yy', 1), ('yyyy', 1), ('ɲ', 1), ('ville', 0), ('ína', 0), ('ahlen', 0), ('xml', 0), ('宿', 0)]","[('alse', 5), ('oug', 2), ('ese', 1), ('ugust', 1), ('ahn', 1), ('Baud', 0), ('anza', 0), ('ken', 0), ('Doug', 0), ('gresql', 0)]","[('GV', 2), ('inks', 2), ('allow', 1), ('hoff', 1), ('abor', 1), ('bild', 1), ('aque', 0), ('innen', 0), ('lut', 0), ('pó', 0)]","[('Pear', 2), ('berga', 1), ('aucoup', 1), ('alse', 1), ('oug', 0), ('allo', 0), ('ese', 0), ('allow', 0), ('données', 0), ('isms', 0)]"
layer7,"[('quip', 3), ('◄', 2), ('еру', 2), ('olt', 1), ('inand', 0), ('onderwerp', 0), ('izza', 0), ('SR', 0), ('illo', 0), ('ingt', 0)]","[('alse', 2), ('Hinweis', 0), ('berga', 0), ('allow', 0), ('Pear', 0), ('aho', 0), ('isms', 0), ('isse', 0), ('œuv', 0), ('ize', 0)]","[('weit', 1), ('gesamt', 1), ('wa', 0), ('ijn', 0), ('ERY', 0), ('화', 0), ('RIPT', 0), ('Warsza', 0), ('Unidos', 0), ('공', 0)]","[('&=\\', 1), ('Hinweis', 1), ('hagen', 1), ('orie', 0), ('RewriteCond', 0), ('iszt', 0), ('alse', 0), ('ello', 0), ('Stock', 0), ('док', 0)]"
layer8,"[('道', 1), ('ikan', 0), ('пен', 0), ('sr', 0), ('travaux', 0), ('gate', 0), ('iat', 0), ('iera', 0), ('hat', 0), ('tok', 0)]","[('Hinweis', 3), ('alse', 1), ('ello', 1), ('etta', 1), ('iba', 0), ('&=\\', 0), ('äl', 0), ('aho', 0), ('зей', 0), ('oug', 0)]","[('ipage', 5), ('quin', 1), ('сти', 0), ('advers', 0), ('fen', 0), ('grat', 0), ('áll', 0), ('arias', 0), ('Щ', 0), ('manner', 0)]","[('amba', 2), ('alse', 1), ('œuv', 1), ('iből', 0), ('yen', 0), ('ǧ', 0), ('tabs', 0), ('RewriteCond', 0), ('alk', 0), ('дон', 0)]"
layer9,"[('answer', 4), ('urk', 2), ('publique', 2), ('Answer', 0), ('icos', 0), ('answer', 0), ('answered', 0), ('Answer', 0), ('uka', 0), ('üst', 0)]","[('alse', 3), ('Hinweis', 2), ('œuv', 2), ('yen', 0), ('ALSE', 0), ('fare', 0), ('données', 0), ('getElementsBy', 0), ('Append', 0), ('iből', 0)]","[('pse', 2), ('esser', 1), ('Bald', 0), ('beg', 0), ('Majesty', 0), ('Kar', 0), ('fall', 0), ('uden', 0), ('uo', 0), ('d', 0)]","[('alse', 3), ('hnen', 0), ('äl', 0), ('aho', 0), ('DR', 0), ('Zu', 0), ('iből', 0), ('álva', 0), ('Scroll', 0), ('afen', 0)]"
