Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('<s>', 2), ('пута', 1), ('férences', 1), ('Хронологија', 0), ('trightarrow', 0), ('ímp', 0), ('penas', 0), ('ḩ', 0), ('월', 0), ('sime', 0)]","[('<s>', 1), ('férences', 1), ('ímp', 0), ('пута', 0), ('trightarrow', 0), ('sime', 0), ('ḩ', 0), ('瀬', 0), ('ategory', 0), ('abhäng', 0)]","[('<s>', 4), ('guez', 2), ('пута', 2), ('archivi', 2), ('씨', 1), ('penas', 0), ('férences', 0), ('洞', 0), ('ongodb', 0), ('кипеди', 0)]","[('<s>', 4), ('пута', 2), ('férences', 1), ('archivi', 1), ('penas', 1), ('ímp', 1), ('瀬', 0), ('trightarrow', 0), ('sime', 0), ('gesamt', 0)]"
layer1,"[('refer', 0), ('anim', 0), ('gouvern', 0), ('cul', 0), ('campe', 0), ('ifi', 0), ('�', 0), ('alias', 0), ('succès', 0), ('ni', 0)]","[('<s>', 18), ('penas', 1), ('ategory', 0), ('autorité', 0), ('opera', 0), ('férences', 0), ('abhäng', 0), ('ǫ', 0), ('월', 0), ('𝓝', 0)]","[('aris', 2), ('ovis', 1), ('penas', 1), ('ederb', 1), ('Dy', 0), ('cas', 0), ('ommes', 0), ('abei', 0), ('picked', 0), ('<s>', 0)]","[('<s>', 26), ('penas', 6), ('ategory', 1), ('Außer', 0), ('guez', 0), ('aris', 0), ('ultimo', 0), ('atform', 0), ('𝓝', 0), ('lès', 0)]"
layer2,"[('lack', 2), ('guer', 1), ('asp', 1), ('penas', 0), ('adin', 0), ('éo', 0), ('ederb', 0), ('germ', 0), ('duc', 0), ('intellij', 0)]","[('penas', 20), ('<s>', 4), ('ategory', 1), ('ederb', 0), ('guez', 0), ('atform', 0), ('opera', 0), ('lès', 0), ('Außer', 0), ('aris', 0)]","[('tap', 0), ('pin', 0), ('Six', 0), ('oku', 0), ('обо', 0), ('imat', 0), ('plant', 0), ('pher', 0), ('št', 0), ('éon', 0)]","[('penas', 17), ('ategory', 1), ('Außer', 1), ('ederb', 0), ('iennes', 0), ('jourd', 0), ('opera', 0), ('<s>', 0), ('jà', 0), ('ultimo', 0)]"
layer3,"[('terne', 1), ('imas', 1), ('rir', 0), ('ť', 0), ('wer', 0), ('сс', 0), ('wert', 0), ('cz', 0), ('aggreg', 0), ('cco', 0)]","[('penas', 25), ('ť', 1), ('atform', 1), ('imas', 0), ('opera', 0), ('ategory', 0), ('Außer', 0), ('jà', 0), ('ű', 0), ('estaven', 0)]","[('appen', 2), ('retto', 1), ('instructions', 0), ('stra', 0), ('odb', 0), ('junt', 0), ('loat', 0), ('piel', 0), ('TAC', 0), ('lis', 0)]","[('penas', 19), ('imas', 1), ('usch', 0), ('atform', 0), ('opera', 0), ('pecies', 0), ('ategory', 0), ('Außer', 0), ('jourd', 0), ('anim', 0)]"
layer4,"[('Beau', 1), ('Regin', 1), ('�', 1), ('Mode', 0), ('Answer', 0), ('Mode', 0), ('Capt', 0), ('master', 0), ('suf', 0), ('vous', 0)]","[('Beau', 0), ('penas', 0), ('pecies', 0), ('Kin', 0), ('atform', 0), ('ago', 0), ('ISSN', 0), ('usch', 0), ('nou', 0), ('Pin', 0)]","[('abs', 4), ('absor', 1), ('Mes', 1), ('amazon', 0), ('LOB', 0), ('utter', 0), ('ument', 0), ('Abs', 0), ('ся', 0), ('ios', 0)]","[('LOB', 3), ('imas', 1), ('bounded', 0), ('rl', 0), ('lob', 0), ('elsk', 0), ('any', 0), ('anter', 0), ('metros', 0), ('Kin', 0)]"
layer5,"[('Storia', 1), ('Hou', 1), ('cej', 1), ('olin', 0), ('enkins', 0), ('Histoire', 0), ('alu', 0), ('Node', 0), ('GND', 0), ('mysq', 0)]","[('LOB', 1), ('metros', 1), ('rl', 1), ('bounded', 0), ('imas', 0), ('Beau', 0), ('tout', 0), ('any', 0), ('ML', 0), ('Ned', 0)]","[('éri', 1), ('bek', 1), ('fm', 0), ('mir', 0), ('vou', 0), ('rece', 0), ('ischer', 0), ('abl', 0), ('est', 0), ('Kreuz', 0)]","[('bru', 3), ('Kin', 1), ('ula', 1), ('rl', 0), ('any', 0), ('nou', 0), ('iennes', 0), ('generally', 0), ('Bran', 0), ('penas', 0)]"
layer6,"[('Toggle', 0), ('Tak', 0), ('gresql', 0), ('ゼ', 0), ('Vier', 0), ('nofollow', 0), ('➖', 0), ('eda', 0), ('remainder', 0), ('anges', 0)]","[('bru', 3), ('ula', 2), ('Kin', 1), ('any', 0), ('rl', 0), ('dar', 0), ('omo', 0), ('nou', 0), ('usch', 0), ('""`', 0)]","[('hu', 1), ('MAP', 1), ('Olímp', 1), ('&=\\', 0), ('quer', 0), ('ateg', 0), ('shooting', 0), ('\u2060', 0), ('\u200d', 0), ('őd', 0)]","[('bru', 2), ('jourd', 0), ('dar', 0), ('penas', 0), ('armed', 0), ('Amt', 0), ('bek', 0), ('ula', 0), ('usch', 0), ('svě', 0)]"
layer7,"[('anz', 2), ('mat', 2), ('äs', 0), ('Bind', 0), ('Hans', 0), ('weet', 0), ('acy', 0), ('Que', 0), ('cart', 0), ('asure', 0)]","[('penas', 1), ('ago', 1), ('TAC', 1), ('usch', 0), ('rän', 0), ('anz', 0), ('añ', 0), ('bru', 0), ('ág', 0), ('Pin', 0)]","[('lifetime', 1), ('uj', 1), ('ford', 0), ('eb', 0), ('encia', 0), ('rache', 0), ('igi', 0), ('Name', 0), ('ause', 0), ('anel', 0)]","[('ause', 1), ('TAC', 0), ('Sv', 0), ('inger', 0), ('font', 0), ('onces', 0), ('ups', 0), ('Flash', 0), ('Java', 0), ('ág', 0)]"
layer8,"[('➖', 1), ('Creek', 1), ('Ġ', 1), ('emu', 1), ('ode', 0), ('}}%', 0), ('operating', 0), ('Њ', 0), ('rito', 0), ('mir', 0)]","[('ause', 1), ('Your', 0), ('Sv', 0), ('oin', 0), ('inger', 0), ('asure', 0), ('Java', 0), ('hun', 0), ('onces', 0), ('use', 0)]","[('❯', 7), ('cou', 2), ('нь', 1), ('alem', 1), ('fert', 0), ('ird', 0), ('gew', 0), ('Fre', 0), ('inden', 0), ('Geb', 0)]","[('onces', 2), ('ups', 0), ('freely', 0), ('Your', 0), ('Brit', 0), ('ups', 0), ('Freder', 0), ('phenomen', 0), ('kin', 0), ('hen', 0)]"
