Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('<s>', 2), ('férences', 0), ('ímp', 0), ('пута', 0), ('Außer', 0), ('월', 0), ('Хронологија', 0), ('abhäng', 0), ('trightarrow', 0), ('prüng', 0)]","[('<s>', 1), ('férences', 1), ('ímp', 0), ('пута', 0), ('abhäng', 0), ('Außer', 0), ('월', 0), ('ategory', 0), ('trightarrow', 0), ('瀬', 0)]","[('<s>', 4), ('пута', 2), ('씨', 1), ('archivi', 1), ('guez', 1), ('penas', 1), ('洞', 0), ('溪', 0), ('瀬', 0), ('Архив', 0)]","[('<s>', 5), ('пута', 1), ('férences', 1), ('ímp', 1), ('penas', 0), ('瀬', 0), ('archivi', 0), ('trightarrow', 0), ('씨', 0), ('溪', 0)]"
layer1,"[('anim', 1), ('refer', 1), ('ula', 0), ('tout', 0), ('gouvern', 0), ('références', 0), ('campe', 0), ('gem', 0), ('refer', 0), ('cul', 0)]","[('<s>', 16), ('penas', 1), ('opera', 0), ('ǫ', 0), ('férences', 0), ('ategory', 0), ('abhäng', 0), ('월', 0), ('ográfica', 0), ('院', 0)]","[('ovis', 3), ('ederb', 2), ('aris', 1), ('atform', 1), ('penas', 1), ('ommes', 0), ('&=\\', 0), ('abei', 0), ('guez', 0), ('idth', 0)]","[('<s>', 22), ('penas', 5), ('ategory', 1), ('Außer', 0), ('anim', 0), ('atform', 0), ('guez', 0), ('éma', 0), ('abhäng', 0), ('opera', 0)]"
layer2,"[('ufen', 3), ('asp', 1), ('erv', 1), ('pret', 1), ('guer', 0), ('ес', 0), ('Beau', 0), ('dec', 0), ('cade', 0), ('cím', 0)]","[('<s>', 9), ('penas', 7), ('ategory', 1), ('opera', 1), ('ederb', 0), ('anim', 0), ('guez', 0), ('ovis', 0), ('atform', 0), ('othèque', 0)]","[('pin', 1), ('jà', 0), ('tap', 0), ('OF', 0), ('Six', 0), ('plus', 0), ('plant', 0), ('owan', 0), ('обо', 0), ('Mu', 0)]","[('penas', 10), ('ategory', 0), ('Außer', 0), ('anim', 0), ('opera', 0), ('<s>', 0), ('ederb', 0), ('jourd', 0), ('ufen', 0), ('adém', 0)]"
layer3,"[('wer', 2), ('imas', 1), ('wert', 1), ('penas', 1), ('terne', 0), ('cco', 0), ('achim', 0), ('atore', 0), ('oder', 0), ('ť', 0)]","[('penas', 36), ('ť', 1), ('atform', 1), ('imas', 0), ('opera', 0), ('ű', 0), ('pecies', 0), ('ISSN', 0), ('bum', 0), ('ategory', 0)]","[('uen', 1), ('stra', 0), ('sted', 0), ('auss', 0), ('ingu', 0), ('supp', 0), ('bran', 0), ('instructions', 0), ('Managed', 0), ('LOB', 0)]","[('penas', 28), ('pecies', 0), ('imas', 0), ('bum', 0), ('anim', 0), ('opera', 0), ('atform', 0), ('ű', 0), ('ovis', 0), ('werb', 0)]"
layer4,"[('Beau', 0), ('suf', 0), ('lm', 0), ('рак', 0), ('sul', 0), ('schen', 0), ('Sul', 0), ('Mode', 0), ('Answer', 0), ('té', 0)]","[('penas', 2), ('pecies', 1), ('werb', 0), ('Beau', 0), ('рак', 0), ('éma', 0), ('opera', 0), ('usch', 0), ('ISSN', 0), ('metros', 0)]","[('ument', 2), ('brit', 1), ('amazon', 0), ('oh', 0), ('gent', 0), ('mort', 0), ('amazon', 0), ('lo', 0), ('unos', 0), ('oh', 0)]","[('LOB', 5), ('ilib', 1), ('rolled', 0), ('imas', 0), ('penas', 0), ('iennes', 0), ('bounded', 0), ('metros', 0), ('rl', 0), ('lob', 0)]"
layer5,"[('cej', 11), ('itul', 2), ('fik', 1), ('sko', 0), ('nitz', 0), ('tp', 0), ('reh', 0), ('mysq', 0), ('uzione', 0), ('�', 0)]","[('imas', 4), ('LOB', 2), ('bounded', 2), ('vos', 1), ('penas', 1), ('Lima', 0), ('nitz', 0), ('ilib', 0), ('Refer', 0), ('añ', 0)]","[('aben', 1), ('Winter', 1), ('isser', 1), (':@', 1), ('éri', 1), ('ár', 0), ('би', 0), ('bek', 0), ('堂', 0), ('стей', 0)]","[('penas', 7), ('zyma', 1), ('bounded', 1), ('ula', 0), ('nitz', 0), ('achiv', 0), ('LOB', 0), ('šč', 0), ('tober', 0), ('replace', 0)]"
layer6,"[('gresql', 2), ('eda', 1), ('Grab', 0), ('ule', 0), ('Según', 0), ('anda', 0), ('Scan', 0), ('grab', 0), ('interno', 0), ('Contract', 0)]","[('penas', 1), ('ula', 1), ('zyma', 1), ('tober', 1), ('Media', 0), ('bounded', 0), ('چ', 0), ('ulas', 0), ('dex', 0), ('any', 0)]","[('hu', 3), ('фициаль', 0), ('rund', 0), ('dry', 0), ('Pin', 0), ('quer', 0), ('INFO', 0), ('\u200d', 0), ('POST', 0), ('overlap', 0)]","[('Einzeln', 1), ('penas', 1), ('dex', 1), ('inline', 0), ('enie', 0), ('dar', 0), ('armed', 0), ('zeg', 0), ('bounded', 0), ('vos', 0)]"
layer7,"[('aque', 3), ('anz', 2), ('asure', 1), ('insen', 1), ('Que', 0), ('aru', 0), ('ague', 0), ('Hans', 0), ('rän', 0), ('arget', 0)]","[('penas', 3), ('añ', 3), ('bounded', 1), ('anz', 0), ('anter', 0), ('hun', 0), ('MAP', 0), ('ņ', 0), ('dex', 0), ('ral', 0)]","[('ford', 2), ('igi', 2), ('÷', 1), ('мена', 1), ('Jah', 0), ('er', 0), ('lifetime', 0), ('refix', 0), ('fica', 0), ('stud', 0)]","[('armed', 1), ('añ', 1), ('nou', 0), ('hun', 0), ('refix', 0), ('odb', 0), ('ș', 0), ('ellig', 0), ('Object', 0), ('replace', 0)]"
layer8,"[('Wikipédia', 2), ('Ç', 1), ('phia', 1), ('➖', 1), ('вар', 0), ('quar', 0), ('emo', 0), ('Wol', 0), ('lá', 0), ('Creek', 0)]","[('nou', 1), ('odb', 1), ('armed', 0), ('refix', 0), ('Object', 0), ('hun', 0), ('ș', 0), ('añ', 0), ('replace', 0), ('dar', 0)]","[('po', 1), ('Fre', 1), ('ze', 1), ('Fre', 0), ('ij', 0), ('zw', 0), ('ocr', 0), ('gew', 0), ('issu', 0), ('ati', 0)]","[('NF', 1), ('hun', 1), ('Object', 1), ('Media', 0), ('irregular', 0), ('tain', 0), ('Object', 0), ('Common', 0), ('identification', 0), ('Java', 0)]"
