Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 9), ('archivi', 3), ('Архив', 1), ('Ґ', 1), ('textt', 1), ('Љ', 0), ('висини', 0), ('Ě', 0), ('embros', 0), ('Ћ', 0)]","[('Portail', 20), ('archivi', 15), ('ensoort', 1), ('textt', 1), ('eerd', 1), ('trightarrow', 0), ('пута', 0), ('listade', 0), ('Хронологија', 0), ('embros', 0)]","[('Portail', 10), ('embros', 7), ('Хронологија', 4), ('penas', 2), ('iellement', 1), ('prüng', 1), ('пута', 1), ('mathchar', 0), ('férences', 0), ('administ', 0)]","[('Portail', 31), ('archivi', 9), ('embros', 2), ('Хронологија', 2), ('пута', 1), ('textt', 0), ('Архив', 0), ('trightarrow', 0), ('eerd', 0), ('sterd', 0)]"
layer1,"[('anim', 0), ('ad', 0), ('de', 0), ('en', 0), ('older', 0), ('gem', 0), ('eton', 0), ('int', 0), ('outer', 0), ('Kin', 0)]","[('Portail', 3), ('archivi', 3), ('sterd', 3), ('Хронологија', 2), ('eerd', 2), ('konn', 1), ('евич', 0), ('Kontrola', 0), ('Архив', 0), ('guez', 0)]","[('alter', 1), ('ommes', 0), ('berga', 0), ('enders', 0), ('sterd', 0), ('demselben', 0), ('ówn', 0), ('endorf', 0), ('transform', 0), ('Alter', 0)]","[('sterd', 8), ('berga', 0), ('eerd', 0), ('евич', 0), ('archivi', 0), ('ográfica', 0), ('Portail', 0), ('mbH', 0), ('listade', 0), ('Hinweis', 0)]"
layer2,"[('othèque', 1), ('oteca', 0), ('intrag', 0), ('савез', 0), ('powers', 0), ('ose', 0), ('phe', 0), ('rola', 0), ('iore', 0), ('pent', 0)]","[('sterd', 6), ('hina', 1), ('estanden', 0), ('eerd', 0), ('ствии', 0), ('publique', 0), ('cerem', 0), ('archivi', 0), ('teger', 0), ('ográfica', 0)]","[('indi', 3), ('sab', 1), ('fat', 0), ('ugins', 0), ('gresql', 0), ('campaign', 0), ('AML', 0), ('gram', 0), ('aram', 0), ('either', 0)]","[('sterd', 5), ('ográfica', 1), ('stag', 0), ('atform', 0), ('publique', 0), ('berga', 0), ('guez', 0), ('hook', 0), ('teger', 0), ('eerd', 0)]"
layer3,"[('raste', 1), ('ível', 0), ('totalité', 0), ('unicí', 0), ('estaven', 0), ('Außer', 0), ('gouvern', 0), ('zug', 0), ('Одна', 0), ('ederb', 0)]","[('sterd', 8), ('totalité', 1), ('ográfica', 0), ('Außer', 0), ('gepubliceerd', 0), ('teger', 0), ('stag', 0), ('publique', 0), ('estanden', 0), ('terior', 0)]","[('interpre', 1), ('enger', 0), ('Wol', 0), ('auer', 0), ('arca', 0), ('extensions', 0), ('alia', 0), ('asia', 0), ('iono', 0), ('време', 0)]","[('sterd', 1), ('publique', 1), ('estanden', 1), ('teger', 0), ('Hinweis', 0), ('Außer', 0), ('iono', 0), ('raste', 0), ('stag', 0), ('intrag', 0)]"
layer4,"[('yes', 5), ('Answer', 2), ('yes', 2), ('Picture', 1), ('answers', 1), ('YES', 1), ('Yes', 1), ('answer', 0), ('satisf', 0), ('sí', 0)]","[('sterd', 4), ('estanden', 1), ('yes', 0), ('ә', 0), ('☉', 0), ('bernate', 0), ('ала', 0), ('amos', 0), ('ént', 0), ('Unterscheidung', 0)]","[('geldig', 0), ('馬', 0), ('burgh', 0), ('sak', 0), ('kwiet', 0), ('plat', 0), ('fd', 0), ('oh', 0), ('{.', 0), ('arel', 0)]","[('sterd', 5), ('teger', 2), ('yes', 1), ('iada', 0), ('elm', 0), ('geldig', 0), ('bit', 0), ('avas', 0), ('dienst', 0), ('egeben', 0)]"
layer5,"[('Oficina', 0), ('że', 0), ('bazie', 0), ('候', 0), ('Uniti', 0), ('Hint', 0), ('aucoup', 0), ('jön', 0), ('Visual', 0), ('Vil', 0)]","[('teger', 5), ('sterd', 5), ('iada', 1), ('elm', 1), ('geldig', 0), ('yes', 0), ('arms', 0), ('quipe', 0), ('gepubliceerd', 0), ('listade', 0)]","[('hnen', 2), ('�', 2), ('ätz', 1), ('mbH', 1), ('nja', 1), ('orn', 1), ('jub', 0), ('esa', 0), ('PN', 0), ('мат', 0)]","[('teger', 4), ('dienst', 2), ('avas', 1), ('elm', 1), ('istra', 1), ('Kin', 0), ('sterd', 0), ('Lub', 0), ('mbH', 0), ('iada', 0)]"
layer6,"[('athers', 1), ('totalité', 1), ('nez', 0), ('q', 0), ('reply', 0), ('имен', 0), ('Guer', 0), ('县', 0), ('rott', 0), ('preced', 0)]","[('totalité', 6), ('avas', 2), ('dienst', 1), ('Düsseld', 1), ('Kin', 0), ('istra', 0), ('zeich', 0), ('iada', 0), ('Guer', 0), ('AU', 0)]","[('┌', 1), ('ioned', 0), ('\x83', 0), ('Ú', 0), ('Schwe', 0), ('checkout', 0), ('ualmente', 0), ('apsed', 0), ('olu', 0), ('ván', 0)]","[('totalité', 3), ('dienst', 2), ('Düsseld', 1), ('avas', 1), ('cc', 1), ('geldig', 1), ('iada', 0), ('iono', 0), ('INCT', 0), ('olg', 0)]"
layer7,"[('irst', 1), ('́', 1), ('fli', 1), ('Bill', 0), ('дан', 0), ('̈', 0), ('blatt', 0), ('runtime', 0), ('pond', 0), ('espèce', 0)]","[('totalité', 9), ('geldig', 1), ('ƒ', 0), ('avas', 0), ('ulas', 0), ('burgh', 0), ('dienst', 0), ('raste', 0), ('INCT', 0), ('istr', 0)]","[('ظ', 1), ('Хронологија', 1), ('izio', 1), ('ifa', 0), ('Portail', 0), ('inture', 0), ('ably', 0), ('ː', 0), ('Vé', 0), ('ката', 0)]","[('aucoup', 3), ('avas', 3), ('ulas', 2), ('istr', 1), ('none', 1), ('geldig', 1), ('verm', 1), ('callback', 0), ('ędz', 0), ('Guer', 0)]"
layer8,"[('etzt', 1), ('gericht', 1), ('ване', 1), ('ns', 0), ('avo', 0), ('Grace', 0), ('inale', 0), ('Wol', 0), ('fat', 0), ('žen', 0)]","[('none', 1), ('istr', 0), ('gate', 0), ('Commonwealth', 0), ('atge', 0), ('Hinweis', 0), ('gericht', 0), ('ędz', 0), ('frique', 0), ('̂', 0)]","[('civile', 1), ('fen', 1), ('init', 1), ('atus', 0), ('OF', 0), ('icker', 0), ('festiv', 0), ('eca', 0), ('ite', 0), ('onas', 0)]","[('none', 1), ('atge', 0), ('aucoup', 0), ('totalité', 0), ('org', 0), ('тон', 0), ('frique', 0), ('Düsseld', 0), ('RewriteRule', 0), ('verm', 0)]"
layer9,"[('Units', 1), ('aggreg', 0), ('ո', 0), ('asta', 0), ('bt', 0), ('phia', 0), ('Gran', 0), ('compiling', 0), ('�', 0), ('LED', 0)]","[('none', 4), ('None', 0), ('org', 0), ('istr', 0), ('atge', 0), ('ały', 0), ('рис', 0), ('ös', 0), ('RewriteRule', 0), ('fm', 0)]","[('wald', 1), ('ono', 0), ('éo', 0), ('parenthes', 0), ('rend', 0), ('зько', 0), ('pler', 0), ('hely', 0), ('Host', 0), ('Catalog', 0)]","[('none', 10), ('raste', 1), ('�', 1), ('RewriteRule', 0), ('None', 0), ('rita', 0), ('None', 0), ('рис', 0), ('none', 0), ('uga', 0)]"
layer10,"[('Ћ', 2), ('schnitt', 0), ('lack', 0), ('totalité', 0), ('су', 0), ('rout', 0), ('olia', 0), ('umar', 0), ('UNT', 0), ('gepubliceerd', 0)]","[('none', 2), ('totalité', 1), ('atge', 1), ('Dun', 0), ('近', 0), ('沙', 0), ('dom', 0), ('schnitt', 0), ('Leopold', 0), ('rita', 0)]","[('none', 1), ('Park', 0), ('cup', 0), ('af', 0), ('giv', 0), ('av', 0), ('CTYPE', 0), ('ello', 0), ('Mach', 0), ('tem', 0)]","[('none', 31), ('none', 4), ('None', 0), ('None', 0), ('Dub', 0), ('沙', 0), ('pour', 0), ('latter', 0), ('atge', 0), ('inte', 0)]"
layer11,"[('Answer', 1), ('listview', 1), ('Answer', 0), ('AAAA', 0), ('Cover', 0), ('beg', 0), ('rene', 0), ('aa', 0), ('advert', 0), ('ella', 0)]","[('none', 14), ('none', 6), ('None', 2), ('None', 2), ('рис', 0), ('yes', 0), ('Yes', 0), ('dot', 0), ('Dep', 0), ('pri', 0)]","[('Mie', 1), ('zeum', 1), ('osten', 1), ('lą', 0), ('kiej', 0), ('Workbook', 0), ('Lond', 0), ('burgo', 0), ('Portail', 0), ('Sym', 0)]","[('none', 21), ('none', 4), ('None', 1), ('bt', 1), ('None', 1), ('Fred', 0), ('рис', 0), ('¬', 0), ('Ő', 0), ('沙', 0)]"
layer12,"[('quer', 1), ('Mitte', 1), ('chter', 0), ('hou', 0), ('Edition', 0), ('inte', 0), ('center', 0), ('gré', 0), ('cente', 0), ('eller', 0)]","[('none', 12), ('none', 5), ('None', 2), ('None', 0), ('имен', 0), ('а', 0), ('Fred', 0), ('fred', 0), ('Dub', 0), ('ân', 0)]","[('VF', 1), ('vd', 0), ('oka', 0), ('urm', 0), ('Cold', 0), ('Jo', 0), ('cas', 0), ('uz', 0), ('pe', 0), ('nek', 0)]","[('none', 5), ('none', 3), ('None', 1), ('Dub', 0), ('inth', 0), ('Kal', 0), ('bt', 0), ('None', 0), ('ns', 0), ('\n', 0)]"
layer13,"[('▸', 1), ('esp', 1), ('engo', 0), ('aucoup', 0), ('mér', 0), ('ḷ', 0), ('tap', 0), ('correctly', 0), ('False', 0), ('имен', 0)]","[('none', 5), ('none', 4), ('None', 2), ('None', 1), ('имен', 1), ('Fred', 0), ('Dub', 0), ('inth', 0), ('ns', 0), ('́', 0)]","[('rowser', 6), ('♂', 2), ('лей', 2), ('LIC', 1), ('зни', 0), ('Invocation', 0), ('egos', 0), ('ião', 0), ('arde', 0), ('naio', 0)]","[('none', 7), ('none', 3), ('None', 1), ('None', 1), ('沙', 0), ('\n', 0), ('ове', 0), ('ǧ', 0), ('middle', 0), ('Fred', 0)]"
layer14,"[('office', 0), ('Ћ', 0), ('category', 0), ('Gul', 0), ('Tit', 0), ('categories', 0), ('category', 0), ('➖', 0), ('Category', 0), ('deg', 0)]","[('none', 17), ('none', 5), ('None', 5), ('None', 3), ('middle', 0), ('Dub', 0), ('latter', 0), ('correctly', 0), ('nomin', 0), ('uga', 0)]","[('fetch', 0), ('ik', 0), ('sob', 0), ('копия', 0), ('Arr', 0), ('amps', 0), ('flat', 0), ('mysq', 0), ('Valle', 0), ('ells', 0)]","[('none', 15), ('none', 5), ('None', 3), ('None', 2), ('Cla', 1), ('middle', 0), ('middle', 0), ('Ћ', 0), ('\n', 0), ('Middle', 0)]"
layer15,"[('leben', 4), ('wagen', 1), ('ユ', 1), ('Genomsnittlig', 0), ('⊙', 0), ('ῆ', 0), ('javafx', 0), ('isl', 0), ('reset', 0), ('reich', 0)]","[('none', 7), ('none', 7), ('None', 1), ('None', 1), ('middle', 0), ('middle', 0), ('iske', 0), ('correct', 0), ('Ø', 0), ('Cla', 0)]","[('ITable', 8), ('elde', 1), ('cho', 1), ('Grund', 0), ('tek', 0), ('ech', 0), ('vik', 0), ('fur', 0), ('molt', 0), ('Mär', 0)]","[('none', 8), ('none', 7), ('None', 2), ('None', 2), ('Answer', 0), ('Dun', 0), ('ví', 0), ('∩', 0), ('Gilbert', 0), ('correct', 0)]"
layer16,"[('answer', 2), ('None', 1), ('none', 1), ('indust', 1), ('category', 1), ('correct', 1), ('Answer', 1), ('None', 0), ('\n', 0), ('Answer', 0)]","[('none', 17), ('none', 13), ('None', 6), ('None', 6), ('Answer', 1), ('answer', 1), ('correct', 1), ('\n', 1), ('Dun', 0), ('Answer', 0)]","[('uvud', 2), ('zien', 1), ('lou', 0), ('uerdo', 0), ('kadem', 0), ('quip', 0), ('ób', 0), ('enza', 0), ('quelle', 0), ('techn', 0)]","[('none', 7), ('none', 6), ('None', 2), ('None', 2), ('Answer', 1), ('answer', 1), ('\n', 0), ('vil', 0), ('Answer', 0), ('ege', 0)]"
layer17,"[('四', 3), ('D', 2), ('four', 1), ('D', 1), ('compiler', 0), ('fourth', 0), ('quad', 0), ('xa', 0), ('чо', 0), ('ダ', 0)]","[('none', 5), ('none', 3), ('None', 1), ('None', 1), ('Answer', 1), ('D', 1), ('\n', 1), ('Dun', 0), ('answer', 0), ('</s>', 0)]","[('None', 21), ('none', 11), ('none', 7), ('None', 5), ('all', 1), ('み', 1), ('⅓', 0), ('всех', 0), ('Monde', 0), ('manual', 0)]","[('none', 33), ('none', 18), ('None', 12), ('None', 9), ('\n', 0), ('Answer', 0), ('vil', 0), ('answer', 0), ('Dun', 0), ('tutti', 0)]"
layer18,"[('alphabet', 33), ('A', 23), ('B', 6), ('#(', 4), ('{#', 4), ('#', 3), ('none', 2), ('letter', 1), ('None', 1), ('A', 1)]","[('none', 47), ('none', 19), ('None', 12), ('None', 12), ('A', 0), ('Answer', 0), ('D', 0), ('tutti', 0), ('\n', 0), ('answer', 0)]","[('Alc', 2), ('бри', 1), ('ALSE', 1), ('endi', 1), ('check', 1), ('lla', 0), ('check', 0), ('Bund', 0), ('Fichier', 0), ('lst', 0)]","[('none', 51), ('none', 18), ('None', 12), ('None', 9), ('Answer', 0), ('A', 0), ('answer', 0), ('Answer', 0), ('Dun', 0), ('\n', 0)]"
layer19,"[('S', 35), ('AC', 2), ('SC', 2), ('С', 1), ('AC', 1), ('BC', 1), ('S', 1), ('BC', 1), ('SC', 0), ('DC', 0)]","[('none', 53), ('none', 18), ('None', 10), ('None', 7), ('A', 0), ('Answer', 0), ('D', 0), ('answer', 0), ('B', 0), ('Dun', 0)]","[('Bran', 1), ('shadow', 0), ('�', 0), ('оп', 0), ('correct', 0), ('Correct', 0), ('alla', 0), ('Jakob', 0), ('skih', 0), ('JQuery', 0)]","[('none', 56), ('none', 13), ('None', 9), ('None', 8), ('Answer', 0), ('answer', 0), ('Answer', 0), ('A', 0), ('ans', 0), ('Dun', 0)]"
layer20,"[('D', 99), ('D', 0), ('Д', 0), ('C', 0), ('d', 0), ('Sol', 0), ('ダ', 0), ('Д', 0), ('d', 0), ('C', 0)]","[('none', 45), ('none', 10), ('D', 10), ('None', 8), ('None', 7), ('D', 0), ('Answer', 0), ('answer', 0), ('A', 0), ('C', 0)]","[('quelle', 4), ('e', 1), ('ragma', 0), ('lauf', 0), ('ozzá', 0), ('chev', 0), ('entferne', 0), ('Référence', 0), ('Gla', 0), ('prüfe', 0)]","[('none', 34), ('D', 14), ('None', 10), ('None', 9), ('none', 8), ('D', 1), ('A', 0), ('answer', 0), ('Answer', 0), ('B', 0)]"
layer21,"[('water', 46), ('D', 39), ('Water', 6), ('industry', 3), ('Indust', 1), ('water', 0), ('C', 0), ('indust', 0), ('option', 0), ('Wasser', 0)]","[('D', 70), ('none', 7), ('None', 2), ('None', 2), ('D', 1), ('none', 1), ('C', 0), ('B', 0), ('option', 0), ('C', 0)]","[('A', 99), ('A', 0), ('А', 0), ('ABC', 0), ('B', 0), ('ABC', 0), ('BC', 0), ('AB', 0), ('А', 0), ('X', 0)]","[('A', 73), ('D', 14), ('B', 2), ('none', 2), ('C', 0), ('A', 0), ('D', 0), ('None', 0), ('None', 0), ('none', 0)]"
layer22,"[('A', 96), ('A', 0), ('Cs', 0), ('Хронологија', 0), ('question', 0), ('Question', 0), ('Question', 0), ('B', 0), ('question', 0), ('Aires', 0)]","[('A', 93), ('D', 2), ('B', 1), ('none', 0), ('A', 0), ('C', 0), ('None', 0), ('D', 0), ('none', 0), ('C', 0)]","[('ɫ', 3), ('decl', 1), ('intercept', 1), ('antes', 0), ('idth', 0), ('ǧ', 0), ('vess', 0), ('puis', 0), ('vim', 0), ('ènes', 0)]","[('D', 30), ('A', 24), ('B', 10), ('none', 7), ('C', 4), ('C', 2), ('None', 2), ('none', 1), ('None', 1), ('D', 1)]"
layer23,"[('rec', 100), ('rec', 0), ('Rec', 0), ('Rec', 0), ('recursion', 0), ('recurs', 0), ('recursive', 0), ('recovery', 0), ('recuper', 0), ('recens', 0)]","[('D', 28), ('A', 25), ('B', 8), ('none', 8), ('C', 3), ('None', 2), ('none', 2), ('None', 1), ('C', 1), ('D', 1)]","[('cole', 1), ('Cole', 1), ('❯', 1), ('кам', 0), ('Perry', 0), ('estamp', 0), ('ĕ', 0), ('fork', 0), ('î', 0), ('(""@', 0)]","[('none', 21), ('D', 19), ('A', 10), ('B', 6), ('None', 4), ('C', 3), ('None', 3), ('none', 3), ('C', 2), ('D', 1)]"
layer24,"[('rec', 82), ('Rec', 17), ('Rec', 0), ('rec', 0), ('recre', 0), ('recursion', 0), ('recall', 0), ('recursive', 0), ('recurs', 0), ('water', 0)]","[('rec', 76), ('Rec', 5), ('Rec', 5), ('D', 1), ('A', 1), ('none', 1), ('rec', 1), ('B', 0), ('C', 0), ('None', 0)]","[('A', 99), ('A', 0), ('А', 0), ('C', 0), ('А', 0), ('NT', 0), ('zien', 0), ('urs', 0), ('Bras', 0), ('à', 0)]","[('rec', 50), ('A', 22), ('Rec', 5), ('Rec', 5), ('D', 2), ('C', 2), ('none', 1), ('rec', 1), ('B', 0), ('A', 0)]"
layer25,"[('companies', 10), ('.', 6), ('options', 5), ('options', 1), ('`|', 1), ('choices', 1), ('?', 1), ('****', 1), (':`', 0), ('$?', 0)]","[('rec', 44), ('A', 23), ('Rec', 5), ('Rec', 5), ('none', 2), ('D', 2), ('C', 2), ('B', 1), ('rec', 1), ('None', 0)]","[('B', 84), ('D', 14), ('C', 0), ('D', 0), ('B', 0), ('A', 0), ('Б', 0), ('C', 0), ('E', 0), ('Dy', 0)]","[('A', 40), ('D', 20), ('B', 18), ('C', 9), ('rec', 3), ('D', 1), ('B', 0), ('C', 0), ('Rec', 0), ('A', 0)]"
layer26,"[('industry', 51), ('D', 12), ('Company', 9), ('company', 8), ('indust', 3), ('companies', 3), ('indust', 1), ('Company', 0), ('A', 0), ('company', 0)]","[('A', 39), ('D', 35), ('B', 12), ('C', 7), ('rec', 1), ('D', 0), ('none', 0), ('A', 0), ('C', 0), ('B', 0)]","[('B', 3), ('D', 1), ('N', 1), ('d', 0), ('repla', 0), ('A', 0), ('H', 0), ('D', 0), ('C', 0), ('imiter', 0)]","[('D', 57), ('A', 16), ('B', 11), ('C', 7), ('D', 1), ('rec', 0), ('B', 0), ('A', 0), ('C', 0), ('none', 0)]"
layer27,"[('none', 48), ('None', 27), ('none', 18), ('None', 4), ('Which', 0), ('is', 0), ('neither', 0), ('which', 0), ('Both', 0), ('which', 0)]","[('D', 53), ('A', 17), ('B', 10), ('C', 7), ('none', 2), ('rec', 1), ('D', 0), ('A', 0), ('B', 0), ('None', 0)]","[('none', 27), ('C', 23), ('nothing', 14), ('no', 3), ('Nothing', 2), ('None', 2), ('nothing', 1), ('None', 1), ('E', 0), ('nobody', 0)]","[('D', 61), ('C', 8), ('B', 8), ('none', 7), ('A', 4), ('C', 1), ('D', 1), ('None', 1), ('none', 0), ('B', 0)]"
layer28,"[('D', 99), ('B', 0), ('C', 0), ('A', 0), ('D', 0), ('C', 0), ('A', 0), ('Д', 0), ('B', 0), ('Cs', 0)]","[('D', 90), ('B', 3), ('C', 3), ('A', 0), ('C', 0), ('D', 0), ('A', 0), ('B', 0), ('none', 0), ('None', 0)]","[('B', 22), ('Option', 16), ('A', 14), ('Option', 8), ('C', 7), ('b', 4), ('option', 3), ('option', 2), ('options', 1), ('a', 1)]","[('C', 42), ('D', 20), ('A', 11), ('C', 9), ('B', 5), ('D', 4), ('B', 3), ('A', 2), ('none', 0), ('None', 0)]"
layer29,"[('Sol', 99), ('sol', 0), ('Sol', 0), ('solar', 0), ('sol', 0), ('solic', 0), ('water', 0), ('sols', 0), ('Solo', 0), ('water', 0)]","[('C', 45), ('A', 16), ('D', 12), ('B', 8), ('C', 7), ('B', 3), ('D', 2), ('A', 2), ('none', 0), ('None', 0)]","[('A', 33), ('All', 15), ('B', 7), ('1', 6), ('E', 3), ('2', 2), ('sol', 2), ('All', 2), ('D', 2), ('sol', 1)]","[('A', 30), ('A', 12), ('B', 11), ('C', 10), ('D', 10), ('C', 9), ('B', 7), ('D', 7), ('none', 0), ('None', 0)]"
layer30,"[('_', 95), ('__', 1), ('________', 0), ('__', 0), ('________________', 0), ('____', 0), ('___', 0), ('__.', 0), ('D', 0), (' ', 0)]","[('A', 28), ('A', 16), ('D', 12), ('D', 11), ('C', 8), ('C', 8), ('B', 7), ('B', 6), ('none', 0), ('Sol', 0)]","[('', 89), ('\n', 9), ('a', 0), ('.', 0), (',', 0), ('D', 0), ('B', 0), ('(', 0), ('a', 0), ('D', 0)]","[('A', 29), ('D', 17), ('A', 15), ('D', 13), ('B', 10), ('B', 5), ('C', 4), ('C', 2), ('\n', 0), ('Sol', 0)]"
layer31,"[('Хронологија', 12), ('answer', 6), (' ', 2), ('', 2), ('onderwerp', 1), ('belang', 0), ('besta', 0), ('answers', 0), ('reply', 0), ('sprech', 0)]","[('D', 21), ('A', 19), ('A', 19), ('B', 15), ('D', 8), ('C', 8), ('B', 4), ('C', 2), ('\n', 0), ('Sol', 0)]","[('All', 0), ('None', 0), ('Rec', 0), ('Zygote', 0), ('Choice', 0), ('It', 0), ('\n', 0), ('If', 0), ('No', 0), ('Not', 0)]","[('D', 23), ('A', 20), ('B', 17), ('C', 17), ('A', 6), ('B', 4), ('D', 4), ('C', 3), ('\n', 0), ('E', 0)]"
Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 6), ('archivi', 4), ('textt', 2), ('Ґ', 1), ('Архив', 1), ('sterd', 0), ('Љ', 0), ('висини', 0), ('embros', 0), ('씨', 0)]","[('Portail', 21), ('archivi', 17), ('ensoort', 3), ('textt', 1), ('Хронологија', 1), ('listade', 1), ('sterd', 1), ('embros', 0), ('eerd', 0), ('trightarrow', 0)]","[('Portail', 7), ('embros', 2), ('prüng', 1), ('administ', 1), ('ә', 0), ('iellement', 0), ('penas', 0), ('Хронологија', 0), ('пута', 0), ('cowo', 0)]","[('Portail', 35), ('archivi', 7), ('embros', 2), ('Хронологија', 2), ('пута', 1), ('sterd', 0), ('ensoort', 0), ('Архив', 0), ('trightarrow', 0), ('textt', 0)]"
