Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[(',', 13.39), ('’', 3.73), ('▁the', 3.49), ('.', 3.28), ('▁is', 3.08), ('▁and', 3.07), ('▁to', 2.61), ('▁was', 2.16), ('▁with', 2.16), ('▁for', 1.86)]","[('as', 1.47), ('i', 0.96), ('al', 0.96), ('s', 0.93), ('in', 0.87), ('le', 0.82), ('uit', 0.75), ('e', 0.59), (',', 0.57), ('ington', 0.54)]","[('▁', 3.64), ('<0x0A>', 2.04), (',', 1.49), ('1', 0.98), ('2', 0.96), ('e', 0.72), ('.', 0.68), ('0', 0.64), ('4', 0.54), ('’', 0.54)]","[('e', 1.19), ('al', 0.81), ('i', 0.68), ('an', 0.53), ('en', 0.49), ('le', 0.46), ('in', 0.41), ('s', 0.4), ('▁Bath', 0.39), ('▁', 0.37)]"
layer1,"[(')', 31.61), ('▁of', 12.19), (',', 8.38), ('▁and', 4.47), ('▁to', 4.26), ('),', 2.35), ('▁on', 1.93), ('▁the', 1.79), ('▁by', 1.37), ('▁about', 1.19)]","[('i', 9.93), ('e', 3.67), ('1', 3.26), ('le', 2.4), ('an', 2.32), ('en', 1.98), ('al', 1.65), ('c', 1.6), ('in', 1.51), ('p', 1.48)]","[(',', 5.44), ('▁and', 4.86), ('or', 4.57), ('▁book', 3.75), ('▁by', 1.8), ('’', 1.75), ('▁in', 1.71), ('▁of', 1.67), ('.', 1.38), ('▁on', 1.36)]","[('or', 4.73), ('i', 3.95), ('en', 2.87), ('an', 2.21), ('1', 2.02), ('c', 1.98), ('e', 1.78), ('al', 1.38), ('p', 1.33), ('le', 1.25)]"
layer2,"[(')', 47.86), ('}', 19.14), ('”', 7.19), (']', 4.84), ('),', 1.45), ('_', 1.06), ('’', 0.86), (',', 0.78), (');', 0.64), (':', 0.58)]","[('or', 3.2), ('1', 2.69), ('e', 2.59), ('i', 2.29), ('p', 1.72), ('2', 1.5), ('as', 1.37), ('3', 1.24), ('a', 1.16), ('c', 1.14)]","[('s', 19.12), ('▁', 3.24), ('▁and', 2.92), ('’', 1.58), (',', 1.49), ('.', 1.37), ('▁to', 1.05), ('st', 0.92), ('B', 0.61), (""'"", 0.55)]","[('s', 5.26), ('1', 4.59), ('p', 2.76), ('c', 2.08), ('2', 1.98), ('n', 1.8), ('or', 1.57), ('as', 1.55), ('B', 1.36), ('▁', 1.18)]"
layer3,"[('▁', 15.24), (':', 6.11), ('▁F', 3.46), (')', 2.24), (',', 2.05), ('▁and', 1.44), ('▁I', 1.34), ('.', 1.33), ('?', 1.29), ('▁""', 1.22)]","[('1', 7.25), ('▁', 4.89), ('s', 3.26), ('2', 3.14), ('p', 2.94), ('c', 1.96), ('0', 1.83), ('3', 1.39), ('as', 1.28), ('i', 1.28)]","[('y', 7.01), ('▁conditions', 2.78), ('ant', 2.41), ('ED', 1.48), ('ware', 1.31), ('ista', 1.29), ('amin', 0.9), ('up', 0.81), ('emy', 0.76), ('H', 0.73)]","[('1', 5.61), ('p', 4.44), ('c', 3.4), ('2', 3.35), ('s', 2.73), ('a', 2.56), ('▁', 2.53), ('i', 1.84), ('3', 1.82), ('0', 1.42)]"
layer4,"[(')', 3.7), ('”', 3.25), ('}', 3.24), ('""', 1.75), ('▁', 1.64), ('_', 0.98), (']', 0.82), ('"",', 0.8), ('▁S', 0.77), ('</', 0.54)]","[('i', 2.2), ('1', 2.03), ('a', 1.85), ('c', 1.82), ('p', 1.8), ('G', 1.47), ('2', 1.24), ('s', 1.16), ('am', 1.11), ('ref', 0.98)]","[('<', 7.56), ('b', 5.91), ('1', 2.49), ('▁', 1.84), ('</', 1.39), ('2', 1.22), ('0', 1.2), ('i', 1.04), ('c', 0.97), ('▁im', 0.69)]","[('1', 5.46), ('c', 4.84), ('i', 4.47), ('2', 2.77), ('p', 2.71), ('0', 2.35), ('g', 1.71), ('le', 1.53), ('b', 1.29), ('a', 1.23)]"
layer5,"[('▁<', 2.33), ('BS', 1.82), ('|', 1.66), ('<', 1.12), ('▁Virtual', 0.9), ('ower', 0.81), ('...', 0.74), ('::', 0.68), ('-', 0.66), ('bs', 0.66)]","[('<', 4.02), ('i', 3.85), ('g', 3.23), ('1', 3.2), ('c', 2.53), ('0', 1.82), ('2', 1.6), ('</', 1.5), ('p', 1.2), ('▁', 1.15)]","[('1', 1.26), ('▁Mass', 1.03), ('*', 1.02), ('▁Dec', 0.69), (':', 0.66), ('▁yet', 0.61), ('★', 0.59), ('vision', 0.52), ('▁me', 0.5), ('0', 0.45)]","[('1', 11.85), ('<', 7.09), ('0', 5.14), ('c', 3.79), ('2', 3.79), ('</', 2.8), ('i', 2.54), ('4', 1.96), ('g', 1.55), ('▁', 1.09)]"
layer6,"[('odox', 1.82), ('tax', 1.23), ('▁Harold', 0.79), ('▁Kauf', 0.68), ('<0x92>', 0.55), ('▁tax', 0.42), ('vé', 0.37), ('▁comp', 0.35), ('▁Navy', 0.34), ('AX', 0.28)]","[('1', 3.42), ('<', 3.07), ('</', 1.72), ('0', 1.53), ('2', 1.42), ('i', 1.29), ('c', 1.2), ('4', 1.14), ('p', 0.92), ('g', 0.9)]","[('▁Bern', 1.55), ('▁exp', 1.16), ('▁Frame', 0.94), ('▁controllers', 0.82), ('ASC', 0.8), ('ogonal', 0.64), ('estone', 0.62), ('sharp', 0.48), ('Scope', 0.47), ('IZ', 0.41)]","[('<', 3.75), ('1', 1.73), ('4', 1.23), ('0', 1.06), ('</', 0.91), ('2', 0.88), ('f', 0.86), ('i', 0.84), ('3', 0.75), ('st', 0.74)]"
layer7,"[('<0xF0>', 2.0), ('▁operation', 1.31), ('▁', 0.94), ('ak', 0.86), ('age', 0.85), ('(', 0.8), ('d', 0.65), ('ban', 0.62), ('▁as', 0.59), ('▁e', 0.55)]","[('<', 4.21), ('1', 3.76), ('4', 1.71), ('0', 1.56), ('3', 1.42), ('2', 1.34), ('i', 1.18), ('f', 1.13), ('▁', 1.13), ('li', 0.95)]","[('egn', 1.21), ('▁Ign', 0.97), ('▁erst', 0.71), ('ound', 0.63), ('richt', 0.57), ('▁Nature', 0.52), ('al', 0.46), ('▁nature', 0.46), ('▁Whit', 0.45), ('ро', 0.44)]","[('1', 3.04), ('x', 2.53), ('2', 2.07), ('st', 1.99), ('0', 1.8), ('<', 1.75), ('3', 1.54), ('4', 1.38), ('...', 1.25), ('al', 1.18)]"
layer8,"[('▁cle', 1.42), ('▁D', 0.62), ('сты', 0.61), ('▁kar', 0.59), ('▁Dar', 0.56), ('oun', 0.43), ('rama', 0.4), ('▁Fer', 0.38), ('less', 0.38), ('Ъ', 0.38)]","[('1', 3.51), ('4', 2.5), ('3', 2.32), ('0', 1.94), ('2', 1.82), ('c', 1.27), ('...', 1.19), ('9', 1.17), ('x', 1.12), ('▁j', 1.09)]","[('▁Robinson', 1.32), ('bis', 0.98), ('го', 0.72), ('▁classes', 0.42), ('vu', 0.34), ('ówn', 0.34), ('▁bot', 0.3), ('cin', 0.29), ('ito', 0.26), ('ügel', 0.26)]","[('...', 2.97), ('li', 2.31), ('c', 2.15), ('1', 2.02), ('▁j', 1.71), ('2', 1.24), ('st', 1.23), ('0', 0.99), ('4', 0.95), ('▁', 0.84)]"
layer9,"[('▁j', 4.49), (':', 3.06), ('▁clock', 0.83), ('▁dep', 0.79), ('▁Ac', 0.5), ('▁op', 0.48), ('▁bill', 0.4), ('▁•', 0.4), ('ез', 0.36), ('ashi', 0.36)]","[('▁j', 16.02), ('1', 3.35), ('0', 2.15), ('4', 1.75), (':', 1.53), ('2', 1.24), ('...', 1.17), ('A', 0.94), ('9', 0.94), ('f', 0.93)]","[('atos', 2.05), ('au', 1.66), ('ender', 1.3), ('image', 0.84), ('umbnail', 0.75), ('▁ps', 0.68), ('▁Fel', 0.61), ('▁Росси', 0.58), ('▁hous', 0.53), ('▁Times', 0.51)]","[('1', 4.98), ('2', 3.01), ('0', 2.87), ('▁j', 2.67), ('st', 2.3), ('c', 1.89), ('4', 1.89), ('A', 1.51), ('...', 1.42), ('3', 1.32)]"
