Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 11), ('archivi', 3), ('partiellement', 2), ('textt', 1), ('sier', 0), ('ѐ', 0), ('konn', 0), ('totalité', 0), ('Censo', 0), ('embros', 0)]","[('пута', 25), ('partiellement', 1), ('сылки', 0), ('Censo', 0), ('sterd', 0), ('bolds', 0), ('empre', 0), ('писок', 0), ('cí', 0), ('totalité', 0)]","[('пута', 6), ('сылки', 1), ('partiellement', 1), ('embros', 0), ('penas', 0), ('textt', 0), ('virtuel', 0), ('cí', 0), ('sterd', 0), ('gmin', 0)]","[('пута', 23), ('partiellement', 1), ('сылки', 1), ('sterd', 0), ('cí', 0), ('bolds', 0), ('empre', 0), ('virtuel', 0), ('textt', 0), ('洞', 0)]"
layer1,"[('%%%%', 1), ('ˇ', 0), ('pick', 0), ('Pick', 0), ('ing', 0), ('kin', 0), ('Kin', 0), ('pick', 0), ('Û', 0), ('kin', 0)]","[('пута', 4), ('Oficina', 0), ('partiellement', 0), ('сылки', 0), ('Хронологија', 0), ('ә', 0), ('totalité', 0), ('sterd', 0), ('virtuel', 0), ('aucoup', 0)]","[('Pil', 0), ('arda', 0), ('Spr', 0), ('arde', 0), ('ben', 0), ('ardi', 0), ('An', 0), ('usch', 0), ('abei', 0), ('zet', 0)]","[('sce', 0), ('sterd', 0), ('пута', 0), ('Carter', 0), ('aucoup', 0), ('ént', 0), ('ә', 0), ('overcome', 0), ('partiellement', 0), ('сылки', 0)]"
layer2,"[('werb', 0), ('ölker', 0), ('kernel', 0), ('rv', 0), ('�', 0), ('Lauf', 0), ('amazon', 0), ('immagini', 0), ('olf', 0), ('ǒ', 0)]","[('virtuel', 0), ('fen', 0), ('sce', 0), ('ченко', 0), ('sterd', 0), ('overcome', 0), ('ént', 0), ('geg', 0), ('Хронологија', 0), ('ә', 0)]","[('iből', 2), ('◦', 1), ('="".', 0), ('anto', 0), ('xp', 0), ('unda', 0), ('inture', 0), ('Gemeinsame', 0), ('ะ', 0), ('❯', 0)]","[('Хронологија', 0), ('idense', 0), ('aucoup', 0), ('fen', 0), ('geg', 0), ('gem', 0), ('autore', 0), ('overcome', 0), ('older', 0), ('indeed', 0)]"
layer3,"[('bal', 0), ('sudden', 0), ('mér', 0), ('kar', 0), ('Jug', 0), ('false', 0), ('Bal', 0), ('Filter', 0), ('Cha', 0), ('智', 0)]","[('Jug', 0), ('ǒ', 0), ('autore', 0), ('idense', 0), ('orth', 0), ('rv', 0), ('Orth', 0), ('connexes', 0), ('cí', 0), ('straight', 0)]","[('neutral', 0), ('Murray', 0), ('nor', 0), ('RE', 0), ('oda', 0), ('explo', 0), ('feld', 0), ('fn', 0), ('xt', 0), ('igan', 0)]","[('xt', 0), ('Carter', 0), ('purs', 0), ('SOUR', 0), ('ң', 0), ('基', 0), ('Frank', 0), ('rv', 0), ('cí', 0), ('related', 0)]"
layer4,"[('sí', 1), ('questions', 1), ('yes', 0), ('satisf', 0), ('answers', 0), ('Question', 0), ('Answer', 0), ('Answer', 0), ('ogle', 0), ('kar', 0)]","[('orch', 0), ('Uni', 0), ('purs', 0), ('strip', 0), ('Jug', 0), ('уні', 0), ('esc', 0), ('orch', 0), ('ént', 0), ('sat', 0)]","[('egen', 1), ('deg', 0), ('Haz', 0), ('Gent', 0), ('Nicol', 0), ('icol', 0), ('sem', 0), ('Rein', 0), ('pository', 0), ('Mack', 0)]","[('ént', 0), ('orch', 0), ('times', 0), ('purs', 0), ('plug', 0), ('accompan', 0), ('simple', 0), ('indeed', 0), ('straightforward', 0), ('уні', 0)]"
layer5,"[('FX', 0), ('quelle', 0), ('Gemeins', 0), ('ֵ', 0), ('arms', 0), ('ellow', 0), ('候', 0), ('suivante', 0), ('ǒ', 0), ('лено', 0)]","[('indeed', 0), ('ént', 0), ('ǒ', 0), ('General', 0), ('plug', 0), ('Jug', 0), ('заня', 0), ('Gemeins', 0), ('eng', 0), ('Eing', 0)]","[('logs', 2), ('lices', 1), ('iai', 0), ('uent', 0), ('nest', 0), ('MainActivity', 0), ('Fab', 0), ('NT', 0), ('ican', 0), ('icon', 0)]","[('ént', 1), ('autore', 0), ('Gemeins', 0), ('indeed', 0), ('generic', 0), ('straight', 0), ('ǒ', 0), ('Gary', 0), ('times', 0), ('ac', 0)]"
layer6,"[('фере', 0), ('cej', 0), ('nej', 0), ('answer', 0), ('audi', 0), ('externas', 0), ('decimal', 0), ('rado', 0), ('onie', 0), ('chter', 0)]","[('ǒ', 0), ('autore', 0), ('фере', 0), ('indeed', 0), ('acquaint', 0), ('ént', 0), ('oci', 0), ('fen', 0), ('straightforward', 0), ('Gemeins', 0)]","[('oggle', 0), ('bourg', 0), ('Baker', 0), ('icity', 0), ('Commons', 0), ('格', 0), ('ġ', 0), ('ibm', 0), ('noreferrer', 0), ('Пе', 0)]","[('фере', 1), ('connexes', 0), ('inde', 0), ('indeed', 0), ('penas', 0), ('ilib', 0), ('пе', 0), ('Jug', 0), ('oci', 0), ('xter', 0)]"
layer7,"[('bst', 1), ('witz', 1), ('식', 0), ('izza', 0), ('alberga', 0), ('aties', 0), ('acci', 0), ('ú', 0), ('eden', 0), ('Background', 0)]","[('фере', 1), ('arina', 0), ('oci', 0), ('ña', 0), ('indeed', 0), ('xter', 0), ('пе', 0), ('number', 0), ('Jug', 0), ('ellig', 0)]","[('berts', 4), ('nitz', 2), ('références', 1), ('anus', 0), ('ępu', 0), ('nas', 0), ('ASH', 0), ('medi', 0), ('egos', 0), ('و', 0)]","[('irtual', 1), ('arina', 1), ('onas', 0), ('Gary', 0), ('références', 0), ('penas', 0), ('пе', 0), ('edeut', 0), ('visible', 0), ('cot', 0)]"
layer8,"[('cul', 1), ('rather', 0), ('iere', 0), ('Hinweis', 0), ('correctly', 0), ('Mitchell', 0), ('properly', 0), ('sources', 0), ('edy', 0), ('hands', 0)]","[('onas', 1), ('références', 0), ('irtual', 0), ('arina', 0), ('пе', 0), ('ân', 0), ('Jug', 0), ('number', 0), ('different', 0), ('irst', 0)]","[('ias', 1), ('inge', 0), ('eten', 0), ('Gir', 0), ('rid', 0), ('bib', 0), ('uid', 0), ('(', 0), ('exp', 0), ('њи', 0)]","[('onas', 3), ('aria', 2), ('irtual', 1), ('références', 0), ('пе', 0), ('plain', 0), ('komt', 0), ('compression', 0), ('ellig', 0), ('Gary', 0)]"
