Q,0,:
Layer 0,Attention mechanism,"('<s>', 3)","('пута', 1)","('sime', 1)","('瀬', 0)","('држави', 0)","('unicí', 0)","('őd', 0)","('invånare', 0)","('férences', 0)","('empre', 0)",Intermediate residual stream,"('sime', 2)","('<s>', 1)","('пута', 1)","('瀬', 0)","('unicí', 0)","('férences', 0)","('gerufen', 0)","('invånare', 0)","('cí', 0)","('ímp', 0)",MLP output,"('<s>', 18)","('bolds', 8)","('archivi', 7)","('ungsseite', 3)","('textt', 2)","('пута', 2)","('sime', 1)","('씨', 1)","('trakten', 0)","('ímp', 0)",Block output,"('<s>', 16)","('sime', 4)","('пута', 3)","('bolds', 3)","('archivi', 1)","('씨', 1)","('ímp', 1)","('trakten', 1)","('瀬', 1)","('textt', 1)"
Layer 1,Attention mechanism,"('$}}%', 1)","('bata', 0)","('campe', 0)","('itto', 0)","('nombreux', 0)","('compag', 0)","('wan', 0)","('combatt', 0)","('□', 0)","('orde', 0)",Intermediate residual stream,"('<s>', 85)","('ategory', 0)","('incie', 0)","('bject', 0)","('sdl', 0)","('$}}%', 0)","('ame', 0)","('anner', 0)","('gems', 0)","('rame', 0)",MLP output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 2,Attention mechanism,"('aran', 2)","('Bedeut', 1)","('Kontrola', 1)","('indeed', 1)","('Ë', 0)","('씨', 0)","('ograf', 0)","('onymes', 0)","('ombres', 0)","('Хронологија', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('nobody', 1)","('nahm', 0)","('everybody', 0)","('⁻', 0)","('Hinweis', 0)","('ἱ', 0)","('einges', 0)","('Begriffe', 0)","('Википеди', 0)","('�', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 3,Attention mechanism,"('multicol', 0)","('fr', 0)","('graph', 0)","('Ā', 0)","('universal', 0)","('culo', 0)","('Reichs', 0)","('昌', 0)","('̲', 0)","('artificial', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('mals', 2)","('<s>', 2)","('getMessage', 1)","('eness', 1)","('Mah', 1)","('gmina', 0)","('Async', 0)","('Piet', 0)","('雲', 0)","('tong', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 4,Attention mechanism,"('Kontrola', 1)","('‹', 0)","('sor', 0)","('Knight', 0)","('聖', 0)","('constructor', 0)","('fern', 0)","('onCreate', 0)","('fahrt', 0)","('泉', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('disambiguation', 1)","('➖', 1)","('apsed', 0)","('prü', 0)","('printStackTrace', 0)","('‐', 0)","('ystycz', 0)","('•', 0)","('uria', 0)","('vy', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 5,Attention mechanism,"('нец', 2)","('__(', 1)","('joint', 0)","('ipart', 0)","('schließ', 0)","('uclide', 0)","('Preis', 0)","('mate', 0)","('bel', 0)","('Py', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Catalogue', 0)","('against', 0)","('Null', 0)","('net', 0)","('added', 0)","('baum', 0)","('Wright', 0)","('disp', 0)","('…', 0)","('urt', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 6,Attention mechanism,"('embargo', 1)","('ederb', 1)","('riz', 1)","('independ', 1)","('ADD', 0)","('iente', 0)","('ʷ', 0)","('atom', 0)","('jsf', 0)","('Denkmal', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ppi', 1)","('simple', 0)","('why', 0)","('short', 0)","('speed', 0)","('v', 0)","('тво', 0)","('figure', 0)","('ченко', 0)","('CC', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 7,Attention mechanism,"('------+', 1)","('iras', 0)","('illes', 0)","('burger', 0)","('bum', 0)","('ijo', 0)","('iber', 0)","('lau', 0)","('sierp', 0)","('enci', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('at', 1)","('ML', 1)","('about', 0)","('opt', 0)","('ol', 0)","('Gol', 0)","('SS', 0)","('Gram', 0)","('◄', 0)","('op', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 8,Attention mechanism,"('tml', 0)","('bolds', 0)","('ote', 0)","('uche', 0)","('Ė', 0)","('abgerufen', 0)","('inte', 0)","('xhtml', 0)","('Przyp', 0)","('prüfe', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('h', 1)","('un', 1)","('t', 0)","('Pen', 0)","('in', 0)","('sp', 0)","('\n', 0)","('use', 0)","('o', 0)","('oil', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 9,Attention mechanism,"('odox', 1)","('REATE', 0)","('rii', 0)","('alle', 0)","('achiv', 0)","('avo', 0)","('XXX', 0)","('kv', 0)","('нос', 0)","('alles', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Zyg', 0)","('dro', 0)","('data', 0)","('experiments', 0)","('ID', 0)","('戸', 0)","('fiddle', 0)","('Ori', 0)","('ade', 0)","('idd', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 10,Attention mechanism,"('usammen', 2)","('quit', 1)","('стре', 1)","('шта', 1)","('стве', 0)","('entes', 0)","('idenote', 0)","('esia', 0)","('uche', 0)","('сан', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Fitz', 0)","('DO', 0)","('uniform', 0)","('inge', 0)","('Dru', 0)","('ros', 0)","('[', 0)","('(', 0)","('ono', 0)","('ao', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
