Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('penas', 4.01), ('пута', 2.28), ('sier', 0.94), ('trightarrow', 0.89), ('씨', 0.85), ('<s>', 0.54), ('hely', 0.53), ('archivi', 0.51), ('ímp', 0.48), ('gat', 0.43)]","[('penas', 2.71), ('пута', 1.7), ('trightarrow', 0.77), ('ímp', 0.66), ('archivi', 0.62), ('씨', 0.61), ('Licencia', 0.59), ('sier', 0.54), (',', 0.5), ('sime', 0.46)]","[('пута', 9.18), ('penas', 3.75), ('씨', 1.0), ('sier', 0.76), ('archivi', 0.63), ('konn', 0.57), ('ént', 0.55), ('embros', 0.51), ('partiellement', 0.45), ('conde', 0.44)]","[('пута', 6.63), ('penas', 5.48), ('씨', 1.21), ('sier', 0.98), ('archivi', 0.97), ('Licencia', 0.54), ('ímp', 0.48), ('embros', 0.43), ('conde', 0.41), ('瀬', 0.38)]"
layer1,"[('refer', 0.88), ('Насе', 0.51), ('Cult', 0.41), ('cus', 0.4), ('ˇ', 0.39), ('Pick', 0.34), ('pick', 0.34), ('refer', 0.32), ('ing', 0.29), ('ol', 0.29)]","[('penas', 3.11), ('пута', 1.25), ('pó', 0.7), ('archivi', 0.69), ('dimen', 0.46), ('Ḩ', 0.41), ('maste', 0.39), ('conde', 0.35), ('ә', 0.33), ('ǐ', 0.33)]","[('arda', 4.74), ('ugno', 2.55), ('teger', 1.16), (',\\,', 1.0), ('chus', 0.72), ('ategory', 0.49), ('Dy', 0.46), ('eor', 0.41), ('repub', 0.27), ('―', 0.24)]","[('penas', 3.94), ('conde', 0.86), ('ә', 0.53), ('pó', 0.42), ('𝓝', 0.42), ('totalité', 0.37), ('ө', 0.34), ('maste', 0.29), (',', 0.28), ('ченко', 0.28)]"
layer2,"[('werb', 2.19), ('�', 1.04), ('led', 0.88), ('asp', 0.5), ('comm', 0.46), ('ret', 0.44), ('Janeiro', 0.42), ('derived', 0.41), ('adin', 0.39), ('ander', 0.39)]","[('penas', 0.65), ('totalité', 0.44), ('conde', 0.27), ('plug', 0.26), ('dem', 0.22), ('식', 0.21), ('ner', 0.21), (',', 0.2), ('ченко', 0.2), ('ǐ', 0.19)]","[('zung', 1.11), ('œ', 0.76), ('ingu', 0.68), ('temp', 0.59), ('rick', 0.53), ('Ri', 0.47), ('Fer', 0.46), ('kir', 0.45), ('ph', 0.37), ('cas', 0.36)]","[('ph', 1.15), ('penas', 0.92), ('cas', 0.73), ('kne', 0.61), ('totalité', 0.41), ('식', 0.4), ('Cas', 0.35), ('iennes', 0.27), ('repub', 0.24), ('евич', 0.22)]"
layer3,"[('動', 0.54), ('Års', 0.51), ('penas', 0.44), ('narrow', 0.26), ('това', 0.26), ('ített', 0.21), ('vo', 0.18), ('Point', 0.17), ('ított', 0.17), ('управ', 0.17)]","[('penas', 2.64), ('totalité', 0.65), ('ph', 0.44), ('식', 0.39), ('Jahrh', 0.29), ('ǫ', 0.26), ('ง', 0.25), ('cas', 0.24), ('евич', 0.23), ('sink', 0.23)]","[('idenote', 0.67), ('cin', 0.55), ('viv', 0.43), ('fjär', 0.43), ('тература', 0.42), ('ERS', 0.4), ('Freund', 0.38), ('andas', 0.34), ('жива', 0.33), ('mvc', 0.32)]","[('penas', 1.49), ('iennes', 0.67), ('totalité', 0.58), ('kne', 0.54), ('sight', 0.32), ('automatically', 0.31), ('ner', 0.29), ('Hay', 0.28), ('avas', 0.24), ('ph', 0.24)]"
layer4,"[('lius', 2.61), ('arte', 0.39), ('род', 0.39), ('superfic', 0.35), ('mund', 0.35), ('Haupt', 0.34), ('Bog', 0.34), ('eben', 0.32), ('Lund', 0.31), ('arrison', 0.31)]","[('avas', 0.71), ('penas', 0.6), ('kne', 0.48), ('iennes', 0.44), ('ner', 0.43), ('Hay', 0.37), ('člán', 0.34), ('attend', 0.31), ('egin', 0.29), ('евич', 0.28)]","[('trace', 0.71), ('FT', 0.63), ('Einwo', 0.63), ('Regie', 0.61), ('Kore', 0.55), ('ilib', 0.53), ('iner', 0.53), ('jú', 0.5), ('ós', 0.48), ('tat', 0.46)]","[('ilib', 1.41), ('avas', 1.31), ('penas', 0.91), ('ellig', 0.51), ('ph', 0.44), ('totalité', 0.39), ('ченко', 0.38), ('attend', 0.37), ('ahu', 0.32), ('égl', 0.31)]"
layer5,"[('luss', 0.6), ('endorf', 0.58), ('Om', 0.58), ('Haus', 0.54), ('moz', 0.53), ('пе', 0.53), ('nem', 0.5), ('ове', 0.4), ('cout', 0.37), ('**', 0.36)]","[('totalité', 2.11), ('tat', 1.0), ('aut', 0.96), ('cul', 0.94), ('ченко', 0.89), ('penas', 0.84), ('Gemeins', 0.59), ('Pick', 0.39), ('식', 0.34), ('picked', 0.34)]","[('led', 0.91), ('atter', 0.87), ('urt', 0.85), ('angers', 0.65), ('erton', 0.58), ('ling', 0.58), ('Range', 0.56), ('wt', 0.53), ('igne', 0.49), ('servlet', 0.46)]","[('penas', 2.0), ('totalité', 0.8), ('urt', 0.72), ('aut', 0.63), ('mat', 0.62), ('estaven', 0.54), ('ling', 0.47), ('ach', 0.43), ('superfic', 0.42), ('fle', 0.39)]"
layer6,"[('лет', 0.65), ('gresql', 0.6), ('导', 0.56), ('iwers', 0.53), ('lette', 0.49), ('Render', 0.49), ('rendering', 0.44), ('correl', 0.43), ('Kor', 0.42), ('render', 0.39)]","[('totalité', 3.48), ('penas', 1.82), ('espèce', 0.79), ('ling', 0.58), ('rot', 0.42), ('aut', 0.41), ('urt', 0.37), ('ченко', 0.36), ('ache', 0.34), ('estaven', 0.34)]","[('pu', 1.32), ('торы', 0.49), ('&=\\', 0.46), ('Stad', 0.35), ('Ṭ', 0.34), ('шта', 0.33), ('Estad', 0.3), ('refix', 0.27), ('CCE', 0.25), ('iat', 0.24)]","[('totalité', 5.24), ('ahu', 1.82), ('ling', 0.73), ('�', 0.72), ('espèce', 0.58), ('pó', 0.52), ('rot', 0.52), ('avas', 0.41), ('penas', 0.38), ('候', 0.36)]"
layer7,"[('av', 2.17), ('Colors', 0.61), ('div', 0.5), ('anz', 0.4), ('ct', 0.39), ('ť', 0.39), ('gresql', 0.36), ('bst', 0.35), ('rgb', 0.35), ('dar', 0.33)]","[('totalité', 2.34), ('ahu', 1.55), ('�', 1.04), ('rot', 1.02), ('ling', 0.83), ('候', 0.73), ('espèce', 0.57), ('arina', 0.53), ('Moon', 0.5), ('mat', 0.48)]","[('\n', 1.16), ('lave', 1.11), ('uniform', 1.01), ('relative', 0.96), ('forgotten', 0.72), ('Relative', 0.64), ('Smith', 0.55), ('zza', 0.53), ('eno', 0.44), ('bridge', 0.44)]","[('�', 0.95), ('single', 0.56), ('espèce', 0.51), ('confident', 0.42), ('Pat', 0.41), ('arina', 0.38), ('zza', 0.36), ('avas', 0.33), ('Ñ', 0.28), ('önig', 0.27)]"
layer8,"[('ede', 0.89), ('�', 0.82), ('Freder', 0.6), ('pal', 0.58), ('љи', 0.53), ('ée', 0.47), ('fraction', 0.42), ('Wol', 0.42), ('iske', 0.41), ('Invoke', 0.4)]","[('confident', 0.55), ('�', 0.48), ('single', 0.48), ('Pat', 0.46), ('hands', 0.45), ('espèce', 0.44), ('zza', 0.37), ('arina', 0.35), ('quietly', 0.29), ('жена', 0.27)]","[('Kal', 1.36), ('dr', 1.21), ('rem', 1.02), ('orer', 0.78), ('lo', 0.69), ('eta', 0.62), ('por', 0.58), ('dr', 0.45), ('dictionary', 0.43), ('Sto', 0.41)]","[('Pat', 0.9), ('eta', 0.8), ('hands', 0.74), ('Hat', 0.68), ('oro', 0.55), ('object', 0.48), ('rain', 0.47), ('ital', 0.36), ('mob', 0.32), ('�', 0.3)]"
layer9,"[('rör', 3.17), ('島', 0.74), ('字', 0.74), ('kill', 0.61), ('pool', 0.51), ('tiny', 0.44), ('Pool', 0.42), ('bare', 0.33), ('anie', 0.33), ('answer', 0.31)]","[('hands', 1.55), ('avas', 1.1), ('Hat', 0.88), ('mob', 0.59), ('eta', 0.47), ('oro', 0.46), ('usch', 0.41), ('Gra', 0.41), ('penas', 0.31), ('ma', 0.3)]","[('sin', 1.54), ('spiel', 1.34), ('gate', 1.21), ('jest', 1.14), ('ican', 1.13), ('Í', 1.02), ('égl', 0.99), ('ActivityThread', 0.86), ('icas', 0.83), ('RewriteRule', 0.82)]","[('penas', 7.0), ('oro', 0.93), ('avas', 0.75), ('BD', 0.45), ('differ', 0.45), ('espèce', 0.42), ('comprom', 0.36), ('backend', 0.35), ('Mapp', 0.34), ('avia', 0.33)]"
