Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('férences', 2), ('Хронологија', 2), ('<s>', 1), ('Ḩ', 1), ('пута', 1), ('ímp', 0), ('trightarrow', 0), ('瀬', 0), ('Longrightarrow', 0), ('sime', 0)]","[('férences', 2), ('Ḩ', 1), ('ímp', 1), ('瀬', 0), ('Хронологија', 0), ('Longrightarrow', 0), ('пута', 0), ('<s>', 0), ('trightarrow', 0), ('sime', 0)]","[('<s>', 11), ('씨', 1), ('férences', 1), ('пута', 1), ('archivi', 1), ('guez', 1), ('洞', 0), ('瀬', 0), ('ímp', 0), ('omsnitt', 0)]","[('<s>', 4), ('férences', 3), ('пута', 1), ('瀬', 1), ('ímp', 1), ('archivi', 0), ('씨', 0), ('trightarrow', 0), ('penas', 0), ('sime', 0)]"
layer1,"[('anim', 0), ('éo', 0), ('lit', 0), ('références', 0), ('‹', 0), ('zet', 0), ('gouvern', 0), ('refer', 0), ('ˇ', 0), ('ardi', 0)]","[('<s>', 11), ('férences', 2), ('Ḩ', 1), ('gat', 0), ('ǫ', 0), ('월', 0), ('gesamt', 0), ('arget', 0), ('guez', 0), ('penas', 0)]","[('aris', 2), ('abei', 1), ('inkel', 0), ('adém', 0), ('ultimo', 0), ('&=\\', 0), ('fach', 0), ('Ward', 0), ('riz', 0), ('Sup', 0)]","[('<s>', 8), ('férences', 2), ('penas', 1), ('guez', 0), ('arget', 0), ('adém', 0), ('씨', 0), ('anim', 0), ('stru', 0), ('ә', 0)]"
layer2,"[('publique', 4), ('iwers', 4), ('ланд', 1), ('immagini', 1), ('nou', 1), ('othèque', 0), ('ufen', 0), ('apis', 0), ('lès', 0), ('aterra', 0)]","[('<s>', 4), ('guez', 1), ('penas', 1), ('arget', 1), ('férences', 1), ('nou', 0), ('othèque', 0), ('ә', 0), ('от', 0), ('actér', 0)]","[('grad', 1), ('anter', 0), ('iga', 0), ('Patrick', 0), ('tub', 0), ('march', 0), ('orn', 0), ('del', 0), ('št', 0), ('vin', 0)]","[('penas', 0), ('guez', 0), ('arget', 0), ('<s>', 0), ('от', 0), ('anter', 0), ('Gemeins', 0), ('férences', 0), ('actér', 0), ('adém', 0)]"
layer3,"[('�', 5), ('apis', 4), ('Italie', 1), ('fte', 1), ('imo', 0), ('Пе', 0), ('rieb', 0), ('maven', 0), ('aum', 0), ('ippi', 0)]","[('penas', 1), ('guez', 0), ('<s>', 0), ('arget', 0), ('昌', 0), ('ť', 0), ('Gemeins', 0), ('deg', 0), ('ә', 0), ('prüng', 0)]","[('issen', 3), ('ogne', 1), ('anta', 0), ('CCE', 0), ('Nr', 0), ('Wir', 0), ('antages', 0), ('jsp', 0), ('anu', 0), ('dra', 0)]","[('penas', 0), ('hyp', 0), ('gene', 0), ('nou', 0), ('rvm', 0), ('<s>', 0), ('deg', 0), ('anter', 0), ('tout', 0), ('Gemeins', 0)]"
layer4,"[('Wo', 0), ('plane', 0), ('Mode', 0), ('project', 0), ('Hal', 0), ('plane', 0), ('Question', 0), ('inet', 0), ('run', 0), ('Regin', 0)]","[('anter', 0), ('twe', 0), ('tout', 0), ('answer', 0), ('ә', 0), ('ぐ', 0), ('enç', 0), ('bes', 0), ('ченко', 0), ('hop', 0)]","[('epen', 0), ('pret', 0), ('al', 0), ('chmark', 0), ('away', 0), ('up', 0), ('Britann', 0), ('fact', 0), ('oh', 0), ('千', 0)]","[('anter', 3), ('deg', 2), ('bes', 0), ('lo', 0), ('cube', 0), ('LOB', 0), ('forth', 0), ('twe', 0), ('orig', 0), ('hip', 0)]"
layer5,"[('uet', 2), ('ณ', 1), ('UIView', 1), ('oem', 0), ('Centro', 0), ('lane', 0), ('bits', 0), ('rze', 0), ('enze', 0), ('Bundle', 0)]","[('anter', 5), ('forth', 1), ('deg', 0), ('invol', 0), ('bes', 0), ('hip', 0), ('maven', 0), ('admin', 0), ('dot', 0), ('cube', 0)]","[('mund', 2), ('\ufeff', 1), ('ipes', 0), ('uter', 0), ('tex', 0), ('̈', 0), ('aben', 0), ('atte', 0), ('ierra', 0), ('ош', 0)]","[('anter', 2), ('ula', 1), ('patron', 0), ('Beau', 0), ('Johnny', 0), ('root', 0), ('oty', 0), ('CCE', 0), ('hip', 0), ('ogne', 0)]"
layer6,"[('gor', 1), ('∘', 1), ('RS', 0), ('anges', 0), ('remainder', 0), ('eda', 0), ('pag', 0), ('rest', 0), ('teles', 0), ('clock', 0)]","[('anter', 0), ('onal', 0), ('ula', 0), ('Johnny', 0), ('Beau', 0), ('hip', 0), ('answer', 0), ('∘', 0), ('enfor', 0), ('(', 0)]","[('reb', 0), ('correlate', 0), ('лее', 0), ('phr', 0), ('alb', 0), ('meg', 0), ('phony', 0), ('Alert', 0), ('мира', 0), ('TAG', 0)]","[('bah', 1), ('semi', 1), ('–', 0), ('mut', 0), ('tri', 0), ('odot', 0), ('tw', 0), ('ован', 0), ('anych', 0), ('be', 0)]"
layer7,"[('anes', 1), ('issen', 1), ('inx', 0), ('rib', 0), ('plot', 0), ('tf', 0), ('주', 0), ('Flash', 0), ('oin', 0), ('án', 0)]","[('semi', 2), ('tw', 1), ('mut', 1), ('–', 0), ('odot', 0), ('rib', 0), ('bra', 0), ('is', 0), ('tri', 0), ('anych', 0)]","[('Хронологија', 2), ('asma', 1), ('iada', 0), ('打', 0), ('edad', 0), ('dimen', 0), ('stelle', 0), ('uj', 0), ('dzie', 0), ('plug', 0)]","[('apk', 1), ('rem', 0), ('semi', 0), ('straight', 0), ('до', 0), ('ответ', 0), ('sem', 0), ('Java', 0), ('—', 0), ('olit', 0)]"
layer8,"[('Domain', 1), ('}}%', 1), ('Système', 0), ('iała', 0), ('Bes', 0), ('ąd', 0), ('utter', 0), ('лан', 0), ('Wikipédia', 0), ('onato', 0)]","[('apk', 1), ('straight', 1), ('Java', 0), ('Stra', 0), ('rem', 0), ('hun', 0), ('semi', 0), ('exec', 0), ('guer', 0), ('Java', 0)]","[('nig', 2), ('BUG', 1), ('achi', 1), ('Rena', 0), ('mes', 0), ('Luc', 0), ('ゆ', 0), ('ску', 0), ('adal', 0), ('prit', 0)]","[('exec', 0), ('matches', 0), ('ख', 0), ('—', 0), ('-,', 0), ('ups', 0), ('straight', 0), ('hun', 0), ('Magic', 0), ('Stra', 0)]"
