Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('▁is', 7.46), ('▁to', 5.99), (',', 5.11), ('.', 4.11), ('▁the', 3.81), ('▁for', 3.73), ('▁with', 3.3), ('▁and', 2.82), ('▁on', 2.6), ('▁that', 2.44)]","[(',', 3.06), ('.', 2.46), ('▁is', 2.39), ('▁to', 2.13), ('▁with', 1.46), ('▁for', 1.35), ('▁on', 1.29), ('▁the', 1.19), ('▁more', 1.0), ('▁from', 0.99)]","[(',', 4.1), ('.', 3.52), ('<0x0A>', 2.34), ('▁is', 1.96), (""'"", 1.49), ('▁the', 1.19), ('-', 1.04), ('▁to', 0.98), ('▁on', 0.88), ('▁are', 0.83)]","[('▁is', 1.9), (',', 1.68), ('▁more', 1.11), ('▁to', 1.1), ('.', 1.08), ('▁on', 1.01), ('▁from', 0.85), ('▁the', 0.82), ('▁with', 0.76), ('▁for', 0.73)]"
layer1,"[('▁to', 29.56), ('▁of', 18.02), ('▁and', 16.97), ('▁by', 6.79), (',', 3.75), ('▁for', 3.57), ('▁on', 3.55), ('▁in', 3.16), ('.', 2.34), ('▁with', 1.83)]","[('1', 38.68), ('2', 23.84), ('3', 7.63), ('4', 4.27), ('5', 3.11), ('0', 3.07), ('6', 1.98), ('7', 1.42), ('8', 1.41), ('9', 1.09)]","[('-', 23.37), ('2', 18.67), ('1', 12.96), (',', 10.95), ('.', 7.04), ('3', 2.49), ('5', 1.7), ('6', 1.2), ('4', 1.15), ('/', 1.1)]","[('1', 42.48), ('2', 36.69), ('3', 6.66), ('4', 3.31), ('5', 2.96), ('6', 2.36), ('7', 1.41), ('0', 1.2), ('8', 1.0), ('9', 0.78)]"
layer2,"[(',', 11.66), ('▁and', 8.63), ('<0x0A>', 4.39), ('-', 3.7), ('▁to', 3.03), ('’', 2.87), ('.', 2.46), ('▁of', 2.15), (""'"", 2.09), ('▁in', 1.92)]","[('1', 23.67), ('2', 15.61), ('3', 5.99), ('0', 4.73), ('5', 4.53), ('4', 4.37), ('8', 3.24), ('6', 2.88), ('7', 2.53), ('9', 2.44)]","[('”', 5.61), ('’', 4.18), (':', 3.41), (',', 2.53), ('!', 2.09), ('▁of', 1.96), (';', 1.57), ('?', 1.34), ('▁or', 0.78), ('▁and', 0.67)]","[('1', 29.73), ('2', 16.25), ('3', 9.92), ('4', 5.91), ('5', 5.34), ('0', 4.51), ('8', 4.51), ('7', 3.52), ('6', 3.07), ('9', 1.41)]"
layer3,"[(',', 3.37), ('.', 2.01), ('▁and', 1.79), ('<0x0A>', 1.66), ('▁that', 1.57), ('▁', 1.21), ('▁to', 1.21), ('▁in', 1.19), (':', 1.19), ('’', 1.1)]","[('1', 25.62), ('2', 14.66), ('0', 8.16), ('3', 7.9), ('8', 5.34), ('4', 4.59), ('5', 3.46), ('7', 3.31), ('6', 2.95), ('9', 2.19)]","[('▁W', 1.54), ('<0x0A>', 1.23), ('▁RE', 1.19), ('xt', 0.93), ('▁of', 0.92), ('▁date', 0.91), ('</s>', 0.88), ('▁“', 0.87), ('▁""', 0.83), ('▁Hall', 0.78)]","[('1', 31.27), ('2', 14.73), ('0', 11.84), ('3', 7.42), ('4', 5.2), ('5', 4.26), ('7', 3.9), ('6', 3.59), ('8', 3.2), ('9', 2.26)]"
layer4,"[('▁questions', 5.51), ('▁was', 1.26), ('▁', 0.96), ('▁yes', 0.86), ('<0x0A>', 0.75), ('▁answers', 0.66), ('▁Question', 0.65), ('▁Bas', 0.57), (':', 0.55), ('▁S', 0.54)]","[('1', 21.75), ('2', 9.26), ('0', 7.82), ('5', 4.08), ('4', 3.93), ('3', 3.61), ('8', 3.19), ('6', 2.95), ('7', 2.51), ('9', 2.28)]","[('egen', 1.16), ('3', 1.04), ('1', 0.77), ('2', 0.76), ('▁', 0.63), ('8', 0.47), ('▁sem', 0.46), ('▁(', 0.44), ('7', 0.41), ('▁Haz', 0.39)]","[('1', 30.61), ('2', 14.53), ('3', 7.71), ('8', 6.37), ('0', 5.12), ('7', 4.46), ('4', 3.98), ('6', 3.71), ('9', 2.98), ('5', 2.91)]"
layer5,"[('�', 1.77), ('.', 1.43), ('...', 1.09), ('|', 1.04), ('<0x0A>', 0.87), ('’', 0.78), ('ach', 0.78), ('ellow', 0.59), ('BS', 0.54), (':', 0.54)]","[('1', 32.75), ('2', 11.97), ('0', 6.75), ('3', 6.42), ('8', 5.26), ('9', 4.03), ('6', 3.77), ('7', 3.24), ('4', 2.98), ('5', 2.53)]","[('1', 5.91), ('2', 2.86), ('0', 1.69), (',', 1.42), ('.', 0.97), ('?', 0.76), ('7', 0.71), ('▁against', 0.67), ('▁icon', 0.67), ('6', 0.65)]","[('1', 54.31), ('2', 15.17), ('0', 7.42), ('3', 4.15), ('8', 3.41), ('6', 3.28), ('9', 2.86), ('7', 2.86), ('4', 2.27), ('5', 1.67)]"
layer6,"[('▁_', 2.09), ('--', 1.0), ('▁rather', 0.98), ('...', 0.8), ('▁most', 0.66), ('.', 0.66), ('▁answer', 0.53), ('▁H', 0.49), ('▁O', 0.44), ('▁destination', 0.39)]","[('1', 38.97), ('2', 10.35), ('3', 5.55), ('9', 4.74), ('8', 3.84), ('4', 3.71), ('7', 3.28), ('0', 2.98), ('6', 2.87), ('5', 1.88)]","[('icity', 1.07), ('▁couple', 0.66), ('▁Commons', 0.63), ('▁Baker', 0.61), ('oggle', 0.48), ('格', 0.4), ('endo', 0.37), ('▁fake', 0.34), ('ued', 0.32), ('ouri', 0.32)]","[('1', 62.96), ('2', 10.71), ('3', 4.17), ('4', 3.43), ('6', 2.58), ('8', 1.92), ('0', 1.86), ('9', 1.59), ('7', 1.53), ('5', 0.88)]"
layer7,"[('bst', 1.04), ('izza', 0.97), ('acci', 0.49), ('▁number', 0.46), ('▁crisis', 0.45), ('▁Bill', 0.45), ('▁ad', 0.42), ('Background', 0.41), ('▁hat', 0.37), (':', 0.35)]","[('1', 62.58), ('2', 9.96), ('3', 4.56), ('4', 2.31), ('9', 1.41), ('6', 1.4), ('8', 1.37), ('0', 1.29), ('5', 0.91), ('7', 0.86)]","[('berts', 2.21), ('nitz', 1.56), ('▁références', 1.08), ('▁medi', 0.68), ('anus', 0.55), ('▁end', 0.5), ('▁nas', 0.48), ('egos', 0.32), ('ASH', 0.32), ('▁herm', 0.3)]","[('1', 70.04), ('2', 9.62), ('3', 4.52), ('4', 2.48), ('6', 1.68), ('8', 1.63), ('9', 1.52), ('0', 1.25), ('5', 1.06), ('7', 0.73)]"
layer8,"[('▁rather', 3.34), ('▁hands', 1.14), ('▁sources', 0.63), ('▁cul', 0.53), ('cul', 0.49), ('▁mix', 0.48), ('▁determ', 0.43), ('phere', 0.4), ('▁sold', 0.39), ('▁Mitchell', 0.39)]","[('1', 64.04), ('2', 8.55), ('3', 6.18), ('4', 2.7), ('8', 1.96), ('5', 1.57), ('9', 1.57), ('0', 1.49), ('6', 1.36), ('7', 1.04)]","[('eten', 0.9), ('ias', 0.59), ('▁Gir', 0.56), ('2', 0.56), ('▁rid', 0.55), ('inge', 0.52), ('<0x99>', 0.5), ('▁bib', 0.47), ('pios', 0.46), ('▁Glad', 0.39)]","[('1', 67.43), ('2', 18.26), ('3', 4.18), ('4', 2.07), ('0', 1.84), ('6', 0.94), ('9', 0.93), ('5', 0.91), ('7', 0.85), ('8', 0.34)]"
