Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('férences', 1), ('<s>', 1), ('trightarrow', 1), ('пута', 0), ('Ḩ', 0), ('Хронологија', 0), ('월', 0), ('sime', 0), ('ímp', 0), ('瀬', 0)]","[('férences', 2), ('trightarrow', 1), ('<s>', 0), ('Ḩ', 0), ('sime', 0), ('ímp', 0), ('пута', 0), ('瀬', 0), ('월', 0), ('Longrightarrow', 0)]","[('<s>', 27), ('archivi', 2), ('guez', 1), ('씨', 1), ('férences', 0), ('кипеди', 0), ('пута', 0), ('textt', 0), ('溪', 0), ('瀬', 0)]","[('<s>', 9), ('férences', 2), ('пута', 1), ('archivi', 1), ('瀬', 1), ('trightarrow', 1), ('ímp', 0), ('씨', 0), ('penas', 0), ('sime', 0)]"
layer1,"[('refer', 0), ('campe', 0), ('éo', 0), ('gouvern', 0), ('anim', 0), ('ë', 0), ('gin', 0), ('références', 0), ('succès', 0), ('ľ', 0)]","[('<s>', 38), ('ategory', 1), ('penas', 0), ('férences', 0), ('월', 0), ('arget', 0), ('𝓝', 0), ('ográfica', 0), ('ǫ', 0), ('archivi', 0)]","[('aris', 2), ('ovis', 2), ('penas', 1), ('cas', 0), ('anim', 0), ('Dy', 0), ('abei', 0), ('ederb', 0), ('guez', 0), ('Bibliografía', 0)]","[('<s>', 23), ('penas', 6), ('ategory', 2), ('guez', 0), ('anim', 0), ('Außer', 0), ('atform', 0), ('ответ', 0), ('𝓝', 0), ('adém', 0)]"
layer2,"[('asp', 5), ('guer', 1), ('▸', 0), ('lack', 0), ('adin', 0), ('éo', 0), ('ewrite', 0), ('ufen', 0), ('omo', 0), ('cade', 0)]","[('penas', 14), ('<s>', 8), ('ategory', 1), ('guez', 1), ('atform', 0), ('entferne', 0), ('prüfe', 0), ('Außer', 0), ('othèque', 0), ('jourd', 0)]","[('tap', 1), ('by', 1), ('Fr', 1), ('fr', 1), ('anter', 1), ('oms', 0), ('om', 0), ('pin', 0), ('Av', 0), ('Lind', 0)]","[('penas', 13), ('estaven', 0), ('ategory', 0), ('guez', 0), ('atform', 0), ('geh', 0), ('jourd', 0), ('ederb', 0), ('<s>', 0), ('anim', 0)]"
layer3,"[('Pick', 0), ('Jenkins', 0), ('rir', 0), ('ja', 0), ('ktor', 0), ('Leo', 0), ('Added', 0), ('jà', 0), ('сс', 0), ('�', 0)]","[('penas', 6), ('estaven', 1), ('Außer', 0), ('guez', 0), ('atform', 0), ('geh', 0), ('ederb', 0), ('adém', 0), ('sink', 0), ('hover', 0)]","[('♯', 1), ('⇔', 1), ('❯', 1), ('inale', 0), ('Архівовано', 0), ('hein', 0), ('ogne', 0), ('dzie', 0), ('roman', 0), ('apk', 0)]","[('penas', 9), ('nou', 0), ('anter', 0), ('geh', 0), ('jourd', 0), ('prüfe', 0), ('❯', 0), ('entferne', 0), ('Außer', 0), ('hyp', 0)]"
layer4,"[('Duc', 0), ('typen', 0), ('Regin', 0), ('음', 0), ('indent', 0), ('Beau', 0), ('amin', 0), ('vor', 0), ('Википедии', 0), ('ske', 0)]","[('nou', 0), ('penas', 0), ('anter', 0), ('Kin', 0), ('fres', 0), ('jourd', 0), ('mez', 0), ('ultimo', 0), ('Sr', 0), ('Beau', 0)]","[('ule', 0), ('abs', 0), ('inger', 0), ('zych', 0), ('Gar', 0), ('ument', 0), ('ся', 0), ('Ad', 0), ('uwe', 0), ('чи', 0)]","[('LOB', 1), ('anter', 1), ('nou', 1), ('fres', 0), ('imas', 0), ('piel', 0), ('lob', 0), ('forth', 0), ('ظ', 0), ('jourd', 0)]"
layer5,"[('Mock', 2), ('UI', 1), ('Хронологија', 1), ('uno', 0), ('GND', 0), ('ณ', 0), ('Storia', 0), ('Begriffsklär', 0), ('ML', 0), ('Kan', 0)]","[('jourd', 1), ('tout', 0), ('nou', 0), ('zeich', 0), ('forth', 0), ('metros', 0), ('Kin', 0), ('LOB', 0), ('Svens', 0), ('olin', 0)]","[('bek', 3), ('rece', 0), ('kin', 0), ('ident', 0), ('identity', 0), ('ft', 0), ('do', 0), ('Ident', 0), ('horn', 0), ('ter', 0)]","[('Kin', 2), ('deg', 0), ('bru', 0), ('rl', 0), ('test', 0), ('Bedeut', 0), ('any', 0), ('kin', 0), ('rolled', 0), ('nim', 0)]"
layer6,"[('<s>', 1), ('assignment', 1), ('anges', 1), ('aman', 0), ('ifest', 0), ('assign', 0), ('IIS', 0), ('isu', 0), ('Ана', 0), ('exc', 0)]","[('Kin', 2), ('Bedeut', 0), ('bru', 0), ('trap', 0), ('Magn', 0), ('test', 0), ('kin', 0), ('rl', 0), ('any', 0), ('deg', 0)]","[('otti', 1), ('\u2060', 1), ('MAP', 0), ('нец', 0), ('isée', 0), ('краї', 0), ('tri', 0), ('ур', 0), ('Ré', 0), ('zan', 0)]","[('penas', 4), ('bru', 1), ('jourd', 0), ('odot', 0), ('anych', 0), ('Bedeut', 0), ('odb', 0), ('\u2060', 0), ('metros', 0), ('тература', 0)]"
layer7,"[('anz', 1), ('tf', 1), ('rees', 0), ('onc', 0), ('äs', 0), ('Del', 0), ('nyelven', 0), ('jus', 0), ('automatisch', 0), ('acy', 0)]","[('penas', 3), ('<s>', 1), ('jourd', 1), ('ago', 1), ('bru', 1), ('anych', 0), ('\u2060', 0), ('ON', 0), ('RewriteRule', 0), ('reib', 0)]","[('uj', 5), ('forg', 3), ('ordo', 1), ('favor', 1), ('dimen', 1), ('hoff', 1), ('igt', 1), ('次', 0), ('teger', 0), ('Jah', 0)]","[('jourd', 1), ('font', 1), ('Sv', 0), ('rola', 0), ('otta', 0), ('mv', 0), ('olit', 0), ('hoff', 0), ('Bright', 0), ('Brig', 0)]"
layer8,"[('jsf', 2), ('rito', 1), ('emu', 0), ('Bes', 0), ('Creek', 0), ('➖', 0), ('emo', 0), ('鳥', 0), ('}}%', 0), ('rit', 0)]","[('anych', 0), ('Sv', 0), ('jourd', 0), ('olit', 0), ('otta', 0), ('Brig', 0), ('pairs', 0), ('hover', 0), ('tri', 0), ('odot', 0)]","[('chev', 7), ('oden', 3), ('SF', 0), ('$("".', 0), ('aug', 0), ('fl', 0), ('isc', 0), ('лей', 0), ('PI', 0), ('René', 0)]","[('otta', 0), ('onces', 0), ('Nue', 0), ('jourd', 0), ('exec', 0), ('Brit', 0), ('hover', 0), ('hun', 0), ('MC', 0), ('tri', 0)]"
