Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 1), ('<s>', 1), ('trightarrow', 0), ('ímp', 0), ('penas', 0), ('씨', 0), ('ө', 0), ('archivi', 0), ('atform', 0), ('imientos', 0)]","[('пута', 1), ('ímp', 0), ('<s>', 0), ('trightarrow', 0), (',', 0), ('penas', 0), ('archivi', 0), ('씨', 0), ('imientos', 0), ('dostęp', 0)]","[('пута', 7), ('씨', 4), ('瀬', 2), ('阳', 0), ('archivi', 0), ('ә', 0), ('ént', 0), ('embros', 0), ('ѐ', 0), ('férences', 0)]","[('пута', 5), ('씨', 2), ('瀬', 1), ('archivi', 0), ('ímp', 0), ('penas', 0), ('<s>', 0), ('trightarrow', 0), ('embros', 0), ('ént', 0)]"
layer1,"[('refer', 0), ('références', 0), ('progetti', 0), ('cul', 0), ('Nem', 0), ('lit', 0), ('succès', 0), ('Насе', 0), ('nem', 0), ('ponse', 0)]","[('<s>', 1), ('ә', 0), ('ченко', 0), (',', 0), ('penas', 0), ('ө', 0), ('ǫ', 0), ('월', 0), ('пута', 0), ('conde', 0)]","[('kel', 11), ('picked', 1), ('Tout', 1), ('Dy', 0), ('hang', 0), ('pios', 0), ('ран', 0), ('Rena', 0), ('arda', 0), ('bir', 0)]","[('penas', 0), ('ǫ', 0), ('ә', 0), (',', 0), ('ө', 0), ('conde', 0), ('pl', 0), ('ченко', 0), ('picked', 0), ('ұ', 0)]"
layer2,"[('comm', 1), ('iem', 1), ('germ', 0), ('roc', 0), ('manually', 0), ('Roc', 0), ('ank', 0), ('ք', 0), ('ynchronous', 0), ('INCT', 0)]","[('dem', 1), ('Neu', 0), ('ченко', 0), ('culo', 0), ('–', 0), ('bent', 0), (',', 0), ('lean', 0), ('Beau', 0), ('ǫ', 0)]","[('iemann', 4), ('kne', 1), ('oa', 1), ('iger', 1), ('parl', 0), ('by', 0), ('zung', 0), ('Debug', 0), ('rance', 0), ('t', 0)]","[('kne', 1), (',', 0), ('iemann', 0), ('–', 0), ('side', 0), ('iennes', 0), ('forms', 0), ('dem', 0), ('евич', 0), ('res', 0)]"
layer3,"[('iből', 7), ('め', 1), ('ť', 0), ('jd', 0), ('owego', 0), ('shore', 0), ('owy', 0), ('управ', 0), ('owanie', 0), ('yourself', 0)]","[('kne', 0), ('ย', 0), ('ж', 0), ('entertain', 0), ('lean', 0), ('picked', 0), ('whether', 0), ('side', 0), ('penas', 0), ('tun', 0)]","[('ppi', 2), ('CCN', 2), ('Times', 0), ('itu', 0), ('Gir', 0), ('uil', 0), ('uen', 0), ('itive', 0), ('isz', 0), ('znam', 0)]","[('picked', 0), ('ow', 0), ('kne', 0), ('side', 0), ('lean', 0), ('supp', 0), ('ран', 0), ('ran', 0), ('cul', 0), ('ord', 0)]"
layer4,"[('lam', 1), ('vern', 0), ('SP', 0), ('tied', 0), ('ant', 0), ('ß', 0), ('тера', 0), ('sink', 0), ('am', 0), ('SP', 0)]","[('ow', 1), ('bum', 0), ('cul', 0), ('ran', 0), ('picked', 0), ('lean', 0), ('review', 0), ('sink', 0), ('ul', 0), ('ord', 0)]","[('rac', 4), ('BR', 0), ('compiling', 0), ('rii', 0), ('Equ', 0), ('voy', 0), ('compiled', 0), ('ща', 0), ('Ward', 0), ('iner', 0)]","[('�', 0), ('penas', 0), ('rac', 0), ('ченко', 0), ('fast', 0), ('ph', 0), ('picked', 0), ('if', 0), ('cul', 0), ('shut', 0)]"
layer5,"[('imper', 6), ('imper', 3), ('chev', 2), ('END', 2), ('endorf', 1), ('ณ', 0), ('iből', 0), ('endl', 0), ('clude', 0), ('Imper', 0)]","[('bes', 1), ('ченко', 1), ('cul', 0), ('MS', 0), ('run', 0), ('ként', 0), ('ach', 0), ('ă', 0), ('kir', 0), ('żs', 0)]","[('alse', 2), ('epen', 2), ('wt', 1), ('cant', 1), ('cha', 0), ('deg', 0), ('vic', 0), ('NF', 0), ('io', 0), ('ais', 0)]","[('io', 1), ('ach', 1), ('iből', 0), ('Pat', 0), ('eme', 0), ('zyma', 0), ('kir', 0), ('bes', 0), ('penas', 0), ('xls', 0)]"
layer6,"[('województ', 3), ('pron', 2), ('hat', 1), ('angularjs', 1), ('iful', 0), ('Hat', 0), ('iwers', 0), ('tab', 0), ('rix', 0), ('auc', 0)]","[('województ', 2), ('odon', 1), ('hat', 1), ('cul', 0), ('tons', 0), ('Hat', 0), ('hat', 0), ('penas', 0), ('io', 0), ('рия', 0)]","[('irat', 1), ('&=\\', 0), ('ове', 0), ('(""', 0), ('accident', 0), ('ugel', 0), ('iveau', 0), ('格', 0), ('shot', 0), ('士', 0)]","[('odon', 2), ('województ', 1), ('suppress', 0), ('hat', 0), ('ण', 0), ('Moon', 0), ('NF', 0), ('рия', 0), ('bles', 0), ('AV', 0)]"
layer7,"[('adt', 1), ('loss', 1), ('rig', 1), ('erst', 0), ('legend', 0), ('ậ', 0), ('ä', 0), ('cí', 0), ('app', 0), ('Vor', 0)]","[('suppress', 1), ('ण', 1), ('województ', 1), ('hat', 0), ('hands', 0), ('Hat', 0), ('odon', 0), ('Moon', 0), ('nem', 0), ('AV', 0)]","[('ing', 6), ('oben', 1), ('inflate', 1), ('oups', 0), ('te', 0), ('pon', 0), ('fond', 0), ('Baker', 0), ('Wright', 0), ('Victoria', 0)]","[('ण', 1), ('hat', 1), ('polar', 0), ('AL', 0), ('oro', 0), ('odon', 0), ('Alban', 0), ('suppress', 0), ('Hat', 0), ('cul', 0)]"
layer8,"[('counter', 1), ('counter', 1), ('Censo', 0), ('artifact', 0), ('totalité', 0), ('pal', 0), ('Fernseh', 0), ('agens', 0), ('strik', 0), ('果', 0)]","[('ण', 1), ('cul', 1), ('hat', 1), ('Hat', 0), ('oro', 0), ('Alban', 0), ('AL', 0), ('acknowled', 0), ('polar', 0), ('odon', 0)]","[('alle', 1), ('ональ', 1), ('erne', 1), ('uster', 0), ('quelle', 0), ('oten', 0), ('oi', 0), ('fert', 0), ('Sar', 0), ('construct', 0)]","[('hat', 1), ('Hat', 1), ('ण', 1), ('hat', 0), ('hands', 0), ('cul', 0), ('ener', 0), ('eta', 0), ('Ñ', 0), ('Alban', 0)]"
layer9,"[('Bent', 5), ('rör', 2), ('<s>', 0), ('島', 0), ('date', 0), ('clude', 0), ('answer', 0), ('PHP', 0), ('scar', 0), ('://', 0)]","[('ण', 1), ('Hat', 1), ('cul', 1), ('hands', 1), ('hat', 0), ('eta', 0), ('hat', 0), ('NE', 0), ('Front', 0), ('ере', 0)]","[('унк', 2), ('évrier', 2), ('illon', 0), ('хе', 0), ('oem', 0), ('�', 0), ('ferrer', 0), ('enz', 0), ('brázky', 0), ('isseur', 0)]","[('ậ', 1), ('ण', 1), ('cul', 0), ('ове', 0), ('Ξ', 0), ('Bian', 0), ('сле', 0), ('etwork', 0), ('ulle', 0), ('eta', 0)]"
