Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('<s>', 1), ('пута', 1), ('férences', 0), ('abhäng', 0), ('prüng', 0), ('월', 0), ('Außer', 0), ('ímp', 0), ('trightarrow', 0), ('천', 0)]","[('<s>', 0), ('férences', 0), ('пута', 0), ('abhäng', 0), ('ategory', 0), ('ímp', 0), ('천', 0), ('prüng', 0), ('瀬', 0), ('trightarrow', 0)]","[('archivi', 4), ('пута', 2), ('guez', 2), ('<s>', 2), ('씨', 1), ('férences', 0), ('penas', 0), ('溪', 0), ('Архив', 0), ('洞', 0)]","[('<s>', 3), ('пута', 3), ('férences', 1), ('archivi', 1), ('ímp', 0), ('瀬', 0), ('guez', 0), ('penas', 0), ('trightarrow', 0), ('sime', 0)]"
layer1,"[('refer', 0), ('gouvern', 0), ('anim', 0), ('références', 0), ('isser', 0), ('madre', 0), ('ë', 0), ('Hinweis', 0), ('progetti', 0), ('Kin', 0)]","[('<s>', 13), ('penas', 1), ('abhäng', 0), ('ǫ', 0), ('opera', 0), ('ategory', 0), ('férences', 0), ('월', 0), ('𝓝', 0), ('quelle', 0)]","[('ommes', 1), ('Dy', 1), ('aris', 1), ('penas', 0), ('ovis', 0), ('idth', 0), ('ċ', 0), ('ederb', 0), ('abei', 0), ('desar', 0)]","[('<s>', 21), ('penas', 5), ('ategory', 1), ('Außer', 0), ('guez', 0), ('abhäng', 0), ('spole', 0), ('opera', 0), ('𝓝', 0), ('ǫ', 0)]"
layer2,"[('guer', 1), ('ufen', 1), ('germ', 0), ('erv', 0), ('pret', 0), ('dedu', 0), ('giv', 0), ('ign', 0), ('Ier', 0), ('ederb', 0)]","[('<s>', 9), ('penas', 7), ('opera', 1), ('ategory', 1), ('guez', 0), ('ederb', 0), ('atform', 0), ('spole', 0), ('cí', 0), ('pecies', 0)]","[('обо', 1), ('OF', 1), ('stra', 0), ('urg', 0), ('chart', 0), ('Six', 0), ('li', 0), ('tap', 0), ('cco', 0), ('lower', 0)]","[('penas', 5), ('opera', 0), ('ategory', 0), ('Außer', 0), ('ufen', 0), ('iennes', 0), ('éon', 0), ('tout', 0), ('ederb', 0), ('igne', 0)]"
layer3,"[('penas', 2), ('terne', 1), ('wer', 1), ('atform', 1), ('ď', 1), ('imas', 0), ('aggreg', 0), ('ť', 0), ('idos', 0), ('uso', 0)]","[('penas', 29), ('ť', 1), ('atform', 1), ('imas', 0), ('ategory', 0), ('opera', 0), ('ű', 0), ('pecies', 0), ('ж', 0), ('bum', 0)]","[('ferred', 1), ('uen', 1), ('instructions', 1), ('herit', 0), ('idenote', 0), ('Managed', 0), ('LOB', 0), ('oval', 0), ('ulle', 0), ('ffe', 0)]","[('penas', 21), ('atform', 1), ('imas', 0), ('ategory', 0), ('pecies', 0), ('opera', 0), ('ű', 0), ('une', 0), ('Außer', 0), ('ewrite', 0)]"
layer4,"[('INCT', 1), ('lm', 1), ('--', 1), ('Bij', 0), ('TeX', 0), ('sust', 0), ('""', 0), ('hack', 0), ('Answer', 0), ('strij', 0)]","[('penas', 4), ('pecies', 1), ('atform', 1), ('opera', 0), ('ű', 0), ('ง', 0), ('tout', 0), ('werb', 0), ('entferne', 0), ('imas', 0)]","[('LOB', 2), ('ich', 1), ('rii', 1), ('abs', 0), ('Mes', 0), ('Pit', 0), ('absor', 0), ('ument', 0), ('asha', 0), ('mort', 0)]","[('penas', 2), ('LOB', 1), ('bounded', 0), ('imas', 0), ('iennes', 0), ('{""', 0), ('inas', 0), ('lo', 0), ('metros', 0), ('dex', 0)]"
layer5,"[('➖', 4), ('zetek', 3), ('ук', 1), ('Claude', 0), ('ע', 0), ('oro', 0), ('Node', 0), ('ом', 0), ('Node', 0), ('Ru', 0)]","[('LOB', 2), ('penas', 1), ('thrown', 1), ('mass', 0), ('añ', 0), ('Sr', 0), ('bounded', 0), ('któ', 0), ('imas', 0), ('ย', 0)]","[('Ven', 1), ('const', 1), ('alette', 0), ('лат', 0), ('alse', 0), ('abl', 0), ('bru', 0), ('alter', 0), ('amb', 0), ('éri', 0)]","[('intellig', 1), ('armed', 0), ('abl', 0), ('penas', 0), ('thrown', 0), ('mass', 0), ('any', 0), ('""`', 0), ('Kin', 0), ('Media', 0)]"
layer6,"[('gresql', 45), ('Argument', 0), ('IMARY', 0), ('fal', 0), ('tan', 0), ('дор', 0), ('雲', 0), ('agnet', 0), ('listade', 0), ('isu', 0)]","[('intellig', 2), ('NF', 0), ('Media', 0), ('Ins', 0), ('penas', 0), ('intelligence', 0), ('hbar', 0), ('gresql', 0), ('iből', 0), ('mass', 0)]","[('фициаль', 2), ('őd', 1), ('isée', 0), ('spl', 0), ('\u200d', 0), ('vin', 0), ('hu', 0), ('Target', 0), ('izzato', 0), ('istes', 0)]","[('penas', 4), ('intellig', 1), ('gresql', 1), ('NF', 0), ('TAC', 0), ('tra', 0), ('Einzeln', 0), ('ública', 0), ('representation', 0), ('progetti', 0)]"
layer7,"[('äs', 3), ('pus', 1), ('duino', 1), ('tw', 1), ('Hans', 0), ('타', 0), ('Visual', 0), ('perty', 0), ('arel', 0), ('visual', 0)]","[('penas', 6), ('TAC', 1), ('intellig', 1), ('NF', 1), ('intelligence', 0), ('Int', 0), ('Visual', 0), ('anha', 0), ('ű', 0), ('proceed', 0)]","[('helm', 1), ('unda', 1), ('пря', 1), ('Name', 1), ('lifetime', 0), ('chmark', 0), ('Rep', 0), ('Rep', 0), ('Names', 0), ('都', 0)]","[('anha', 2), ('penas', 1), ('intellig', 1), ('recens', 1), ('тро', 1), ('arel', 0), ('objective', 0), ('añ', 0), ('Int', 0), ('sieme', 0)]"
layer8,"[('➖', 6), ('Wol', 4), ('emo', 1), ('lich', 0), ('leich', 0), ('ova', 0), ('вар', 0), ('Ġ', 0), ('iore', 0), ('impr', 0)]","[('intellig', 1), ('Java', 1), ('Int', 1), ('añ', 0), ('penas', 0), ('objective', 0), ('gresql', 0), ('anha', 0), ('arel', 0), ('recens', 0)]","[('ij', 3), ('BUG', 1), ('anni', 0), ('iemann', 0), ('Mat', 0), ('dw', 0), ('ABC', 0), ('ali', 0), ('цю', 0), ('bug', 0)]","[('odb', 2), ('gresql', 1), ('Common', 0), ('NF', 0), ('_(', 0), ('anha', 0), ('Ins', 0), ('añ', 0), ('Media', 0), ('Int', 0)]"
layer9,"[('ord', 3), ('inen', 1), ('hn', 0), ('ğ', 0), ('rör', 0), ('answer', 0), ('inea', 0), ('__', 0), ('ld', 0), ('població', 0)]","[('_(', 1), ('Common', 1), ('añ', 0), ('Int', 0), ('Ins', 0), ('Java', 0), ('odb', 0), ('jog', 0), ('gresql', 0), ('intellig', 0)]","[('Interceptor', 4), ('ferrer', 3), ('nach', 0), ('у', 0), ('Liv', 0), ('ош', 0), ('PO', 0), ('engen', 0), ('jak', 0), ('osten', 0)]","[('fm', 0), ('Ins', 0), ('NF', 0), ('ifen', 0), ('ora', 0), ('catch', 0), ('complement', 0), ('Media', 0), ('media', 0), ('Dev', 0)]"
layer10,"[('Wikipédia', 1), ('ikai', 1), ('知', 1), ('kB', 0), ('Fichier', 0), ('&=\\', 0), ('generalized', 0), ('型', 0), ('Kais', 0), ('ási', 0)]","[('gresql', 0), ('_(', 0), ('Dev', 0), ('ifen', 0), ('Dev', 0), ('mér', 0), ('catch', 0), ('Ins', 0), ('esterni', 0), ('añ', 0)]","[('ogo', 1), ('ös', 1), ('omi', 1), ('together', 0), ('iesa', 0), ('oz', 0), ('orith', 0), ('schied', 0), ('码', 0), ('pios', 0)]","[('ownik', 1), ('esterni', 0), ('Ins', 0), ('cart', 0), ('tra', 0), ('kin', 0), ('civ', 0), ('ċ', 0), ('catch', 0), ('uf', 0)]"
layer11,"[('imo', 5), ('hlen', 1), ('со', 0), ('FI', 0), ('ru', 0), ('screen', 0), ('rile', 0), ('Holder', 0), ('spo', 0), ('Multiple', 0)]","[('Ins', 1), ('ownik', 0), ('ċ', 0), ('tie', 0), ('gresql', 0), ('uf', 0), ('jog', 0), ('LI', 0), ('aire', 0), ('inger', 0)]","[('EC', 4), ('Response', 2), ('intervals', 1), ('Response', 1), ('ici', 1), ('EC', 0), ('op', 0), ('interval', 0), ('extension', 0), ('main', 0)]","[('Ins', 2), ('uf', 1), ('ownik', 0), ('SP', 0), ('wire', 0), ('civ', 0), ('Graham', 0), ('</s>', 0), ('Gra', 0), ('Int', 0)]"
layer12,"[('ahl', 2), ('med', 0), ('rein', 0), ('Rein', 0), ('Call', 0), ('rank', 0), ('Pass', 0), ('학', 0), ('(/', 0), ('emp', 0)]","[('Rein', 1), ('uf', 0), ('Ins', 0), ('Gra', 0), ('SP', 0), ('añ', 0), ('wire', 0), ('  ', 0), ('rein', 0), ('ownik', 0)]","[('ví', 1), ('ucha', 1), ('Marc', 0), ('oko', 0), ('�', 0), ('ools', 0), ('forth', 0), ('én', 0), ('extra', 0), ('Fu', 0)]","[('Rein', 0), ('</s>', 0), ('aire', 0), ('oli', 0), ('uf', 0), ('udi', 0), ('yrus', 0), ('Jorge', 0), ('inger', 0), ('Leon', 0)]"
layer13,"[('enburg', 3), ('cloudflare', 1), ('quot', 1), ('gebaut', 1), ('lus', 0), ('ільки', 0), ('holm', 0), ('quot', 0), ('igua', 0), ('rinn', 0)]","[('Rein', 1), ('</s>', 1), ('udi', 0), ('aire', 0), ('Leon', 0), ('inger', 0), ('Gra', 0), ('oli', 0), ('Ø', 0), ('iful', 0)]","[('onas', 1), ('czy', 0), ('ャ', 0), ('farm', 0), ('anus', 0), ('anas', 0), ('nahm', 0), ('`:', 0), ('appe', 0), ('swer', 0)]","[('mp', 1), ('oli', 0), ('Heart', 0), ('Wass', 0), ('</s>', 0), ('Rein', 0), ('answering', 0), ('trailing', 0), ('HC', 0), ('mass', 0)]"
layer14,"[('gia', 1), ('$$', 0), ('og', 0), ('agua', 0), ('nown', 0), ('nich', 0), ('cios', 0), ('ienne', 0), ('ct', 0), ('Gest', 0)]","[('mp', 0), ('Heart', 0), ('Wass', 0), ('oli', 0), ('</s>', 0), ('answering', 0), ('answer', 0), ('Rein', 0), ('trailing', 0), ('mass', 0)]","[('�', 57), ('\u200b', 3), ('COVID', 3), ('\u202f', 2), ('side', 0), ('\u2060', 0), ('Ris', 0), ('lay', 0), ('Wa', 0), ('NE', 0)]","[('NE', 2), ('oli', 1), ('udi', 0), ('tc', 0), ('\u2060', 0), ('gresql', 0), ('uria', 0), ('_(', 0), ('�', 0), ('tra', 0)]"
layer15,"[('landa', 2), ('andenburg', 2), ('ět', 1), ('leben', 1), ('vil', 1), ('ingt', 1), ('incie', 1), ('pred', 1), ('untu', 0), ('drum', 0)]","[('answer', 1), ('gresql', 1), ('NE', 1), ('answering', 0), ('udi', 0), ('answered', 0), ('.:\u200a', 0), ('uria', 0), ('_(', 0), ('mass', 0)]","[('ст', 1), ('edia', 1), ('consec', 0), ('Jay', 0), ('anda', 0), ('Gros', 0), ('egos', 0), ('--+', 0), ('forall', 0), ('kin', 0)]","[('answer', 2), ('questions', 1), ('gresql', 1), ('Wass', 0), ('right', 0), ('Answer', 0), ('answering', 0), ('oli', 0), ('navig', 0), ('udi', 0)]"
layer16,"[('Answer', 4), ('Answer', 3), ('ös', 2), ('answer', 1), ('answer', 1), ('agt', 1), ('Hinweis', 1), ('честь', 1), ('enschaft', 1), ('answers', 0)]","[('answer', 8), ('Answer', 3), ('Answer', 2), ('answering', 1), ('answered', 1), ('gresql', 1), ('questions', 1), ('oli', 0), ('�', 0), ('answer', 0)]","[('Kontrola', 3), ('ета', 2), ('Ritter', 2), ('itsch', 1), ('vain', 1), ('nos', 0), ('‹', 0), ('uesto', 0), ('ná', 0), ('ván', 0)]","[('answer', 5), ('answered', 2), ('answering', 2), ('Answer', 1), ('Answer', 1), ('ki', 0), ('questions', 0), ('�', 0), ('answer', 0), ('Wass', 0)]"
layer17,"[('neg', 1), ('–', 1), ('--', 1), ('丁', 1), ('Py', 0), ('Wik', 0), ('ря', 0), ('ген', 0), ('\u200e', 0), ('register', 0)]","[('answer', 7), ('answered', 3), ('answering', 3), ('Wass', 1), ('Answer', 1), ('Answer', 1), ('answer', 1), ('nav', 1), ('gresql', 0), ('questions', 0)]","[('mol', 1), ('종', 1), ('↔', 1), ('xhtml', 0), ('imes', 0), ('zA', 0), ('odb', 0), ('�', 0), ('../../', 0), ('dens', 0)]","[('answering', 3), ('answer', 3), ('answered', 1), ('nav', 1), ('кин', 1), ('Answer', 1), ('answer', 1), ('questions', 1), ('_(', 1), ('wire', 0)]"
layer18,"[('giv', 1), ('typeof', 1), ('uba', 1), ('hat', 0), ('han', 0), ('pla', 0), ('answer', 0), ('ton', 0), ('ton', 0), ('trailing', 0)]","[('answer', 8), ('answering', 3), ('answered', 2), ('answer', 2), ('Answer', 1), ('Answer', 1), ('кин', 1), ('questions', 0), ('nav', 0), ('wire', 0)]","[('ね', 1), ('Log', 0), ('(/', 0), ('tid', 0), ('ín', 0), ('zat', 0), ('criv', 0), ('zd', 0), ('engo', 0), ('рово', 0)]","[('answer', 10), ('answering', 4), ('answered', 3), ('Answer', 2), ('Answer', 1), ('answer', 1), ('_(', 1), ('кин', 1), ('kin', 0), ('wire', 0)]"
