Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('пута', 37.25), ('archivi', 22.86), ('textt', 5.72), ('▁konn', 3.91), ('▁partiellement', 1.73), ('Portail', 1.6), ('bolds', 1.18), ('ѐ', 1.14), ('embros', 1.11), ('▁Хронологија', 1.09)]","[('пута', 79.5), ('▁partiellement', 2.71), ('сылки', 0.66), ('▁cí', 0.64), ('▁Censo', 0.59), ('empre', 0.59), ('▁virtuel', 0.45), ('sterd', 0.36), ('bolds', 0.35), ('▁totalité', 0.32)]","[('пута', 24.39), ('▁partiellement', 4.16), ('сылки', 3.9), ('embros', 3.11), ('▁virtuel', 2.86), ('penas', 2.6), ('textt', 2.41), ('▁cí', 1.81), ('▁totalité', 1.49), ('sterd', 0.87)]","[('пута', 68.71), ('▁partiellement', 4.09), ('сылки', 1.72), ('▁cí', 1.19), ('▁virtuel', 1.18), ('▁totalité', 0.72), ('empre', 0.7), ('embros', 0.67), ('sterd', 0.6), ('bolds', 0.55)]"
layer1,"[('%%%%', 2.4), ('pick', 1.4), ('kin', 1.36), ('ol', 1.05), ('▁Pick', 0.82), ('TRAN', 0.67), ('ric', 0.56), ('ˇ', 0.54), ('ing', 0.49), ('osa', 0.48)]","[('1', 44.09), ('2', 27.25), ('3', 6.94), ('4', 3.74), ('0', 3.26), ('6', 2.87), ('5', 2.63), ('8', 2.26), ('7', 1.88), ('9', 1.4)]","[('2', 48.28), ('1', 18.23), ('6', 7.68), ('3', 5.05), ('5', 4.99), ('7', 3.92), ('4', 2.94), ('8', 1.47), ('9', 1.39), ('0', 0.28)]","[('2', 41.93), ('1', 41.41), ('3', 5.01), ('6', 2.85), ('4', 2.35), ('5', 2.19), ('7', 1.49), ('8', 1.14), ('0', 0.77), ('9', 0.74)]"
layer2,"[('werb', 0.74), ('▁kernel', 0.72), ('ölker', 0.68), ('cv', 0.53), ('▁tun', 0.51), ('<0xA6>', 0.5), ('▁itself', 0.48), ('ote', 0.46), ('▁im', 0.42), ('olf', 0.41)]","[('1', 30.86), ('2', 21.04), ('3', 6.03), ('5', 4.03), ('4', 3.99), ('6', 3.49), ('0', 3.2), ('8', 3.07), ('7', 2.78), ('9', 1.86)]","[('iből', 3.25), ('anto', 2.99), ('unda', 0.98), ('="".', 0.77), ('xp', 0.76), ('ąż', 0.56), ('icky', 0.53), ('ello', 0.48), ('imen', 0.47), ('chus', 0.39)]","[('1', 33.85), ('2', 18.49), ('3', 10.38), ('4', 6.37), ('5', 4.93), ('8', 4.66), ('7', 3.79), ('6', 3.66), ('0', 2.76), ('9', 1.0)]"
layer3,"[('▁sudden', 1.18), ('▁noise', 0.91), ('▁false', 0.74), ('▁Cha', 0.64), ('▁veget', 0.6), ('▁mér', 0.51), ('kar', 0.47), ('Filter', 0.46), ('▁Bal', 0.44), ('▁log', 0.43)]","[('1', 34.83), ('2', 23.54), ('3', 8.9), ('8', 5.43), ('4', 4.47), ('0', 3.71), ('6', 2.89), ('5', 2.79), ('7', 2.63), ('9', 1.06)]","[('xt', 1.23), ('▁neutral', 1.09), ('nor', 1.09), ('oda', 0.73), ('oby', 0.61), ('feld', 0.56), ('iele', 0.53), ('ë', 0.52), ('▁Murray', 0.51), ('ç', 0.48)]","[('1', 37.6), ('2', 19.79), ('3', 7.69), ('0', 6.86), ('4', 4.84), ('6', 3.53), ('5', 3.48), ('7', 3.24), ('8', 2.75), ('9', 1.44)]"
layer4,"[('▁questions', 4.22), ('▁sí', 2.34), ('▁yes', 2.19), ('▁answers', 1.64), ('▁Question', 1.31), ('▁Answer', 1.08), ('▁answer', 0.83), ('▁satisf', 0.8), ('Answer', 0.68), ('▁answered', 0.61)]","[('1', 38.9), ('2', 14.11), ('0', 5.61), ('4', 5.22), ('5', 4.12), ('3', 3.92), ('6', 3.08), ('8', 2.84), ('7', 2.06), ('9', 1.08)]","[('egen', 2.81), ('verte', 0.48), ('ég', 0.42), ('éal', 0.39), ('folio', 0.38), ('▁Nicol', 0.38), ('tegr', 0.37), ('fol', 0.37), ('▁Dum', 0.34), ('っ', 0.34)]","[('1', 34.71), ('2', 17.09), ('3', 7.49), ('8', 6.41), ('4', 4.24), ('7', 4.19), ('6', 3.88), ('0', 3.45), ('5', 2.33), ('9', 2.01)]"
layer5,"[('oro', 0.69), ('▁chron', 0.68), ('▁bear', 0.68), ('BS', 0.62), ('ach', 0.52), ('lat', 0.5), ('ֵ', 0.47), ('▁arms', 0.44), ('▁Ts', 0.41), ('ellow', 0.38)]","[('1', 46.7), ('2', 15.35), ('3', 5.81), ('8', 4.13), ('0', 3.9), ('6', 3.02), ('4', 2.81), ('7', 2.48), ('5', 1.75), ('9', 1.53)]","[('logs', 2.67), ('lices', 1.3), ('1', 0.63), ('▁stability', 0.63), ('▁Fab', 0.62), ('ione', 0.61), ('NT', 0.57), ('▁MainActivity', 0.57), ('iai', 0.56), ('rin', 0.53)]","[('1', 59.46), ('2', 16.85), ('0', 5.02), ('3', 3.59), ('6', 2.96), ('8', 2.94), ('7', 2.26), ('4', 2.25), ('9', 1.47), ('5', 1.31)]"
layer6,"[('▁_', 1.26), ('▁rather', 1.21), ('▁answer', 1.16), ('▁most', 0.53), ('▁depends', 0.51), ('▁sens', 0.47), ('▁destination', 0.44), ('--', 0.43), ('audi', 0.4), ('▁decimal', 0.4)]","[('1', 44.4), ('2', 9.85), ('3', 4.16), ('4', 3.48), ('8', 2.68), ('9', 2.35), ('7', 2.24), ('6', 2.02), ('0', 1.69), ('5', 1.42)]","[('oggle', 1.21), ('▁Baker', 0.91), ('icity', 0.81), ('▁Commons', 0.6), ('ordinate', 0.6), ('oust', 0.46), ('endo', 0.44), ('▁Ress', 0.41), ('dorf', 0.4), ('格', 0.39)]","[('1', 61.46), ('2', 11.24), ('4', 3.6), ('3', 3.27), ('6', 2.08), ('8', 1.56), ('0', 1.07), ('9', 1.05), ('7', 1.04), ('5', 0.63)]"
layer7,"[('bst', 2.14), ('witz', 1.5), ('▁alberga', 0.96), ('acci', 0.91), ('▁dich', 0.65), ('식', 0.59), ('▁hat', 0.55), ('▁crisis', 0.51), ('▁number', 0.41), ('izza', 0.37)]","[('1', 66.25), ('2', 10.24), ('3', 3.24), ('4', 2.07), ('6', 0.9), ('8', 0.82), ('<0x0A>', 0.67), ('9', 0.62), ('0', 0.59), ('5', 0.53)]","[('nitz', 5.36), ('berts', 3.93), ('▁références', 2.64), ('egos', 1.21), ('ASH', 0.66), ('anus', 0.58), ('ępu', 0.56), ('▁Städ', 0.48), ('▁medi', 0.36), ('▁nas', 0.32)]","[('1', 66.74), ('2', 10.96), ('3', 4.09), ('4', 2.5), ('8', 1.51), ('6', 1.51), ('9', 1.11), ('5', 0.91), ('0', 0.76), ('<0x0A>', 0.66)]"
layer8,"[('▁rather', 3.15), ('▁hands', 1.66), ('▁mix', 0.81), ('▁cul', 0.7), ('phere', 0.67), ('▁Mitchell', 0.56), ('▁Hinweis', 0.55), ('▁sources', 0.39), ('▁properly', 0.38), ('нин', 0.37)]","[('1', 62.57), ('2', 8.51), ('3', 4.73), ('4', 2.23), ('8', 1.69), ('5', 1.16), ('6', 1.13), ('9', 1.07), ('0', 0.82), ('7', 0.72)]","[('eten', 1.01), ('pios', 0.98), ('ias', 0.9), ('inge', 0.76), ('њи', 0.72), ('<0x99>', 0.64), ('цима', 0.62), ('pit', 0.59), ('чик', 0.56), ('▁Gir', 0.53)]","[('1', 65.0), ('2', 20.35), ('3', 3.76), ('4', 2.04), ('0', 1.37), ('6', 0.98), ('9', 0.88), ('5', 0.82), ('7', 0.79), ('8', 0.31)]"
